UniProtID	UniProtID	score
1433B_HUMAN	NEGR1_HUMAN	0.64
1433B_HUMAN	PP1A_HUMAN	1.24
1433B_HUMAN	EF1G_HUMAN	0.64
1433B_HUMAN	CMC2_HUMAN	0.64
1433B_HUMAN	RAB14_HUMAN	0.6
1433B_HUMAN	CSKI1_HUMAN	0.64
1433B_HUMAN	SHAN2_HUMAN	0.64
1433B_HUMAN	TPM3_HUMAN	0.64
1433B_HUMAN	PDE10_HUMAN	0.64
1433B_HUMAN	CAMKV_HUMAN	0.64
1433B_HUMAN	KC1E_HUMAN	1.24
1433B_HUMAN	DDX6_HUMAN	1.6
1433B_HUMAN	NEDD4_HUMAN	4.64
1433B_HUMAN	CYLD_HUMAN	2.4000000000000004
1433B_HUMAN	HS90B_HUMAN	2.8800000000000003
1433B_HUMAN	CAZA2_HUMAN	0.64
1433B_HUMAN	PI51C_HUMAN	0.64
1433B_HUMAN	A16L1_HUMAN	1.44
1433B_HUMAN	KCC2B_HUMAN	1.6400000000000001
1433B_HUMAN	RASN_HUMAN	0.6
1433B_HUMAN	MTAP2_HUMAN	0.64
1433B_HUMAN	SGIP1_HUMAN	0.64
1433B_HUMAN	MIC19_HUMAN	0.64
1433B_HUMAN	MYH9_HUMAN	0.64
1433B_HUMAN	GELS_HUMAN	0.64
1433B_HUMAN	DAAM1_HUMAN	0.64
1433B_HUMAN	ODO1_HUMAN	0.64
1433B_HUMAN	UBC12_HUMAN	0.8
1433B_HUMAN	ANK2_HUMAN	0.64
1433B_HUMAN	TMOD2_HUMAN	0.64
1433B_HUMAN	TPM1_HUMAN	0.64
1433B_HUMAN	RTN1_HUMAN	0.64
1433B_HUMAN	DC1I1_HUMAN	0.64
1433B_HUMAN	STX12_HUMAN	0.64
1433B_HUMAN	GNAZ_HUMAN	0.64
1433B_HUMAN	MCCA_HUMAN	0.64
1433B_HUMAN	PKHA5_HUMAN	1.6
1433B_HUMAN	RAF1_HUMAN	28.000000000000014
1433B_HUMAN	GBRA1_HUMAN	0.64
1433B_HUMAN	ADDB_HUMAN	0.64
1433B_HUMAN	MYO1B_HUMAN	0.64
1433B_HUMAN	MTCH2_HUMAN	0.64
1433B_HUMAN	GPI8_HUMAN	0.64
1433B_HUMAN	FMNL3_HUMAN	0.64
1433B_HUMAN	CRKL_HUMAN	0.6
1433B_HUMAN	PHB_HUMAN	3.0400000000000005
1433B_HUMAN	SSRA_HUMAN	0.64
1433B_HUMAN	CACB3_HUMAN	0.64
1433B_HUMAN	DPYL5_HUMAN	0.64
1433B_HUMAN	CNTP1_HUMAN	0.64
1433B_HUMAN	MDHM_HUMAN	0.64
1433B_HUMAN	IGS21_HUMAN	0.64
1433B_HUMAN	PDE2A_HUMAN	0.64
1433B_HUMAN	IRS1_HUMAN	4.2
1433B_HUMAN	OMGP_HUMAN	0.64
1433B_HUMAN	AT1B1_HUMAN	0.64
1433B_HUMAN	STK38_HUMAN	1.6
1433B_HUMAN	EF1A1_HUMAN	0.64
1433B_HUMAN	RL7_HUMAN	0.64
1433B_HUMAN	MYO5A_HUMAN	0.64
1433B_HUMAN	NAC1_HUMAN	0.64
1433B_HUMAN	LETM1_HUMAN	0.64
1433B_HUMAN	DLG2_HUMAN	0.64
1433B_HUMAN	GABR1_HUMAN	0.64
1433B_HUMAN	IDH3G_HUMAN	0.64
1433B_HUMAN	MRCKB_HUMAN	0.64
1433B_HUMAN	VATC1_HUMAN	0.64
1433B_HUMAN	VIME_HUMAN	6.0
1433B_HUMAN	PPP5_HUMAN	2.2
1433B_HUMAN	DEMA_HUMAN	2.4000000000000004
1433B_HUMAN	IQEC1_HUMAN	0.64
1433B_HUMAN	PURB_HUMAN	0.64
1433B_HUMAN	AGAP2_HUMAN	2.64
1433B_HUMAN	GRB2_HUMAN	4.0
1433B_HUMAN	DNM1L_HUMAN	3.8400000000000007
1433B_HUMAN	MARE2_HUMAN	0.64
1433B_HUMAN	ODPA_HUMAN	0.64
1433B_HUMAN	CUL3_HUMAN	1.6
1433B_HUMAN	RAP1B_HUMAN	0.6
1433B_HUMAN	NEO1_HUMAN	0.64
1433B_HUMAN	DNJA2_HUMAN	0.64
1433B_HUMAN	KGP2_HUMAN	0.64
1433B_HUMAN	NUCG_HUMAN	0.64
1433B_HUMAN	KCNA2_HUMAN	0.64
1433B_HUMAN	GDAP1_HUMAN	0.64
1433B_HUMAN	TXTP_HUMAN	0.64
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	NCAN_HUMAN	0.64
1433B_HUMAN	HOME1_HUMAN	1.92
1433B_HUMAN	LIPA3_HUMAN	0.64
1433B_HUMAN	FIBP_HUMAN	0.64
1433B_HUMAN	SC6A4_HUMAN	0.64
1433B_HUMAN	AT1A4_HUMAN	0.64
1433B_HUMAN	AKT1_HUMAN	0.6
1433B_HUMAN	EPN2_HUMAN	0.64
1433B_HUMAN	RHEB_HUMAN	0.6
1433B_HUMAN	CLCB_HUMAN	0.64
1433B_HUMAN	NMDE1_HUMAN	0.64
1433B_HUMAN	BIP_HUMAN	3.04
1433B_HUMAN	DCTN4_HUMAN	0.64
1433B_HUMAN	NPTN_HUMAN	0.64
1433B_HUMAN	LSAMP_HUMAN	0.64
1433B_HUMAN	SLK_HUMAN	1.4
1433B_HUMAN	COX2_HUMAN	0.64
1433B_HUMAN	ODO2_HUMAN	0.64
1433B_HUMAN	CLIP2_HUMAN	0.64
1433B_HUMAN	KPCA_HUMAN	0.6
1433B_HUMAN	AGK_HUMAN	0.64
1433B_HUMAN	TNPO1_HUMAN	0.6
1433B_HUMAN	PLXA1_HUMAN	0.64
1433B_HUMAN	CHIP_HUMAN	0.64
1433B_HUMAN	IQEC2_HUMAN	0.64
1433B_HUMAN	NLGN2_HUMAN	0.64
1433B_HUMAN	SND1_HUMAN	1.24
1433B_HUMAN	FLOT1_HUMAN	0.64
1433B_HUMAN	GNAO_HUMAN	0.64
