UniProtID	UniProtID	score
5HT7R_HUMAN	CH60_HUMAN	0.8
5HT7R_HUMAN	RS18_HUMAN	0.8
5HT7R_HUMAN	ADCY8_HUMAN	0.6
5HT7R_HUMAN	ADRB2_HUMAN	0.6
5HT7R_HUMAN	TBB6_HUMAN	0.8
5HT7R_HUMAN	PP1A_HUMAN	0.8
5HT7R_HUMAN	RS15A_HUMAN	0.8
5HT7R_HUMAN	ADRB1_HUMAN	0.6
5HT7R_HUMAN	RS13_HUMAN	0.8
5HT7R_HUMAN	TBA4A_HUMAN	0.8
5HT7R_HUMAN	RL12_HUMAN	0.8
5HT7R_HUMAN	SPTN1_HUMAN	0.8
5HT7R_HUMAN	GNB5_HUMAN	0.6
5HT7R_HUMAN	ADT2_HUMAN	0.8
5HT7R_HUMAN	DNJA1_HUMAN	0.8
5HT7R_HUMAN	EF1A1_HUMAN	0.8
5HT7R_HUMAN	RS17_HUMAN	0.8
5HT7R_HUMAN	BIP_HUMAN	0.8
5HT7R_HUMAN	GBB4_HUMAN	0.6
5HT7R_HUMAN	DRD1_HUMAN	0.6
5HT7R_HUMAN	RS3A_HUMAN	0.8
5HT7R_HUMAN	RL27A_HUMAN	0.8
5HT7R_HUMAN	RS5_HUMAN	0.8
5HT7R_HUMAN	HS90B_HUMAN	0.8
5HT7R_HUMAN	ADCY1_HUMAN	0.6
5HT7R_HUMAN	HSP7C_HUMAN	0.8
5HT7R_HUMAN	RL11_HUMAN	0.8
5HT7R_HUMAN	RS25_HUMAN	0.8
5HT7R_HUMAN	MYH14_HUMAN	0.8
5HT7R_HUMAN	SFPQ_HUMAN	0.8
5HT7R_HUMAN	MPCP_HUMAN	0.8
5HT7R_HUMAN	GNAS1_HUMAN	0.6
5HT7R_HUMAN	RL30_HUMAN	0.8
5HT7R_HUMAN	RLA1_HUMAN	0.8
5HT7R_HUMAN	MYH9_HUMAN	0.8
5HT7R_HUMAN	TBA1A_HUMAN	0.8
5HT7R_HUMAN	ACTB_HUMAN	0.8
5HT7R_HUMAN	GBB1_HUMAN	0.6
5HT7R_HUMAN	GBG12_HUMAN	0.6
5HT7R_HUMAN	DRD5_HUMAN	0.6
5HT7R_HUMAN	CALM2_HUMAN	0.8
5HT7R_HUMAN	CUL3_HUMAN	1.0
5HT7R_HUMAN	PYR1_HUMAN	0.8
5HT7R_HUMAN	EFTU_HUMAN	0.8
5HT7R_HUMAN	PFKAP_HUMAN	0.8
5HT7R_HUMAN	GBG7_HUMAN	0.6
5HT7R_HUMAN	GBB2_HUMAN	0.6
5HT7R_HUMAN	RL23A_HUMAN	0.8
5HT7R_HUMAN	TBA1B_HUMAN	0.8
5HT7R_HUMAN	GBG3_HUMAN	0.6
5HT7R_HUMAN	RS3_HUMAN	0.8
5HT7R_HUMAN	TBB2A_HUMAN	0.8
5HT7R_HUMAN	TBB3_HUMAN	0.8
5HT7R_HUMAN	GBG2_HUMAN	0.6
5HT7R_HUMAN	GASP2_HUMAN	1.6
5HT7R_HUMAN	IQGA1_HUMAN	0.8
5HT7R_HUMAN	HS90A_HUMAN	0.8
5HT7R_HUMAN	RL23_HUMAN	0.8
5HT7R_HUMAN	RS11_HUMAN	0.8
5HT7R_HUMAN	RLA0_HUMAN	0.8
5HT7R_HUMAN	5HT3A_HUMAN	0.6
5HT7R_HUMAN	SC6A4_HUMAN	0.6
CH60_HUMAN	CH60_HUMAN	151.2
CH60_HUMAN	ADRB2_HUMAN	0.8
CH60_HUMAN	PP1A_HUMAN	0.8
CH60_HUMAN	ADT2_HUMAN	0.8
CH60_HUMAN	BIP_HUMAN	2.4
CH60_HUMAN	HS90B_HUMAN	2.2
CH60_HUMAN	HSP7C_HUMAN	3.0000000000000004
CH60_HUMAN	TBA1A_HUMAN	0.8
CH60_HUMAN	ACTB_HUMAN	0.8
CH60_HUMAN	GBB1_HUMAN	1.28
CH60_HUMAN	CUL3_HUMAN	2.4000000000000004
CH60_HUMAN	EFTU_HUMAN	0.6
CH60_HUMAN	HS90A_HUMAN	0.6
RS18_HUMAN	PP1A_HUMAN	0.8
RS18_HUMAN	RS15A_HUMAN	2.8400000000000003
RS18_HUMAN	RS13_HUMAN	2.8400000000000003
RS18_HUMAN	RL12_HUMAN	2.04
RS18_HUMAN	EF1A1_HUMAN	1.24
RS18_HUMAN	RS17_HUMAN	0.64
RS18_HUMAN	RS3A_HUMAN	2.8400000000000003
RS18_HUMAN	RL27A_HUMAN	2.04
RS18_HUMAN	RS5_HUMAN	2.8400000000000003
RS18_HUMAN	RL11_HUMAN	2.04
RS18_HUMAN	RS25_HUMAN	4.84
RS18_HUMAN	RL30_HUMAN	2.04
RS18_HUMAN	RLA1_HUMAN	1.4
RS18_HUMAN	ACTB_HUMAN	0.8
RS18_HUMAN	CUL3_HUMAN	0.8
RS18_HUMAN	EFTU_HUMAN	0.6
RS18_HUMAN	RL23A_HUMAN	2.04
RS18_HUMAN	RS3_HUMAN	2.8400000000000003
RS18_HUMAN	RL23_HUMAN	1.4
RS18_HUMAN	RS11_HUMAN	2.04
RS18_HUMAN	RLA0_HUMAN	2.04
ADCY8_HUMAN	ADRB2_HUMAN	0.6
ADCY8_HUMAN	ADRB1_HUMAN	0.6
ADCY8_HUMAN	GNB5_HUMAN	0.6
ADCY8_HUMAN	GBB4_HUMAN	0.6
ADCY8_HUMAN	DRD1_HUMAN	0.6
ADCY8_HUMAN	ADCY1_HUMAN	0.6
ADCY8_HUMAN	GNAS1_HUMAN	0.6
ADCY8_HUMAN	GBB1_HUMAN	0.6
ADCY8_HUMAN	GBG12_HUMAN	0.6
ADCY8_HUMAN	DRD5_HUMAN	0.6
ADCY8_HUMAN	CALM2_HUMAN	3.4
ADCY8_HUMAN	GBG7_HUMAN	0.6
ADCY8_HUMAN	GBB2_HUMAN	0.6
ADCY8_HUMAN	GBG3_HUMAN	0.6
ADCY8_HUMAN	GBG2_HUMAN	0.6
ADCY8_HUMAN	IQGA1_HUMAN	0.6
ADRB2_HUMAN	ADRB2_HUMAN	11.6
ADRB2_HUMAN	ADRB1_HUMAN	2.2
ADRB2_HUMAN	GNB5_HUMAN	1.88
ADRB2_HUMAN	ADT2_HUMAN	0.8
ADRB2_HUMAN	EF1A1_HUMAN	0.8
ADRB2_HUMAN	BIP_HUMAN	0.8
ADRB2_HUMAN	GBB4_HUMAN	2.2
ADRB2_HUMAN	DRD1_HUMAN	0.6
ADRB2_HUMAN	RS5_HUMAN	0.8
ADRB2_HUMAN	ADCY1_HUMAN	0.6
ADRB2_HUMAN	HSP7C_HUMAN	0.6
