UniProtID	UniProtID	score
ABCF3_HUMAN	CTNB1_HUMAN	0.8
ABCF3_HUMAN	DCTN1_HUMAN	0.8
ABCF3_HUMAN	HDAC6_HUMAN	0.8
ABCF3_HUMAN	HSP7C_HUMAN	0.8
ABCF3_HUMAN	CDN1B_HUMAN	0.8
ABCF3_HUMAN	HDAC2_HUMAN	0.8
ABCF3_HUMAN	MAP1A_HUMAN	0.8
ABCF3_HUMAN	UBP32_HUMAN	0.8
ABCF3_HUMAN	SNW1_HUMAN	1.6
ABCF3_HUMAN	BIP_HUMAN	1.6
ABCF3_HUMAN	RB11A_HUMAN	0.8
ABCF3_HUMAN	1433F_HUMAN	0.64
ABCF3_HUMAN	DCTN3_HUMAN	0.8
ABCF3_HUMAN	PML_HUMAN	0.8
ABCF3_HUMAN	RENT1_HUMAN	0.8
ABCF3_HUMAN	RS20_HUMAN	0.8
ABCF3_HUMAN	IDLC_HUMAN	1.6
ABCF3_HUMAN	2AAA_HUMAN	1.6
ABCF3_HUMAN	VIGLN_HUMAN	0.8
ABCF3_HUMAN	STAU1_HUMAN	0.8
ABCF3_HUMAN	PACN2_HUMAN	0.8
ABCF3_HUMAN	AKAP9_HUMAN	0.8
ABCF3_HUMAN	HSPB8_HUMAN	0.8
ABCF3_HUMAN	GBF1_HUMAN	0.8
ABCF3_HUMAN	FCSD2_HUMAN	4.0
ABCF3_HUMAN	S10A6_HUMAN	0.8
ABCF3_HUMAN	PRKN_HUMAN	1.6
ABCF3_HUMAN	CDC5L_HUMAN	1.6
ABCF3_HUMAN	PSME3_HUMAN	0.8
ABCF3_HUMAN	RING2_HUMAN	0.8
ABCF3_HUMAN	TRI27_HUMAN	7.999999999999999
ABCF3_HUMAN	UBXN6_HUMAN	0.8
ABCF3_HUMAN	HNRPF_HUMAN	0.8
ABCF3_HUMAN	NTRK1_HUMAN	0.8
ABCF3_HUMAN	SAP18_HUMAN	0.8
ABCF3_HUMAN	RFA3_HUMAN	0.8
ABCF3_HUMAN	MDFI_HUMAN	0.8
ABCF3_HUMAN	GSTM3_HUMAN	0.8
ABCF3_HUMAN	SKP1_HUMAN	1.28
ABCF3_HUMAN	ACINU_HUMAN	1.6
ABCF3_HUMAN	LTOR1_HUMAN	1.6
ABCF3_HUMAN	TOE1_HUMAN	1.6
ABCF3_HUMAN	LEU1_HUMAN	0.8
ABCF3_HUMAN	NOA1_HUMAN	0.8
ABCF3_HUMAN	HIRP3_HUMAN	0.8
ABCF3_HUMAN	MOC2B_HUMAN	0.8
ABCF3_HUMAN	S35E1_HUMAN	0.8
ABCF3_HUMAN	OSTP_HUMAN	0.8
ABCF3_HUMAN	TBPL1_HUMAN	0.8
ABCF3_HUMAN	FOXL1_HUMAN	1.6
ABCF3_HUMAN	TEAD2_HUMAN	1.6
ABCF3_HUMAN	RAB38_HUMAN	0.64
ABCF3_HUMAN	SWAP1_HUMAN	0.8
ABCF3_HUMAN	CFTR_HUMAN	1.6
ABCF3_HUMAN	CCD33_HUMAN	0.8
ABCF3_HUMAN	TRI14_HUMAN	0.8
ABCF3_HUMAN	RBPMS_HUMAN	0.8
ABCF3_HUMAN	THAP1_HUMAN	0.8
ABCF3_HUMAN	SRRM2_HUMAN	0.8
ABCF3_HUMAN	FBX6_HUMAN	0.8
ABCF3_HUMAN	MOV10_HUMAN	0.8
