UniProtID	UniProtID	score
ACHA5_HUMAN	EREP1_HUMAN	1.6
ACHA5_HUMAN	TGON2_HUMAN	0.8
ACHA5_HUMAN	NXPH3_HUMAN	0.8
ACHA5_HUMAN	IL5RA_HUMAN	0.8
ACHA5_HUMAN	FMOD_HUMAN	0.8
ACHA5_HUMAN	NCTR3_HUMAN	0.8
ACHA5_HUMAN	ACHA4_HUMAN	6.3999999999999995
ACHA5_HUMAN	EPHA7_HUMAN	0.8
ACHA5_HUMAN	CALX_HUMAN	1.8
ACHA5_HUMAN	SRPK2_HUMAN	0.8
ACHA5_HUMAN	DEF1_HUMAN	2.4000000000000004
ACHA5_HUMAN	NDP_HUMAN	0.8
ACHA5_HUMAN	TSHR_HUMAN	0.8
ACHA5_HUMAN	SLAF1_HUMAN	1.6
ACHA5_HUMAN	WNT3A_HUMAN	0.8
ACHA5_HUMAN	CLGN_HUMAN	0.8
ACHA5_HUMAN	P2RX2_HUMAN	0.8
ACHA5_HUMAN	CC50A_HUMAN	2.4000000000000004
ACHA5_HUMAN	ACHB2_HUMAN	4.6
ACHA5_HUMAN	ACHA3_HUMAN	2.6
ACHA5_HUMAN	AGRG5_HUMAN	2.4000000000000004
ACHA5_HUMAN	LYPD6_HUMAN	0.8
ACHA5_HUMAN	LYNX1_HUMAN	2.72
ACHA5_HUMAN	ACHB4_HUMAN	1.6
ACHA5_HUMAN	DB135_HUMAN	0.8
ACHA5_HUMAN	TAZ_HUMAN	0.8
ACHA5_HUMAN	ACHD_HUMAN	0.8
ACHA5_HUMAN	P2RX5_HUMAN	0.8
ACHA5_HUMAN	BRID5_HUMAN	0.8
ACHA5_HUMAN	EDN3_HUMAN	0.8
ACHA5_HUMAN	PPBN_HUMAN	0.8
ACHA5_HUMAN	LYPD1_HUMAN	0.8
ACHA5_HUMAN	VEGFD_HUMAN	0.8
ACHA5_HUMAN	WN10A_HUMAN	0.8
ACHA5_HUMAN	LY86_HUMAN	0.8
ACHA5_HUMAN	CDHR4_HUMAN	0.8
ACHA5_HUMAN	CMA1_HUMAN	0.8
ACHA5_HUMAN	EFNA2_HUMAN	0.8
ACHA5_HUMAN	SIA4C_HUMAN	0.8
ACHA5_HUMAN	C1QB_HUMAN	0.8
ACHA5_HUMAN	PIEZ1_HUMAN	0.8
ACHA5_HUMAN	IL17F_HUMAN	0.8
ACHA5_HUMAN	CBLN4_HUMAN	0.8
ACHA5_HUMAN	KLK15_HUMAN	0.8
ACHA5_HUMAN	GGH_HUMAN	0.8
ACHA5_HUMAN	CATG_HUMAN	0.8
ACHA5_HUMAN	LIRA5_HUMAN	0.8
ACHA5_HUMAN	SIRPD_HUMAN	0.8
ACHA5_HUMAN	REL1_HUMAN	0.8
ACHA5_HUMAN	ATS4_HUMAN	0.8
ACHA5_HUMAN	CNTP3_HUMAN	0.8
ACHA5_HUMAN	OIT3_HUMAN	0.8
ACHA5_HUMAN	CFC1_HUMAN	0.8
ACHA5_HUMAN	TM87A_HUMAN	0.8
ACHA5_HUMAN	LYZL1_HUMAN	0.8
ACHA5_HUMAN	PRG2_HUMAN	0.8
