UniProtID	UniProtID	score
ACHA_HUMAN	ACTN1_HUMAN	0.8
ACHA_HUMAN	ZDHC6_HUMAN	0.8
ACHA_HUMAN	EXTL3_HUMAN	0.8
ACHA_HUMAN	CSK_HUMAN	0.8
ACHA_HUMAN	DYST_HUMAN	0.8
ACHA_HUMAN	CALX_HUMAN	0.8
ACHA_HUMAN	STAU1_HUMAN	0.8
ACHA_HUMAN	GBF1_HUMAN	0.8
ACHA_HUMAN	S27A4_HUMAN	0.8
ACHA_HUMAN	RDH11_HUMAN	0.8
ACHA_HUMAN	SYVN1_HUMAN	0.8
ACHA_HUMAN	TBL2_HUMAN	0.8
ACHA_HUMAN	ESYT2_HUMAN	0.8
ACHA_HUMAN	UBE4A_HUMAN	0.8
ACHA_HUMAN	S38AA_HUMAN	0.8
ACHA_HUMAN	TAP2_HUMAN	0.8
ACHA_HUMAN	UBAC2_HUMAN	0.8
ACHA_HUMAN	TM201_HUMAN	0.8
ACHA_HUMAN	TAP1_HUMAN	0.8
ACHA_HUMAN	S27A2_HUMAN	0.8
ACHA_HUMAN	FA8A1_HUMAN	0.8
ACHA_HUMAN	IPIL2_HUMAN	0.8
ACHA_HUMAN	CSCL2_HUMAN	0.8
ACHA_HUMAN	GOLM1_HUMAN	0.8
ACHA_HUMAN	RETST_HUMAN	0.8
ACHA_HUMAN	MAN1_HUMAN	0.8
ACHA_HUMAN	ZNT7_HUMAN	0.8
ACHA_HUMAN	ZDHC9_HUMAN	0.8
ACHA_HUMAN	ITA7_HUMAN	1
ACHA_HUMAN	FZD6_HUMAN	0.8
ACHA_HUMAN	PREB_HUMAN	0.8
ACHA_HUMAN	ACHD_HUMAN	2
ACHA_HUMAN	ACHG_HUMAN	1
ACHA_HUMAN	RER1_HUMAN	0.8
ACHA_HUMAN	GPX8_HUMAN	0.8
ACHA_HUMAN	DIK2A_HUMAN	0.8
ACHA_HUMAN	SCNNA_HUMAN	0.8
ACHA_HUMAN	LIRA6_HUMAN	0.8
ACHA_HUMAN	ACHA_HUMAN	1.6
ACHA_HUMAN	AGRG6_HUMAN	0.8
ACHA_HUMAN	S27A1_HUMAN	0.8
ACHA_HUMAN	GLT12_HUMAN	0.8
ACHA_HUMAN	SCD5_HUMAN	0.8
ACHA_HUMAN	DJC16_HUMAN	0.8
ACHA_HUMAN	RAPSN_HUMAN	0.8
ACHA_HUMAN	ACHE_HUMAN	1
