UniProtID	UniProtID	score
ACO13_HUMAN	TRI25_HUMAN	0.8
ACO13_HUMAN	OBSCN_HUMAN	0.8
ACO13_HUMAN	NU214_HUMAN	0.8
ACO13_HUMAN	RAF1_HUMAN	0.8
ACO13_HUMAN	EZH2_HUMAN	0.8
ACO13_HUMAN	1433G_HUMAN	2.4000000000000004
ACO13_HUMAN	IMA1_HUMAN	0.8
ACO13_HUMAN	KAT5_HUMAN	2.4000000000000004
ACO13_HUMAN	UBE2N_HUMAN	0.8
ACO13_HUMAN	PDLI7_HUMAN	0.8
ACO13_HUMAN	BIRC3_HUMAN	0.8
ACO13_HUMAN	KLC2_HUMAN	0.8
ACO13_HUMAN	FINC_HUMAN	1.6
ACO13_HUMAN	RBBP6_HUMAN	1.6
ACO13_HUMAN	NDUA4_HUMAN	1.6
ACO13_HUMAN	NDUS3_HUMAN	3.0400000000000005
ACO13_HUMAN	KPCE_HUMAN	0.64
ACO13_HUMAN	CRCM_HUMAN	0.8
ACO13_HUMAN	IKKE_HUMAN	0.8
ACO13_HUMAN	HDAC5_HUMAN	5.12
ACO13_HUMAN	NTAQ1_HUMAN	3.2
ACO13_HUMAN	SPG21_HUMAN	3.2
ACO13_HUMAN	MYDGF_HUMAN	3.2
ACO13_HUMAN	PPCT_HUMAN	3.6
ACO13_HUMAN	CDK2_HUMAN	0.8
ACO13_HUMAN	REQU_HUMAN	0.8
ACO13_HUMAN	ODB2_HUMAN	0.8
ACO13_HUMAN	ZMYM2_HUMAN	0.8
ACO13_HUMAN	ZRAN1_HUMAN	0.8
ACO13_HUMAN	TRI67_HUMAN	0.8
ACO13_HUMAN	KAT6A_HUMAN	0.8
ACO13_HUMAN	FITM2_HUMAN	0.64
ACO13_HUMAN	ACO13_HUMAN	132.39999999999998
ACO13_HUMAN	EFTS_HUMAN	0.8
ACO13_HUMAN	NDUF2_HUMAN	0.8
ACO13_HUMAN	ECI2_HUMAN	0.8
ACO13_HUMAN	RAB31_HUMAN	0.8
ACO13_HUMAN	SBDS_HUMAN	0.8
ACO13_HUMAN	PDIA6_HUMAN	0.8
ACO13_HUMAN	PUS7_HUMAN	0.8
ACO13_HUMAN	PUR9_HUMAN	0.8
ACO13_HUMAN	KCY_HUMAN	0.8
ACO13_HUMAN	LMA2L_HUMAN	0.8
ACO13_HUMAN	NH2L1_HUMAN	0.8
ACO13_HUMAN	PTPA_HUMAN	0.8
ACO13_HUMAN	TENN_HUMAN	0.8
ACO13_HUMAN	TRNT1_HUMAN	0.8
ACO13_HUMAN	QOR_HUMAN	0.8
ACO13_HUMAN	NEUL_HUMAN	0.8
