UniProtID	UniProtID	score
ACTN1_HUMAN	SRBS2_HUMAN	4.8
ACTN1_HUMAN	GRB2_HUMAN	0.8
ACTN1_HUMAN	SRC_HUMAN	2.64
ACTN1_HUMAN	ESR1_HUMAN	4.8
ACTN1_HUMAN	DNM1L_HUMAN	3.8400000000000007
ACTN1_HUMAN	SCRIB_HUMAN	0.8
ACTN1_HUMAN	KCNA5_HUMAN	0.8
ACTN1_HUMAN	CTNB1_HUMAN	1.44
ACTN1_HUMAN	LNX1_HUMAN	3.2
ACTN1_HUMAN	KIF1B_HUMAN	0.8
ACTN1_HUMAN	ERBIN_HUMAN	0.8
ACTN1_HUMAN	CD5R2_HUMAN	2.8
ACTN1_HUMAN	KCC2A_HUMAN	4.2
ACTN1_HUMAN	GIPC1_HUMAN	3.6
ACTN1_HUMAN	ATX2_HUMAN	2.4000000000000004
ACTN1_HUMAN	COIL_HUMAN	2.4000000000000004
ACTN1_HUMAN	FRDA_HUMAN	1.6
ACTN1_HUMAN	GFI1B_HUMAN	2.4000000000000004
ACTN1_HUMAN	PSN1_HUMAN	1.6
ACTN1_HUMAN	ATX7_HUMAN	1.6
ACTN1_HUMAN	CAC1A_HUMAN	1.6
ACTN1_HUMAN	GIT2_HUMAN	1.6
ACTN1_HUMAN	NUMBL_HUMAN	1.6
ACTN1_HUMAN	TF2H1_HUMAN	1.6
ACTN1_HUMAN	IMA1_HUMAN	1.6
ACTN1_HUMAN	PIAS4_HUMAN	1.6
ACTN1_HUMAN	PSA1_HUMAN	2.4000000000000004
ACTN1_HUMAN	RS27_HUMAN	1.6
ACTN1_HUMAN	ODPX_HUMAN	1.6
ACTN1_HUMAN	ZYX_HUMAN	5.239999999999999
ACTN1_HUMAN	ACTN1_HUMAN	6.8
ACTN1_HUMAN	ADIP_HUMAN	6.0
ACTN1_HUMAN	ANKR1_HUMAN	0.64
ACTN1_HUMAN	MTR1B_HUMAN	1.6
ACTN1_HUMAN	MTR1A_HUMAN	1.6
ACTN1_HUMAN	ALMS1_HUMAN	2.56
ACTN1_HUMAN	GLUT4_HUMAN	1.44
ACTN1_HUMAN	GBRL1_HUMAN	0.8
ACTN1_HUMAN	ATF2_HUMAN	1.6
ACTN1_HUMAN	HSF5_HUMAN	2.4000000000000004
ACTN1_HUMAN	ANLN_HUMAN	3.2
ACTN1_HUMAN	MYO19_HUMAN	1.6
ACTN1_HUMAN	LIMA1_HUMAN	1.28
ACTN1_HUMAN	CALL3_HUMAN	1.28
ACTN1_HUMAN	DREB_HUMAN	1.6
ACTN1_HUMAN	SYNPO_HUMAN	11.8
ACTN1_HUMAN	MARE1_HUMAN	1.6
ACTN1_HUMAN	MYH9_HUMAN	2.8800000000000003
ACTN1_HUMAN	MYO1C_HUMAN	1.28
ACTN1_HUMAN	PDLI7_HUMAN	4.8
ACTN1_HUMAN	CAZA2_HUMAN	1.6
ACTN1_HUMAN	IQGA1_HUMAN	1.6
ACTN1_HUMAN	PP1B_HUMAN	1.6
ACTN1_HUMAN	AAKB1_HUMAN	1.92
ACTN1_HUMAN	PRD16_HUMAN	0.64
ACTN1_HUMAN	1433G_HUMAN	0.8
ACTN1_HUMAN	LRRK2_HUMAN	1.6
ACTN1_HUMAN	GLCNE_HUMAN	3
ACTN1_HUMAN	CAC1C_HUMAN	4.8
ACTN1_HUMAN	ARX_HUMAN	3.2
ACTN1_HUMAN	SHAN3_HUMAN	4.0
ACTN1_HUMAN	DISC1_HUMAN	2.4000000000000004
ACTN1_HUMAN	CTBP1_HUMAN	2.4000000000000004
ACTN1_HUMAN	ZBT18_HUMAN	0.8
ACTN1_HUMAN	NPC1_HUMAN	1.44
ACTN1_HUMAN	COX15_HUMAN	3.04
ACTN1_HUMAN	DLDH_HUMAN	3.8400000000000007
ACTN1_HUMAN	PARK7_HUMAN	3.04
ACTN1_HUMAN	SRCN1_HUMAN	0.64
ACTN1_HUMAN	CDK5_HUMAN	0.8
ACTN1_HUMAN	PLEK_HUMAN	2.44
ACTN1_HUMAN	PRAG1_HUMAN	1.28
ACTN1_HUMAN	ST2B1_HUMAN	0.8
ACTN1_HUMAN	BTK_HUMAN	1.6
ACTN1_HUMAN	TITIN_HUMAN	6
ACTN1_HUMAN	SUN2_HUMAN	0.8
ACTN1_HUMAN	DUX4_HUMAN	1.6
ACTN1_HUMAN	EZRI_HUMAN	2.4000000000000004
ACTN1_HUMAN	CFTR_HUMAN	16.000000000000004
ACTN1_HUMAN	DAPK1_HUMAN	1.6
ACTN1_HUMAN	ESR2_HUMAN	2.4000000000000004
ACTN1_HUMAN	PRIO_HUMAN	1.6
ACTN1_HUMAN	HS90B_HUMAN	1.6
ACTN1_HUMAN	MK03_HUMAN	0.64
ACTN1_HUMAN	MIPT3_HUMAN	1.6
ACTN1_HUMAN	JUN_HUMAN	1.6
ACTN1_HUMAN	BCAR1_HUMAN	1.6
ACTN1_HUMAN	PKHA7_HUMAN	0.8
ACTN1_HUMAN	HSPB2_HUMAN	1.28
ACTN1_HUMAN	AAPK1_HUMAN	1.28
ACTN1_HUMAN	AGAP2_HUMAN	1.28
ACTN1_HUMAN	CAV3_HUMAN	0.64
ACTN1_HUMAN	RD3_HUMAN	0.64
ACTN1_HUMAN	LITD1_HUMAN	0.8
ACTN1_HUMAN	CADH1_HUMAN	3.7199999999999998
ACTN1_HUMAN	WFDC2_HUMAN	0.8
ACTN1_HUMAN	TSC1_HUMAN	2.4000000000000004
ACTN1_HUMAN	HOME3_HUMAN	0.8
