UniProtID	UniProtID	score
ADA2C_HUMAN	ADCY8_HUMAN	0.6
ADA2C_HUMAN	GNB5_HUMAN	0.6
ADA2C_HUMAN	HGS_HUMAN	3.2
ADA2C_HUMAN	ADA2C_HUMAN	4.0
ADA2C_HUMAN	ACM4_HUMAN	0.6
ADA2C_HUMAN	UCHL1_HUMAN	1.0
ADA2C_HUMAN	GNAI2_HUMAN	0.6
ADA2C_HUMAN	GNAI1_HUMAN	0.6
ADA2C_HUMAN	GABR2_HUMAN	0.6
ADA2C_HUMAN	SMS_HUMAN	0.6
ADA2C_HUMAN	GBB4_HUMAN	0.6
ADA2C_HUMAN	KPCD_HUMAN	0.6
ADA2C_HUMAN	GABR1_HUMAN	0.6
ADA2C_HUMAN	ADA2A_HUMAN	2.6
ADA2C_HUMAN	ADCY1_HUMAN	0.6
ADA2C_HUMAN	DRD2_HUMAN	0.6
ADA2C_HUMAN	ACM2_HUMAN	0.6
ADA2C_HUMAN	OPRD_HUMAN	0.6
ADA2C_HUMAN	MCH_HUMAN	0.6
ADA2C_HUMAN	GNAI3_HUMAN	0.6
ADA2C_HUMAN	DRD4_HUMAN	0.6
ADA2C_HUMAN	KPCA_HUMAN	0.6
ADA2C_HUMAN	OPRK_HUMAN	0.6
ADA2C_HUMAN	DRD3_HUMAN	0.6
ADA2C_HUMAN	GBB1_HUMAN	0.6
ADA2C_HUMAN	GNA11_HUMAN	0.6
ADA2C_HUMAN	GBG12_HUMAN	0.6
ADA2C_HUMAN	A4_HUMAN	0.6
ADA2C_HUMAN	NEB2_HUMAN	1.0
ADA2C_HUMAN	GRM3_HUMAN	0.6
ADA2C_HUMAN	KPCG_HUMAN	0.6
ADA2C_HUMAN	5HT5A_HUMAN	0.6
ADA2C_HUMAN	GBG7_HUMAN	0.6
ADA2C_HUMAN	CO3_HUMAN	0.6
ADA2C_HUMAN	GNAZ_HUMAN	0.6
ADA2C_HUMAN	GBB2_HUMAN	0.6
ADA2C_HUMAN	GRM7_HUMAN	0.6
ADA2C_HUMAN	OPRM_HUMAN	0.6
ADA2C_HUMAN	AA1R_HUMAN	0.6
ADA2C_HUMAN	GBG3_HUMAN	0.6
ADA2C_HUMAN	GBG2_HUMAN	0.6
ADA2C_HUMAN	KPCE_HUMAN	0.6
ADA2C_HUMAN	GPER1_HUMAN	0.6
ADA2C_HUMAN	ANXA1_HUMAN	0.6
ADA2C_HUMAN	LPAR1_HUMAN	0.6
ADA2C_HUMAN	GRM2_HUMAN	0.6
ADCY8_HUMAN	GNB5_HUMAN	0.6
ADCY8_HUMAN	ACM4_HUMAN	0.6
ADCY8_HUMAN	GNAI2_HUMAN	0.6
ADCY8_HUMAN	GNAI1_HUMAN	0.6
ADCY8_HUMAN	GABR2_HUMAN	0.6
ADCY8_HUMAN	SMS_HUMAN	0.6
ADCY8_HUMAN	GBB4_HUMAN	0.6
ADCY8_HUMAN	KPCD_HUMAN	0.6
ADCY8_HUMAN	GABR1_HUMAN	0.6
ADCY8_HUMAN	ADA2A_HUMAN	0.6
ADCY8_HUMAN	ADCY1_HUMAN	0.6
ADCY8_HUMAN	DRD2_HUMAN	0.6
ADCY8_HUMAN	ACM2_HUMAN	0.6
ADCY8_HUMAN	OPRD_HUMAN	0.6
ADCY8_HUMAN	MCH_HUMAN	0.6
ADCY8_HUMAN	GNAI3_HUMAN	0.6
ADCY8_HUMAN	DRD4_HUMAN	0.6
ADCY8_HUMAN	KPCA_HUMAN	0.6
ADCY8_HUMAN	OPRK_HUMAN	0.6
ADCY8_HUMAN	DRD3_HUMAN	0.6
ADCY8_HUMAN	GBB1_HUMAN	0.6
ADCY8_HUMAN	GBG12_HUMAN	0.6
ADCY8_HUMAN	A4_HUMAN	0.6
ADCY8_HUMAN	GRM3_HUMAN	0.6
ADCY8_HUMAN	5HT5A_HUMAN	0.6
ADCY8_HUMAN	GBG7_HUMAN	0.6
ADCY8_HUMAN	CO3_HUMAN	0.6
ADCY8_HUMAN	GNAZ_HUMAN	0.6
ADCY8_HUMAN	GBB2_HUMAN	0.6
ADCY8_HUMAN	GRM7_HUMAN	0.6
ADCY8_HUMAN	OPRM_HUMAN	0.6
ADCY8_HUMAN	AA1R_HUMAN	0.6
ADCY8_HUMAN	GBG3_HUMAN	0.6
ADCY8_HUMAN	GBG2_HUMAN	0.6
ADCY8_HUMAN	KPCE_HUMAN	0.6
ADCY8_HUMAN	GPER1_HUMAN	0.6
ADCY8_HUMAN	ANXA1_HUMAN	0.6
ADCY8_HUMAN	LPAR1_HUMAN	0.6
ADCY8_HUMAN	GRM2_HUMAN	0.6
GNB5_HUMAN	GNB5_HUMAN	1.6
GNB5_HUMAN	ACM4_HUMAN	0.6
GNB5_HUMAN	GNAI2_HUMAN	1.24
GNB5_HUMAN	GNAI1_HUMAN	1.24
GNB5_HUMAN	GABR2_HUMAN	0.6
GNB5_HUMAN	SMS_HUMAN	0.6
GNB5_HUMAN	GBB4_HUMAN	0.6
GNB5_HUMAN	KPCD_HUMAN	0.6
