UniProtID	UniProtID	score
ADDA_HUMAN	CALM1_HUMAN	1.6400000000000001
ADDA_HUMAN	STX7_HUMAN	0.8
ADDA_HUMAN	ADDG_HUMAN	1.4
ADDA_HUMAN	TPM4_HUMAN	2.24
ADDA_HUMAN	SPTN1_HUMAN	1.6
ADDA_HUMAN	RAB2A_HUMAN	0.8
ADDA_HUMAN	TMOD1_HUMAN	1.6
ADDA_HUMAN	AT1B1_HUMAN	0.64
ADDA_HUMAN	LYN_HUMAN	0.8
ADDA_HUMAN	MARE1_HUMAN	0.8
ADDA_HUMAN	TPM3_HUMAN	1.6
ADDA_HUMAN	RAB35_HUMAN	0.8
ADDA_HUMAN	MYO1C_HUMAN	1.44
ADDA_HUMAN	ZDHC5_HUMAN	0.8
ADDA_HUMAN	ARF6_HUMAN	0.8
ADDA_HUMAN	CAZA2_HUMAN	0.8
ADDA_HUMAN	LIMA1_HUMAN	0.64
ADDA_HUMAN	TERA_HUMAN	0.8
ADDA_HUMAN	MARCS_HUMAN	0.8
ADDA_HUMAN	CSK2B_HUMAN	1.6
ADDA_HUMAN	RASH_HUMAN	0.8
ADDA_HUMAN	DEMA_HUMAN	0.6
ADDA_HUMAN	RASN_HUMAN	0.8
ADDA_HUMAN	TRPV1_HUMAN	0.64
ADDA_HUMAN	KPCA_HUMAN	1.0
ADDA_HUMAN	SPTB1_HUMAN	2.0
ADDA_HUMAN	COR1C_HUMAN	0.64
ADDA_HUMAN	CDKL5_HUMAN	0.64
ADDA_HUMAN	MYH9_HUMAN	0.64
ADDA_HUMAN	TBA1A_HUMAN	1.6
ADDA_HUMAN	ACTB_HUMAN	0.8
ADDA_HUMAN	PAK1_HUMAN	2.4000000000000004
ADDA_HUMAN	HS105_HUMAN	2.44
ADDA_HUMAN	NEB2_HUMAN	1.28
ADDA_HUMAN	ODPA_HUMAN	3.04
ADDA_HUMAN	CADH1_HUMAN	0.8
ADDA_HUMAN	LTOR1_HUMAN	0.8
ADDA_HUMAN	CALM2_HUMAN	2.2800000000000002
ADDA_HUMAN	TPM2_HUMAN	0.8
ADDA_HUMAN	FLOT1_HUMAN	0.8
ADDA_HUMAN	ATLA2_HUMAN	0.8
ADDA_HUMAN	INF2_HUMAN	0.8
ADDA_HUMAN	SPTB2_HUMAN	1.6
ADDA_HUMAN	ADDB_HUMAN	2.04
ADDA_HUMAN	1433B_HUMAN	0.64
ADDA_HUMAN	DYST_HUMAN	0.8
ADDA_HUMAN	DC1I2_HUMAN	0.8
ADDA_HUMAN	IQGA1_HUMAN	0.8
ADDA_HUMAN	XPO1_HUMAN	1.44
ADDA_HUMAN	RASK_HUMAN	1.6
