UniProtID	UniProtID	score
ADDG_HUMAN	STX7_HUMAN	0.8
ADDG_HUMAN	CXA1_HUMAN	0.8
ADDG_HUMAN	RAB2A_HUMAN	0.8
ADDG_HUMAN	HSPB1_HUMAN	2.4000000000000004
ADDG_HUMAN	AT1B1_HUMAN	0.64
ADDG_HUMAN	MARE1_HUMAN	1.6
ADDG_HUMAN	LYN_HUMAN	0.8
ADDG_HUMAN	RAB35_HUMAN	0.8
ADDG_HUMAN	HD_HUMAN	0.8
ADDG_HUMAN	ARF6_HUMAN	0.8
ADDG_HUMAN	CAZA2_HUMAN	1.6
ADDG_HUMAN	LIMA1_HUMAN	1.28
ADDG_HUMAN	MARCS_HUMAN	0.8
ADDG_HUMAN	RASH_HUMAN	0.8
ADDG_HUMAN	DEMA_HUMAN	0.6
ADDG_HUMAN	RASN_HUMAN	1.6
ADDG_HUMAN	RHOB_HUMAN	0.8
ADDG_HUMAN	MYH9_HUMAN	1.28
ADDG_HUMAN	ACTB_HUMAN	0.8
ADDG_HUMAN	EZRI_HUMAN	1.6
ADDG_HUMAN	CADH1_HUMAN	0.8
ADDG_HUMAN	LTOR1_HUMAN	0.8
ADDG_HUMAN	RAB5C_HUMAN	0.8
ADDG_HUMAN	CUL3_HUMAN	1.6
ADDG_HUMAN	FLOT1_HUMAN	0.8
ADDG_HUMAN	RB11A_HUMAN	0.8
ADDG_HUMAN	OPRM_HUMAN	1.6
ADDG_HUMAN	SYNPO_HUMAN	1.6
ADDG_HUMAN	ADDA_HUMAN	1.4
ADDG_HUMAN	ADDB_HUMAN	0.8
ADDG_HUMAN	1433B_HUMAN	0.64
ADDG_HUMAN	DC1I2_HUMAN	0.8
ADDG_HUMAN	XPO1_HUMAN	1.44
ADDG_HUMAN	RASK_HUMAN	3.2
ADDG_HUMAN	SC6A4_HUMAN	0.64
ADDG_HUMAN	RGS14_HUMAN	0.64
STX7_HUMAN	CXA1_HUMAN	1.6
STX7_HUMAN	RAB2A_HUMAN	0.8
STX7_HUMAN	LYN_HUMAN	0.8
STX7_HUMAN	RAB35_HUMAN	0.8
