UniProtID	UniProtID	score
ADT2_HUMAN	TRI37_HUMAN	0.8
ADT2_HUMAN	ADRB2_HUMAN	0.8
ADT2_HUMAN	STAU1_HUMAN	2.24
ADT2_HUMAN	RL19_HUMAN	0.8
ADT2_HUMAN	KPCI_HUMAN	1.6
ADT2_HUMAN	RL6_HUMAN	0.8
ADT2_HUMAN	PPM1E_HUMAN	0.8
ADT2_HUMAN	RS8_HUMAN	0.8
ADT2_HUMAN	FLOT2_HUMAN	0.8
ADT2_HUMAN	CYLD_HUMAN	0.8
ADT2_HUMAN	VDAC1_HUMAN	5.24
ADT2_HUMAN	ANX11_HUMAN	0.8
ADT2_HUMAN	GRID2_HUMAN	0.64
ADT2_HUMAN	RSSA_HUMAN	0.8
ADT2_HUMAN	COX5A_HUMAN	0.64
ADT2_HUMAN	DDRGK_HUMAN	0.8
ADT2_HUMAN	RPN1_HUMAN	0.8
ADT2_HUMAN	RL37A_HUMAN	1.4
ADT2_HUMAN	RL9_HUMAN	1.4
ADT2_HUMAN	MLP3A_HUMAN	0.8
ADT2_HUMAN	MK03_HUMAN	0.64
ADT2_HUMAN	PGRC1_HUMAN	0.64
ADT2_HUMAN	ATD3A_HUMAN	0.8
ADT2_HUMAN	TCTP_HUMAN	0.8
ADT2_HUMAN	UBC12_HUMAN	0.8
ADT2_HUMAN	UBP15_HUMAN	0.8
ADT2_HUMAN	GBRL2_HUMAN	0.8
ADT2_HUMAN	RB11A_HUMAN	1.28
ADT2_HUMAN	PLCB1_HUMAN	0.64
ADT2_HUMAN	CUL5_HUMAN	1.6
ADT2_HUMAN	RL23A_HUMAN	1.4
ADT2_HUMAN	RS6_HUMAN	0.8
ADT2_HUMAN	MP2K3_HUMAN	2.4000000000000004
ADT2_HUMAN	COXM1_HUMAN	0.8
ADT2_HUMAN	VDAC3_HUMAN	1.4
ADT2_HUMAN	RS3_HUMAN	0.8
ADT2_HUMAN	KPCE_HUMAN	2.8400000000000003
ADT2_HUMAN	KPCZ_HUMAN	2.4000000000000004
ADT2_HUMAN	RL10A_HUMAN	1.4
ADT2_HUMAN	COX6C_HUMAN	0.64
ADT2_HUMAN	RL7A_HUMAN	1.4
ADT2_HUMAN	PHB_HUMAN	2.4000000000000004
ADT2_HUMAN	RS15A_HUMAN	0.8
ADT2_HUMAN	UBC_HUMAN	0.64
ADT2_HUMAN	RS19_HUMAN	1.4
ADT2_HUMAN	MDHM_HUMAN	0.64
ADT2_HUMAN	CXA1_HUMAN	1.28
ADT2_HUMAN	IGF1R_HUMAN	0.8
ADT2_HUMAN	IF4A3_HUMAN	0.8
ADT2_HUMAN	PTEN_HUMAN	0.8
ADT2_HUMAN	RL7_HUMAN	1.4
ADT2_HUMAN	RS3A_HUMAN	0.8
ADT2_HUMAN	DLG4_HUMAN	1.28
ADT2_HUMAN	TBG1_HUMAN	1.28
ADT2_HUMAN	RS21_HUMAN	1.4
ADT2_HUMAN	RL15_HUMAN	1.4
ADT2_HUMAN	GRB2_HUMAN	4.0
ADT2_HUMAN	TBA1A_HUMAN	1.6
ADT2_HUMAN	RHOA_HUMAN	2.4000000000000004
ADT2_HUMAN	PAK1_HUMAN	2.4000000000000004
ADT2_HUMAN	DNM1L_HUMAN	0.8
ADT2_HUMAN	1433E_HUMAN	0.64
ADT2_HUMAN	ODPA_HUMAN	0.8
ADT2_HUMAN	RS23_HUMAN	0.8
ADT2_HUMAN	AIFM1_HUMAN	1.6
ADT2_HUMAN	DJC11_HUMAN	1.28
ADT2_HUMAN	RS4X_HUMAN	0.8
ADT2_HUMAN	CUL3_HUMAN	1.6
ADT2_HUMAN	BAG3_HUMAN	0.8
ADT2_HUMAN	1433B_HUMAN	0.64
ADT2_HUMAN	RL31_HUMAN	1.4
ADT2_HUMAN	MIC27_HUMAN	1.6
ADT2_HUMAN	SC6A4_HUMAN	0.64
ADT2_HUMAN	NCK2_HUMAN	0.8
ADT2_HUMAN	CH60_HUMAN	0.8
ADT2_HUMAN	TRAP1_HUMAN	0.8
ADT2_HUMAN	ADT3_HUMAN	1.4
ADT2_HUMAN	UBL4A_HUMAN	0.8
ADT2_HUMAN	DICER_HUMAN	0.8
ADT2_HUMAN	RS24_HUMAN	0.8
ADT2_HUMAN	1433Z_HUMAN	0.64
ADT2_HUMAN	PPID_HUMAN	0.6
ADT2_HUMAN	RL18_HUMAN	1.4
ADT2_HUMAN	HSPB1_HUMAN	0.8
ADT2_HUMAN	TIP_HUMAN	0.8
ADT2_HUMAN	TAU_HUMAN	1.28
ADT2_HUMAN	5HT7R_HUMAN	0.8
ADT2_HUMAN	NPTN_HUMAN	0.8
ADT2_HUMAN	RL5_HUMAN	0.8
ADT2_HUMAN	HSP7C_HUMAN	0.8
ADT2_HUMAN	ADT1_HUMAN	2.8400000000000003
ADT2_HUMAN	RL11_HUMAN	0.8
ADT2_HUMAN	VA0D1_HUMAN	0.8
ADT2_HUMAN	VDAC2_HUMAN	1.4
ADT2_HUMAN	NDUS3_HUMAN	3.2
ADT2_HUMAN	RBX1_HUMAN	0.8
ADT2_HUMAN	RL4_HUMAN	0.8
ADT2_HUMAN	GRP75_HUMAN	0.8
ADT2_HUMAN	ODO2_HUMAN	3.8400000000000007
ADT2_HUMAN	CAND1_HUMAN	1.6
ADT2_HUMAN	RS28_HUMAN	1.4
ADT2_HUMAN	PSN1_HUMAN	1.28
ADT2_HUMAN	RL21_HUMAN	1.4
ADT2_HUMAN	FUS_HUMAN	0.8
ADT2_HUMAN	EZRI_HUMAN	1.6
ADT2_HUMAN	PCBP1_HUMAN	0.8
ADT2_HUMAN	EFTU_HUMAN	0.8
ADT2_HUMAN	FLOT1_HUMAN	0.8
ADT2_HUMAN	SYNPO_HUMAN	0.8
ADT2_HUMAN	ELAV1_HUMAN	0.8
ADT2_HUMAN	NDUA4_HUMAN	3.2
ADT2_HUMAN	SCOT1_HUMAN	0.8
ADT2_HUMAN	HS90A_HUMAN	0.8
ADT2_HUMAN	RS2_HUMAN	0.8
ADT2_HUMAN	NMDE2_HUMAN	0.64
ADT2_HUMAN	CTNB1_HUMAN	0.8
