UniProtID	UniProtID	score
AFG32_HUMAN	DLG4_HUMAN	0.64
AFG32_HUMAN	SRC_HUMAN	0.8
AFG32_HUMAN	LYN_HUMAN	0.8
AFG32_HUMAN	YES_HUMAN	0.8
AFG32_HUMAN	RAC3_HUMAN	0.8
AFG32_HUMAN	ESR1_HUMAN	2.4000000000000004
AFG32_HUMAN	LCK_HUMAN	0.8
AFG32_HUMAN	DBNL_HUMAN	0.64
AFG32_HUMAN	MYO1E_HUMAN	0.64
AFG32_HUMAN	PEX14_HUMAN	0.8
AFG32_HUMAN	TRI25_HUMAN	0.8
AFG32_HUMAN	NU155_HUMAN	0.8
AFG32_HUMAN	OPTN_HUMAN	0.8
AFG32_HUMAN	SYCM_HUMAN	0.64
AFG32_HUMAN	MAVS_HUMAN	0.8
AFG32_HUMAN	RAF1_HUMAN	0.8
AFG32_HUMAN	SHAN3_HUMAN	0.64
AFG32_HUMAN	G3BP2_HUMAN	0.8
AFG32_HUMAN	TNPO1_HUMAN	1.28
AFG32_HUMAN	RIT1_HUMAN	0.8
AFG32_HUMAN	A4_HUMAN	0.8
AFG32_HUMAN	HSP7C_HUMAN	0.64
AFG32_HUMAN	RC3H1_HUMAN	1.44
AFG32_HUMAN	TBX3_HUMAN	0.8
AFG32_HUMAN	EZH2_HUMAN	0.8
AFG32_HUMAN	MPPA_HUMAN	0.8
AFG32_HUMAN	S61A1_HUMAN	0.8
AFG32_HUMAN	RB11A_HUMAN	0.8
AFG32_HUMAN	H4_HUMAN	0.8
AFG32_HUMAN	HD_HUMAN	2.4000000000000004
AFG32_HUMAN	INSR_HUMAN	1.6
AFG32_HUMAN	EGFR_HUMAN	0.8
AFG32_HUMAN	AKAP1_HUMAN	0.8
AFG32_HUMAN	RND1_HUMAN	0.8
AFG32_HUMAN	UBB_HUMAN	0.8
AFG32_HUMAN	CDC42_HUMAN	0.8
AFG32_HUMAN	RAC1_HUMAN	0.8
AFG32_HUMAN	DYST_HUMAN	0.8
AFG32_HUMAN	JIP2_HUMAN	1.6
AFG32_HUMAN	C1QBP_HUMAN	0.8
AFG32_HUMAN	ALDOA_HUMAN	0.64
AFG32_HUMAN	NDUAD_HUMAN	1.6
AFG32_HUMAN	PHB2_HUMAN	1.6
AFG32_HUMAN	GIT1_HUMAN	0.64
AFG32_HUMAN	BRD7_HUMAN	0.8
AFG32_HUMAN	RHOA_HUMAN	0.8
AFG32_HUMAN	FKBP8_HUMAN	0.8
AFG32_HUMAN	DISC1_HUMAN	0.64
AFG32_HUMAN	LONM_HUMAN	0.8
AFG32_HUMAN	MACF1_HUMAN	0.8
AFG32_HUMAN	DHX30_HUMAN	0.8
AFG32_HUMAN	VGFR3_HUMAN	1.6
AFG32_HUMAN	MIRO2_HUMAN	0.8
AFG32_HUMAN	DNJA3_HUMAN	0.8
AFG32_HUMAN	STAU1_HUMAN	0.8
AFG32_HUMAN	STAM1_HUMAN	0.64
AFG32_HUMAN	KCNA3_HUMAN	0.64
AFG32_HUMAN	ARF6_HUMAN	0.8
AFG32_HUMAN	IRAK1_HUMAN	1.6
AFG32_HUMAN	HAX1_HUMAN	0.8
AFG32_HUMAN	TNR1A_HUMAN	0.8
AFG32_HUMAN	MERL_HUMAN	0.8
AFG32_HUMAN	BTK_HUMAN	2.24
AFG32_HUMAN	RAC2_HUMAN	2.4000000000000004
AFG32_HUMAN	TBA1A_HUMAN	1.6
AFG32_HUMAN	SMN_HUMAN	1.28
AFG32_HUMAN	CTNA1_HUMAN	0.8
AFG32_HUMAN	YTDC1_HUMAN	0.8
AFG32_HUMAN	RPN1_HUMAN	0.8
AFG32_HUMAN	ERBB2_HUMAN	3.2
AFG32_HUMAN	PTEN_HUMAN	0.8
AFG32_HUMAN	BECN1_HUMAN	2.4000000000000004
AFG32_HUMAN	SYGP1_HUMAN	0.64
