UniProtID	UniProtID	score
AGAP1_HUMAN	SRC_HUMAN	1.0
AGAP1_HUMAN	ARF1_HUMAN	3.0
AGAP1_HUMAN	AGAP1_HUMAN	2.0
AGAP1_HUMAN	RAB35_HUMAN	0.8
AGAP1_HUMAN	RAC1_HUMAN	1.0
AGAP1_HUMAN	ARF6_HUMAN	1.8
AGAP1_HUMAN	DCLK1_HUMAN	1.6
AGAP1_HUMAN	LIMA1_HUMAN	1.6
AGAP1_HUMAN	RASN_HUMAN	0.8
AGAP1_HUMAN	EPHA7_HUMAN	0.8
AGAP1_HUMAN	NGAP_HUMAN	1.6
AGAP1_HUMAN	SI1L1_HUMAN	1.6
AGAP1_HUMAN	SPD2A_HUMAN	1.6
AGAP1_HUMAN	TIAM1_HUMAN	1.6
AGAP1_HUMAN	RHOA_HUMAN	4.0
AGAP1_HUMAN	A4_HUMAN	0.8
AGAP1_HUMAN	LRFN1_HUMAN	1.6
AGAP1_HUMAN	NF1_HUMAN	1.6
AGAP1_HUMAN	SYGP1_HUMAN	0.64
AGAP1_HUMAN	PKHA5_HUMAN	1.6
AGAP1_HUMAN	SRGP2_HUMAN	1.6
AGAP1_HUMAN	CDC42_HUMAN	1.0
AGAP1_HUMAN	XPO1_HUMAN	1.44
AGAP1_HUMAN	RASK_HUMAN	0.8
AGAP1_HUMAN	SC6A4_HUMAN	0.64
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	RAC1_HUMAN	1.6
SRC_HUMAN	ARF6_HUMAN	1.4
SRC_HUMAN	RASN_HUMAN	1.4
SRC_HUMAN	EPHA7_HUMAN	0.6
SRC_HUMAN	SPD2A_HUMAN	2.6
SRC_HUMAN	TIAM1_HUMAN	0.6
SRC_HUMAN	RHOA_HUMAN	0.6
SRC_HUMAN	A4_HUMAN	1.0
SRC_HUMAN	CDC42_HUMAN	0.6
SRC_HUMAN	RASK_HUMAN	3.0000000000000004
ARF1_HUMAN	ARF1_HUMAN	21.6
ARF1_HUMAN	RAB35_HUMAN	0.8
ARF1_HUMAN	RAC1_HUMAN	0.6
ARF1_HUMAN	ARF6_HUMAN	1.4
ARF1_HUMAN	RASN_HUMAN	0.8
ARF1_HUMAN	RASK_HUMAN	2.4000000000000004
RAB35_HUMAN	RAC1_HUMAN	1.0
RAB35_HUMAN	ARF6_HUMAN	0.8
RAB35_HUMAN	EPHA7_HUMAN	0.8
RAB35_HUMAN	NGAP_HUMAN	0.8
RAB35_HUMAN	TIAM1_HUMAN	0.8
RAB35_HUMAN	A4_HUMAN	0.8
RAB35_HUMAN	PKHA5_HUMAN	0.8
RAB35_HUMAN	CDC42_HUMAN	1.0
RAC1_HUMAN	RAC1_HUMAN	41.2
RAC1_HUMAN	ARF6_HUMAN	0.6
RAC1_HUMAN	LIMA1_HUMAN	0.8
RAC1_HUMAN	RASN_HUMAN	0.6
RAC1_HUMAN	TIAM1_HUMAN	13.000000000000004
RAC1_HUMAN	RHOA_HUMAN	1.88
RAC1_HUMAN	A4_HUMAN	2.4000000000000004
RAC1_HUMAN	SRGP2_HUMAN	2.24
RAC1_HUMAN	CDC42_HUMAN	1.88
RAC1_HUMAN	XPO1_HUMAN	1.6
RAC1_HUMAN	RASK_HUMAN	1.4
ARF6_HUMAN	ARF6_HUMAN	6.0
ARF6_HUMAN	RASN_HUMAN	0.8
ARF6_HUMAN	EPHA7_HUMAN	0.8
ARF6_HUMAN	NGAP_HUMAN	0.8
ARF6_HUMAN	TIAM1_HUMAN	1.4
ARF6_HUMAN	RHOA_HUMAN	0.6
ARF6_HUMAN	A4_HUMAN	0.8
ARF6_HUMAN	PKHA5_HUMAN	0.8
ARF6_HUMAN	CDC42_HUMAN	0.6
ARF6_HUMAN	RASK_HUMAN	1.6
DCLK1_HUMAN	DCLK1_HUMAN	9.6
DCLK1_HUMAN	LIMA1_HUMAN	1.6
DCLK1_HUMAN	NGAP_HUMAN	1.6
DCLK1_HUMAN	SI1L1_HUMAN	1.6
