UniProtID	UniProtID	score
AGRL1_HUMAN	DISC1_HUMAN	0.8
AGRL1_HUMAN	NRN1_HUMAN	0.8
AGRL1_HUMAN	ELAV1_HUMAN	0.8
AGRL1_HUMAN	SHAN3_HUMAN	3.8400000000000007
AGRL1_HUMAN	1433B_HUMAN	0.64
AGRL1_HUMAN	NRG1_HUMAN	1.6
AGRL1_HUMAN	UBC_HUMAN	0.64
AGRL1_HUMAN	AGRL1_HUMAN	1.6
AGRL1_HUMAN	VA0D1_HUMAN	0.8
AGRL1_HUMAN	APC_HUMAN	1.6
AGRL1_HUMAN	SHAN1_HUMAN	2.24
AGRL1_HUMAN	FLRT3_HUMAN	1.4
AGRL1_HUMAN	RASK_HUMAN	0.8
AGRL1_HUMAN	AGRL3_HUMAN	0.64
AGRL1_HUMAN	SHAN2_HUMAN	3.0400000000000005
AGRL1_HUMAN	LYN_HUMAN	0.8
AGRL1_HUMAN	SC6A4_HUMAN	0.64
DISC1_HUMAN	DISC1_HUMAN	1.6
DISC1_HUMAN	1433B_HUMAN	0.8
ELAV1_HUMAN	ELAV1_HUMAN	46.8
ELAV1_HUMAN	SHAN3_HUMAN	0.8
ELAV1_HUMAN	1433B_HUMAN	0.8
ELAV1_HUMAN	UBC_HUMAN	4.0
ELAV1_HUMAN	RASK_HUMAN	0.8
ELAV1_HUMAN	LYN_HUMAN	0.8
SHAN3_HUMAN	SHAN3_HUMAN	49.359999999999964
SHAN3_HUMAN	1433B_HUMAN	2.56
SHAN3_HUMAN	SHAN1_HUMAN	4.5200000000000005
SHAN3_HUMAN	RASK_HUMAN	0.8
SHAN3_HUMAN	SHAN2_HUMAN	1.92
SHAN3_HUMAN	SC6A4_HUMAN	0.64
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	UBC_HUMAN	2.8800000000000003
1433B_HUMAN	VA0D1_HUMAN	0.64
1433B_HUMAN	RASK_HUMAN	1.4
1433B_HUMAN	AGRL3_HUMAN	0.64
1433B_HUMAN	SHAN2_HUMAN	0.64
1433B_HUMAN	SC6A4_HUMAN	0.64
NRG1_HUMAN	UBC_HUMAN	2.4
NRG1_HUMAN	RASK_HUMAN	0.6
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	VA0D1_HUMAN	0.8
UBC_HUMAN	APC_HUMAN	1.4
UBC_HUMAN	RASK_HUMAN	1.24
UBC_HUMAN	LYN_HUMAN	3.04
VA0D1_HUMAN	RASK_HUMAN	0.8
APC_HUMAN	APC_HUMAN	50.0
APC_HUMAN	LYN_HUMAN	0.8
SHAN1_HUMAN	SHAN1_HUMAN	41.20000000000002
SHAN1_HUMAN	SHAN2_HUMAN	0.6
FLRT3_HUMAN	FLRT3_HUMAN	19.2
FLRT3_HUMAN	RASK_HUMAN	1.6
FLRT3_HUMAN	AGRL3_HUMAN	24.6
RASK_HUMAN	RASK_HUMAN	676.0
RASK_HUMAN	LYN_HUMAN	3.8000000000000003
AGRL3_HUMAN	AGRL3_HUMAN	24.400000000000006
LYN_HUMAN	LYN_HUMAN	8.799999999999999
SC6A4_HUMAN	SC6A4_HUMAN	1.28
