UniProtID	UniProtID	score
AK1C1_HUMAN	TERA_HUMAN	0.8
AK1C1_HUMAN	RAF1_HUMAN	0.8
AK1C1_HUMAN	BRD4_HUMAN	0.8
AK1C1_HUMAN	MK03_HUMAN	1.6
AK1C1_HUMAN	SPRE1_HUMAN	2.4000000000000004
AK1C1_HUMAN	PTEN_HUMAN	0.64
AK1C1_HUMAN	FINC_HUMAN	1.6
AK1C1_HUMAN	COMD8_HUMAN	1.6
AK1C1_HUMAN	AK1C2_HUMAN	3.2
AK1C1_HUMAN	AK1C3_HUMAN	3.2
AK1C1_HUMAN	AK1D1_HUMAN	3.2
AK1C1_HUMAN	ANR16_HUMAN	0.64
AK1C1_HUMAN	PTN3_HUMAN	6.3999999999999995
AK1C1_HUMAN	TFF3_HUMAN	3
AK1C1_HUMAN	AGR2_HUMAN	1.6
AK1C1_HUMAN	FNDC5_HUMAN	0.8
AK1C1_HUMAN	ZRAN1_HUMAN	0.8
