UniProtID	UniProtID	score
AKAP1_HUMAN	SRC_HUMAN	0.8
AKAP1_HUMAN	ESR1_HUMAN	2.4000000000000004
AKAP1_HUMAN	DNM1L_HUMAN	2.4000000000000004
AKAP1_HUMAN	EGLN1_HUMAN	0.8
AKAP1_HUMAN	SCRIB_HUMAN	0.8
AKAP1_HUMAN	RPR1B_HUMAN	1.28
AKAP1_HUMAN	EXOC4_HUMAN	0.8
AKAP1_HUMAN	ACTN1_HUMAN	0.8
AKAP1_HUMAN	PEX13_HUMAN	0.8
AKAP1_HUMAN	PEX14_HUMAN	1.6
AKAP1_HUMAN	PABP1_HUMAN	3.2
AKAP1_HUMAN	LAR4B_HUMAN	1.6
AKAP1_HUMAN	P73_HUMAN	0.8
AKAP1_HUMAN	FAF2_HUMAN	1.6
AKAP1_HUMAN	NU155_HUMAN	0.8
AKAP1_HUMAN	UBP7_HUMAN	1.6
AKAP1_HUMAN	STBD1_HUMAN	0.8
AKAP1_HUMAN	ATG2A_HUMAN	0.8
AKAP1_HUMAN	OPTN_HUMAN	1.6
AKAP1_HUMAN	CDC37_HUMAN	0.8
AKAP1_HUMAN	MAVS_HUMAN	2.4000000000000004
AKAP1_HUMAN	RAF1_HUMAN	0.8
AKAP1_HUMAN	TGON2_HUMAN	0.8
AKAP1_HUMAN	DOCK3_HUMAN	1.6
AKAP1_HUMAN	CKAP5_HUMAN	1.6
AKAP1_HUMAN	VP13A_HUMAN	0.8
AKAP1_HUMAN	OPT_HUMAN	0.8
AKAP1_HUMAN	RAB8B_HUMAN	0.8
AKAP1_HUMAN	RAB6B_HUMAN	0.8
AKAP1_HUMAN	FUBP3_HUMAN	1.6
AKAP1_HUMAN	A4_HUMAN	1.6
AKAP1_HUMAN	HSP7C_HUMAN	0.8
AKAP1_HUMAN	PX11B_HUMAN	0.8
AKAP1_HUMAN	PEX19_HUMAN	0.8
AKAP1_HUMAN	ABCD1_HUMAN	1.6
AKAP1_HUMAN	KAP1_HUMAN	2
AKAP1_HUMAN	P3C2A_HUMAN	0.8
AKAP1_HUMAN	SCN2A_HUMAN	0.8
AKAP1_HUMAN	TOM40_HUMAN	0.8
AKAP1_HUMAN	PTN1_HUMAN	1.6
AKAP1_HUMAN	ATX2_HUMAN	2.4000000000000004
AKAP1_HUMAN	YTHD1_HUMAN	0.8
AKAP1_HUMAN	SCYL2_HUMAN	0.8
AKAP1_HUMAN	RAB4A_HUMAN	0.8
AKAP1_HUMAN	LMNA_HUMAN	0.8
AKAP1_HUMAN	BIP_HUMAN	0.8
AKAP1_HUMAN	RB11A_HUMAN	1.6
AKAP1_HUMAN	BAG6_HUMAN	1.6
AKAP1_HUMAN	TM10C_HUMAN	0.8
AKAP1_HUMAN	1433F_HUMAN	1.6
AKAP1_HUMAN	CYBP_HUMAN	0.8
AKAP1_HUMAN	SIAH2_HUMAN	9.0
AKAP1_HUMAN	NDKB_HUMAN	0.8
AKAP1_HUMAN	KAP0_HUMAN	3
AKAP1_HUMAN	MYCBP_HUMAN	7
AKAP1_HUMAN	LARP4_HUMAN	3.2
AKAP1_HUMAN	FARP1_HUMAN	1.6
AKAP1_HUMAN	RL12_HUMAN	1.6
AKAP1_HUMAN	KAP2_HUMAN	10.600000000000001
AKAP1_HUMAN	PYM1_HUMAN	1.6
AKAP1_HUMAN	PHB1_HUMAN	1.6
AKAP1_HUMAN	KAPCA_HUMAN	11.200000000000001
AKAP1_HUMAN	PHB2_HUMAN	3.2
AKAP1_HUMAN	KAPCB_HUMAN	7.679999999999999
AKAP1_HUMAN	KTN1_HUMAN	1.6
AKAP1_HUMAN	PTN21_HUMAN	4.8
AKAP1_HUMAN	UBB_HUMAN	0.8
AKAP1_HUMAN	UBC_HUMAN	0.8
AKAP1_HUMAN	RS27A_HUMAN	0.8
AKAP1_HUMAN	RL40_HUMAN	0.8
AKAP1_HUMAN	PTPRC_HUMAN	0.8
AKAP1_HUMAN	LN28A_HUMAN	0.8
AKAP1_HUMAN	KAP3_HUMAN	6.3999999999999995
AKAP1_HUMAN	H12_HUMAN	1.6
AKAP1_HUMAN	HPT_HUMAN	1.6
AKAP1_HUMAN	TRFE_HUMAN	1.6
AKAP1_HUMAN	TSYL4_HUMAN	1.6
AKAP1_HUMAN	FIBG_HUMAN	1.6
AKAP1_HUMAN	DYSF_HUMAN	1.6
AKAP1_HUMAN	MKS3_HUMAN	1.6
AKAP1_HUMAN	CEP43_HUMAN	1.6
AKAP1_HUMAN	AIFM1_HUMAN	4.0
AKAP1_HUMAN	COX14_HUMAN	1.6
AKAP1_HUMAN	MGST3_HUMAN	1.6
AKAP1_HUMAN	PLRKT_HUMAN	2.4000000000000004
AKAP1_HUMAN	SCO1_HUMAN	1.6
AKAP1_HUMAN	SFXN1_HUMAN	3.2
AKAP1_HUMAN	TOM20_HUMAN	2.4000000000000004
AKAP1_HUMAN	TOM22_HUMAN	2.4000000000000004
AKAP1_HUMAN	NECD_HUMAN	0.8
AKAP1_HUMAN	RON_HUMAN	1.6
AKAP1_HUMAN	FHI2B_HUMAN	1.6
AKAP1_HUMAN	CFTR_HUMAN	2.4000000000000004
AKAP1_HUMAN	TBA1A_HUMAN	0.8
AKAP1_HUMAN	AMY1B_HUMAN	1
AKAP1_HUMAN	AMY1A_HUMAN	1
AKAP1_HUMAN	AMY1C_HUMAN	1
AKAP1_HUMAN	CFA91_HUMAN	3
AKAP1_HUMAN	APBB2_HUMAN	2.4000000000000004
AKAP1_HUMAN	ZFP41_HUMAN	2.4000000000000004
AKAP1_HUMAN	NTRK1_HUMAN	0.8
AKAP1_HUMAN	TNNI3_HUMAN	0.8
AKAP1_HUMAN	PODO_HUMAN	0.64
AKAP1_HUMAN	NPAS1_HUMAN	1.6
AKAP1_HUMAN	KAPCG_HUMAN	1.6
AKAP1_HUMAN	PRS37_HUMAN	1.6
AKAP1_HUMAN	RPP25_HUMAN	0.8
AKAP1_HUMAN	REEP5_HUMAN	0.8
AKAP1_HUMAN	HIF1N_HUMAN	0.8
AKAP1_HUMAN	EGLN3_HUMAN	0.8
AKAP1_HUMAN	ESR2_HUMAN	0.8
AKAP1_HUMAN	PKHA4_HUMAN	0.8
AKAP1_HUMAN	HNRH1_HUMAN	0.8
