UniProtID	UniProtID	score
AKT2_HUMAN	SRBS2_HUMAN	1.6
AKT2_HUMAN	PAK2_HUMAN	0.8
AKT2_HUMAN	VINEX_HUMAN	3.2
AKT2_HUMAN	LYN_HUMAN	0.8
AKT2_HUMAN	ESR1_HUMAN	2
AKT2_HUMAN	EF1A1_HUMAN	0.64
AKT2_HUMAN	EGLN1_HUMAN	0.8
AKT2_HUMAN	ARRB2_HUMAN	0.8
AKT2_HUMAN	PI51C_HUMAN	1
AKT2_HUMAN	DP13A_HUMAN	4
AKT2_HUMAN	CDC37_HUMAN	2.2800000000000002
AKT2_HUMAN	GGA1_HUMAN	0.8
AKT2_HUMAN	SYDC_HUMAN	0.8
AKT2_HUMAN	RPA2_HUMAN	1.6
AKT2_HUMAN	A4_HUMAN	0.8
AKT2_HUMAN	HSP7C_HUMAN	0.64
AKT2_HUMAN	HS90B_HUMAN	2.24
AKT2_HUMAN	VIME_HUMAN	7.039999999999999
AKT2_HUMAN	BIP_HUMAN	0.64
AKT2_HUMAN	CSK_HUMAN	0.8
AKT2_HUMAN	CDN1A_HUMAN	2
AKT2_HUMAN	EGFR_HUMAN	0.8
AKT2_HUMAN	HS90A_HUMAN	2.24
AKT2_HUMAN	CASP3_HUMAN	1
AKT2_HUMAN	UBB_HUMAN	2.4000000000000004
AKT2_HUMAN	PICK1_HUMAN	3.2
AKT2_HUMAN	GRIA2_HUMAN	0.64
AKT2_HUMAN	ENPL_HUMAN	0.64
AKT2_HUMAN	KPCZ_HUMAN	2
AKT2_HUMAN	CNTP2_HUMAN	0.64
AKT2_HUMAN	SETB1_HUMAN	2
AKT2_HUMAN	RGAP1_HUMAN	1.6
AKT2_HUMAN	TCPE_HUMAN	0.8
AKT2_HUMAN	GSK3B_HUMAN	33.8
AKT2_HUMAN	4EBP1_HUMAN	0.8
AKT2_HUMAN	AP1G1_HUMAN	0.8
AKT2_HUMAN	G3P_HUMAN	1.44
AKT2_HUMAN	DYR1A_HUMAN	0.8
AKT2_HUMAN	PARP1_HUMAN	0.8
AKT2_HUMAN	TRIB3_HUMAN	1
AKT2_HUMAN	AKT1_HUMAN	4.8
AKT2_HUMAN	FAS_HUMAN	0.8
AKT2_HUMAN	CXA1_HUMAN	0.8
AKT2_HUMAN	VHL_HUMAN	1.8
AKT2_HUMAN	TPM2_HUMAN	0.8
AKT2_HUMAN	TTC3_HUMAN	6
AKT2_HUMAN	DEST_HUMAN	1.6
AKT2_HUMAN	KS6A1_HUMAN	0.8
AKT2_HUMAN	KS6B1_HUMAN	0.8
AKT2_HUMAN	PDPK1_HUMAN	0.8
AKT2_HUMAN	PFKAP_HUMAN	2
AKT2_HUMAN	TBA1A_HUMAN	0.64
AKT2_HUMAN	XPOT_HUMAN	0.64
AKT2_HUMAN	APOA1_HUMAN	1.6
AKT2_HUMAN	APOB_HUMAN	1.6
AKT2_HUMAN	CCL14_HUMAN	1.6
AKT2_HUMAN	SPR2A_HUMAN	1.6
AKT2_HUMAN	NAMPT_HUMAN	1.6
AKT2_HUMAN	TMED2_HUMAN	1.6
AKT2_HUMAN	OFUT1_HUMAN	1.6
AKT2_HUMAN	STEA4_HUMAN	1.6
AKT2_HUMAN	AP2C_HUMAN	0.8
AKT2_HUMAN	PREX1_HUMAN	0.8
AKT2_HUMAN	TISD_HUMAN	1.28
AKT2_HUMAN	AP4M1_HUMAN	1.6
AKT2_HUMAN	COT2_HUMAN	2.4000000000000004
AKT2_HUMAN	USP9Y_HUMAN	1.6
AKT2_HUMAN	UBE2O_HUMAN	2.4000000000000004
AKT2_HUMAN	NSE4A_HUMAN	1.6
AKT2_HUMAN	CDK3_HUMAN	3.2
AKT2_HUMAN	CCNA2_HUMAN	1
AKT2_HUMAN	LMAN2_HUMAN	1.6
AKT2_HUMAN	AKT3_HUMAN	2.4000000000000004
AKT2_HUMAN	RB6I2_HUMAN	1.6
AKT2_HUMAN	UCHL1_HUMAN	4
AKT2_HUMAN	SH3R1_HUMAN	4.8
AKT2_HUMAN	PDK1_HUMAN	2
AKT2_HUMAN	ODPA_HUMAN	1
AKT2_HUMAN	PLPL3_HUMAN	1.6
AKT2_HUMAN	ABCG8_HUMAN	1.6
AKT2_HUMAN	SNX27_HUMAN	2.4000000000000004
AKT2_HUMAN	HSP72_HUMAN	0.64
AKT2_HUMAN	HS71L_HUMAN	0.64
AKT2_HUMAN	HS71B_HUMAN	0.64
AKT2_HUMAN	HS71A_HUMAN	0.64
AKT2_HUMAN	EF2_HUMAN	2.24
AKT2_HUMAN	TBB2A_HUMAN	0.64
AKT2_HUMAN	TBB4B_HUMAN	0.64
AKT2_HUMAN	TBB5_HUMAN	0.64
AKT2_HUMAN	ENOA_HUMAN	1.44
AKT2_HUMAN	TBB1_HUMAN	0.64
AKT2_HUMAN	LDHB_HUMAN	0.64
AKT2_HUMAN	LRRK2_HUMAN	0.8
AKT2_HUMAN	TMM17_HUMAN	1.6
AKT2_HUMAN	TCL1A_HUMAN	3
AKT2_HUMAN	TCL1B_HUMAN	1
AKT2_HUMAN	MTCP1_HUMAN	1
AKT2_HUMAN	GRDN_HUMAN	0.8
AKT2_HUMAN	MEOX2_HUMAN	0.8
AKT2_HUMAN	REL_HUMAN	0.8
AKT2_HUMAN	BTBDA_HUMAN	0.8
AKT2_HUMAN	GRK5_HUMAN	0.8
AKT2_HUMAN	SKI_HUMAN	1
AKT2_HUMAN	FSHR_HUMAN	1
AKT2_HUMAN	CLIP3_HUMAN	4.6
AKT2_HUMAN	PKHO1_HUMAN	2
AKT2_HUMAN	SNAI1_HUMAN	4
AKT2_HUMAN	PSMD9_HUMAN	2.4000000000000004
AKT2_HUMAN	BRNP1_HUMAN	0.64
AKT2_HUMAN	DRC1_HUMAN	0.64
AKT2_HUMAN	FAT3_HUMAN	0.8
AKT2_HUMAN	PP2AA_HUMAN	1.6
AKT2_HUMAN	WDR26_HUMAN	2
AKT2_HUMAN	GBB1_HUMAN	1
AKT2_HUMAN	FKBP5_HUMAN	0.8
AKT2_HUMAN	CUL1_HUMAN	0.8
AKT2_HUMAN	AKTS1_HUMAN	0.64
AKT2_HUMAN	M4K4_HUMAN	0.64
AKT2_HUMAN	PKHA4_HUMAN	0.8
AKT2_HUMAN	HNRH1_HUMAN	0.8
AKT2_HUMAN	DJB13_HUMAN	0.8
AKT2_HUMAN	ZN363_HUMAN	0.8
AKT2_HUMAN	XAF1_HUMAN	0.8
AKT2_HUMAN	KCNQ3_HUMAN	0.8
AKT2_HUMAN	RHOQ_HUMAN	0.8
AKT2_HUMAN	PRKN_HUMAN	0.8
AKT2_HUMAN	TRI67_HUMAN	0.8
AKT2_HUMAN	H2B3B_HUMAN	0.8
AKT2_HUMAN	H2B1B_HUMAN	0.8
AKT2_HUMAN	H2B1J_HUMAN	0.8
AKT2_HUMAN	H2B1O_HUMAN	0.8
AKT2_HUMAN	H2B2E_HUMAN	0.8
AKT2_HUMAN	PREB_HUMAN	0.8
AKT2_HUMAN	SRSF5_HUMAN	0.8
AKT2_HUMAN	YIF1B_HUMAN	0.8
AKT2_HUMAN	ODPB_HUMAN	0.8
AKT2_HUMAN	TOP3B_HUMAN	0.8
AKT2_HUMAN	UBE2H_HUMAN	0.8
AKT2_HUMAN	HMDH_HUMAN	0.8
AKT2_HUMAN	CDK12_HUMAN	0.8
AKT2_HUMAN	AAKB1_HUMAN	0.8
AKT2_HUMAN	GRM2_HUMAN	0.8
AKT2_HUMAN	GHSR_HUMAN	0.8
AKT2_HUMAN	CDK5_HUMAN	0.8
AKT2_HUMAN	PRKDC_HUMAN	2.8
AKT2_HUMAN	NTRK1_HUMAN	0.8
AKT2_HUMAN	KS6A3_HUMAN	0.8
AKT2_HUMAN	SGK2_HUMAN	0.8
AKT2_HUMAN	KCD20_HUMAN	0.8
AKT2_HUMAN	BIEA_HUMAN	2
AKT2_HUMAN	H31_HUMAN	1
AKT2_HUMAN	GSK3A_HUMAN	0.8
AKT2_HUMAN	PK3CB_HUMAN	0.8
AKT2_HUMAN	PK3CD_HUMAN	0.8
AKT2_HUMAN	RPE_HUMAN	0.8
AKT2_HUMAN	RAB3D_HUMAN	0.64
AKT2_HUMAN	G6PD_HUMAN	0.8
AKT2_HUMAN	ERO1A_HUMAN	0.8
AKT2_HUMAN	NIBA2_HUMAN	0.8
AKT2_HUMAN	CK052_HUMAN	0.8
AKT2_HUMAN	COIL_HUMAN	0.8
AKT2_HUMAN	RASK_HUMAN	0.8
AKT2_HUMAN	LAMP1_HUMAN	0.8
AKT2_HUMAN	RAB2A_HUMAN	0.8
AKT2_HUMAN	RAB35_HUMAN	0.8
AKT2_HUMAN	CCNF_HUMAN	0.8
AKT2_HUMAN	RFA1_HUMAN	0.8
AKT2_HUMAN	RFA2_HUMAN	0.8
AKT2_HUMAN	RFA3_HUMAN	0.8
AKT2_HUMAN	AKT2_HUMAN	4
