UniProtID	UniProtID	score
AMPL_HUMAN	RPGF2_HUMAN	1.44
AMPL_HUMAN	AL4A1_HUMAN	0.8
AMPL_HUMAN	MDHC_HUMAN	0.8
AMPL_HUMAN	RAB7A_HUMAN	1.6
AMPL_HUMAN	KGUA_HUMAN	0.8
AMPL_HUMAN	PRDX6_HUMAN	0.8
AMPL_HUMAN	PRDX2_HUMAN	1.6
AMPL_HUMAN	ZDHC5_HUMAN	1.6
AMPL_HUMAN	MIF_HUMAN	0.8
AMPL_HUMAN	FXR1_HUMAN	0.8
AMPL_HUMAN	TKT_HUMAN	0.8
AMPL_HUMAN	GRHPR_HUMAN	0.8
AMPL_HUMAN	DLG4_HUMAN	0.64
AMPL_HUMAN	OGT1_HUMAN	1.6
AMPL_HUMAN	CISY_HUMAN	0.8
AMPL_HUMAN	COX5A_HUMAN	0.8
AMPL_HUMAN	SH3G1_HUMAN	0.8
AMPL_HUMAN	GSTP1_HUMAN	0.8
AMPL_HUMAN	VINC_HUMAN	0.64
AMPL_HUMAN	AATC_HUMAN	0.6
AMPL_HUMAN	A4_HUMAN	0.8
AMPL_HUMAN	UBC12_HUMAN	0.8
AMPL_HUMAN	IDHP_HUMAN	0.8
AMPL_HUMAN	AATM_HUMAN	0.6
AMPL_HUMAN	QOR_HUMAN	0.8
AMPL_HUMAN	ARPC2_HUMAN	0.8
AMPL_HUMAN	HCDH_HUMAN	0.8
AMPL_HUMAN	PRDX1_HUMAN	0.8
AMPL_HUMAN	ANFY1_HUMAN	0.64
AMPL_HUMAN	P5CR1_HUMAN	0.6
AMPL_HUMAN	MARE3_HUMAN	3.2
AMPL_HUMAN	KPCE_HUMAN	1.6
AMPL_HUMAN	TS101_HUMAN	0.8
AMPL_HUMAN	COX41_HUMAN	0.8
AMPL_HUMAN	6PGD_HUMAN	0.8
RPGF2_HUMAN	DLG4_HUMAN	0.64
RPGF2_HUMAN	COX5A_HUMAN	1.6
AL4A1_HUMAN	AL4A1_HUMAN	61.20000000000002
AL4A1_HUMAN	TKT_HUMAN	0.8
AL4A1_HUMAN	OGT1_HUMAN	0.8
AL4A1_HUMAN	CISY_HUMAN	0.8
AL4A1_HUMAN	GSTP1_HUMAN	0.8
AL4A1_HUMAN	AATC_HUMAN	1.4
AL4A1_HUMAN	A4_HUMAN	0.8
AL4A1_HUMAN	IDHP_HUMAN	0.8
AL4A1_HUMAN	AATM_HUMAN	0.6
AL4A1_HUMAN	QOR_HUMAN	0.8
AL4A1_HUMAN	P5CR1_HUMAN	0.6
AL4A1_HUMAN	COX41_HUMAN	0.8
MDHC_HUMAN	PRDX6_HUMAN	0.8
MDHC_HUMAN	CISY_HUMAN	0.8
MDHC_HUMAN	AATC_HUMAN	2.08
MDHC_HUMAN	UBC12_HUMAN	0.8
MDHC_HUMAN	6PGD_HUMAN	0.8
RAB7A_HUMAN	RAB7A_HUMAN	24.0
RAB7A_HUMAN	TS101_HUMAN	2.4
KGUA_HUMAN	PRDX6_HUMAN	0.8
KGUA_HUMAN	COX5A_HUMAN	0.8
PRDX6_HUMAN	PRDX6_HUMAN	29.2
PRDX6_HUMAN	PRDX2_HUMAN	3.0000000000000004
PRDX6_HUMAN	GRHPR_HUMAN	1.6
PRDX6_HUMAN	GSTP1_HUMAN	6.639999999999999
PRDX6_HUMAN	UBC12_HUMAN	0.8
PRDX6_HUMAN	IDHP_HUMAN	0.8
PRDX6_HUMAN	QOR_HUMAN	0.8
PRDX6_HUMAN	PRDX1_HUMAN	0.8
PRDX6_HUMAN	COX41_HUMAN	0.8
PRDX2_HUMAN	PRDX2_HUMAN	191.6
PRDX2_HUMAN	DLG4_HUMAN	1.92
PRDX2_HUMAN	GSTP1_HUMAN	0.8
PRDX2_HUMAN	AATC_HUMAN	1.28
PRDX2_HUMAN	A4_HUMAN	0.8
PRDX2_HUMAN	UBC12_HUMAN	0.8
PRDX2_HUMAN	QOR_HUMAN	0.8
PRDX2_HUMAN	HCDH_HUMAN	0.8
PRDX2_HUMAN	PRDX1_HUMAN	5.559999999999999
ZDHC5_HUMAN	ZDHC5_HUMAN	4.8
