UniProtID	UniProtID	score
AP1G1_HUMAN	DYN1_HUMAN	0.6
AP1G1_HUMAN	AP2A1_HUMAN	0.6
AP1G1_HUMAN	STAU1_HUMAN	0.8
AP1G1_HUMAN	SYPH_HUMAN	3.8
AP1G1_HUMAN	ARF1_HUMAN	12.160000000000004
AP1G1_HUMAN	EPS15_HUMAN	4.0
AP1G1_HUMAN	AP2A2_HUMAN	0.6
AP1G1_HUMAN	RAB14_HUMAN	1.6400000000000001
AP1G1_HUMAN	AP1B1_HUMAN	33.56000000000001
AP1G1_HUMAN	RABE1_HUMAN	7.6
AP1G1_HUMAN	CALY_HUMAN	1.0
AP1G1_HUMAN	CLCB_HUMAN	0.6
AP1G1_HUMAN	ARF3_HUMAN	0.6
AP1G1_HUMAN	AP3S2_HUMAN	0.6
AP1G1_HUMAN	MAP1A_HUMAN	1.44
AP1G1_HUMAN	AP1S1_HUMAN	14.040000000000003
AP1G1_HUMAN	ARF6_HUMAN	1.0
AP1G1_HUMAN	CLCA_HUMAN	0.6
AP1G1_HUMAN	PICAL_HUMAN	0.6
AP1G1_HUMAN	AP3S1_HUMAN	0.6
AP1G1_HUMAN	AP2S1_HUMAN	2.24
AP1G1_HUMAN	AP1M1_HUMAN	25.960000000000015
AP1G1_HUMAN	DTBP1_HUMAN	0.6
AP1G1_HUMAN	TPD53_HUMAN	0.6
AP1G1_HUMAN	TERA_HUMAN	0.8
AP1G1_HUMAN	HIP1R_HUMAN	0.6
AP1G1_HUMAN	HSP7C_HUMAN	0.6
AP1G1_HUMAN	SNX2_HUMAN	0.6
AP1G1_HUMAN	ARRB1_HUMAN	0.6
AP1G1_HUMAN	SNAA_HUMAN	0.6
AP1G1_HUMAN	AT8A1_HUMAN	0.64
AP1G1_HUMAN	FRIH_HUMAN	0.6
AP1G1_HUMAN	DYN3_HUMAN	0.6
AP1G1_HUMAN	TF65_HUMAN	0.8
AP1G1_HUMAN	AP3B1_HUMAN	0.6
AP1G1_HUMAN	AMPH_HUMAN	1.0
AP1G1_HUMAN	SNX9_HUMAN	1.6
AP1G1_HUMAN	AP3M2_HUMAN	0.6
AP1G1_HUMAN	PSN2_HUMAN	1.0
AP1G1_HUMAN	AP2M1_HUMAN	4.64
AP1G1_HUMAN	SH3G2_HUMAN	0.6
AP1G1_HUMAN	LIS1_HUMAN	0.8
AP1G1_HUMAN	SYT1_HUMAN	0.8
