UniProtID	UniProtID	score
AP1M1_HUMAN	DYN1_HUMAN	0.6
AP1M1_HUMAN	ARF1_HUMAN	6.999999999999999
AP1M1_HUMAN	CTNB1_HUMAN	0.6
AP1M1_HUMAN	VATD_HUMAN	0.6
AP1M1_HUMAN	SNP25_HUMAN	0.6
AP1M1_HUMAN	AP1B1_HUMAN	23.84000000000001
AP1M1_HUMAN	CLCB_HUMAN	0.6
AP1M1_HUMAN	NMDE1_HUMAN	1.0
AP1M1_HUMAN	UBR4_HUMAN	0.6
AP1M1_HUMAN	AP1S1_HUMAN	10.840000000000002
AP1M1_HUMAN	AP3S1_HUMAN	0.6
AP1M1_HUMAN	FXR1_HUMAN	0.8
AP1M1_HUMAN	CLCA_HUMAN	0.6
AP1M1_HUMAN	PICAL_HUMAN	0.6
AP1M1_HUMAN	HSP7C_HUMAN	0.6
AP1M1_HUMAN	PICK1_HUMAN	3.2
AP1M1_HUMAN	DTBP1_HUMAN	0.6
AP1M1_HUMAN	AP2S1_HUMAN	0.6
AP1M1_HUMAN	HIP1R_HUMAN	0.6
AP1M1_HUMAN	UCRI_HUMAN	0.8
AP1M1_HUMAN	SNX2_HUMAN	0.6
AP1M1_HUMAN	TPD53_HUMAN	0.6
AP1M1_HUMAN	ANO6_HUMAN	0.6
AP1M1_HUMAN	PI51C_HUMAN	0.6
AP1M1_HUMAN	SNAA_HUMAN	0.6
AP1M1_HUMAN	FRIH_HUMAN	1.4
AP1M1_HUMAN	FXR2_HUMAN	7.999999999999999
AP1M1_HUMAN	PURB_HUMAN	3.2
AP1M1_HUMAN	AT8A1_HUMAN	0.6
AP1M1_HUMAN	AP3B1_HUMAN	0.6
AP1M1_HUMAN	DYN3_HUMAN	0.6
AP1M1_HUMAN	SNX9_HUMAN	0.6
AP1M1_HUMAN	ARRB1_HUMAN	0.6
AP1M1_HUMAN	PGRC1_HUMAN	0.6
AP1M1_HUMAN	P2RX1_HUMAN	0.6
AP1M1_HUMAN	DLDH_HUMAN	1.6
AP1M1_HUMAN	SRPK2_HUMAN	0.8
AP1M1_HUMAN	ACHB4_HUMAN	0.6
AP1M1_HUMAN	CD59_HUMAN	0.6
AP1M1_HUMAN	SH3G2_HUMAN	0.6
AP1M1_HUMAN	STOM_HUMAN	0.6
AP1M1_HUMAN	LTOR1_HUMAN	0.6
AP1M1_HUMAN	CADH1_HUMAN	0.6
AP1M1_HUMAN	RAB5C_HUMAN	0.6
AP1M1_HUMAN	RAP1A_HUMAN	0.6
AP1M1_HUMAN	AP2B1_HUMAN	5.4399999999999995
AP1M1_HUMAN	SNP23_HUMAN	0.6
AP1M1_HUMAN	DISC1_HUMAN	0.8
AP1M1_HUMAN	NMDE2_HUMAN	1.0
AP1M1_HUMAN	VAMP2_HUMAN	0.6
AP1M1_HUMAN	LZTS1_HUMAN	3.2
AP1M1_HUMAN	UBA1_HUMAN	1.4
AP1M1_HUMAN	SNX5_HUMAN	0.6
AP1M1_HUMAN	GAK_HUMAN	0.6
AP1M1_HUMAN	RAB37_HUMAN	0.6
AP1M1_HUMAN	AUXI_HUMAN	0.6
AP1M1_HUMAN	GASP2_HUMAN	0.8
AP1M1_HUMAN	XPO1_HUMAN	1.44
AP1M1_HUMAN	KCAB2_HUMAN	0.6
AP1M1_HUMAN	DYN2_HUMAN	0.6
AP1M1_HUMAN	HSP74_HUMAN	0.8
AP1M1_HUMAN	AP1G1_HUMAN	25.960000000000015
AP1M1_HUMAN	ADA10_HUMAN	0.6
AP1M1_HUMAN	CKAP4_HUMAN	0.6
DYN1_HUMAN	DYN1_HUMAN	116.39999999999999
DYN1_HUMAN	ARF1_HUMAN	0.6
DYN1_HUMAN	SNP25_HUMAN	0.8
DYN1_HUMAN	AP1B1_HUMAN	0.6
DYN1_HUMAN	CLCB_HUMAN	0.6
DYN1_HUMAN	AP1S1_HUMAN	0.6
DYN1_HUMAN	CLCA_HUMAN	0.6
DYN1_HUMAN	PICAL_HUMAN	0.6
DYN1_HUMAN	HSP7C_HUMAN	1.24
DYN1_HUMAN	AP2S1_HUMAN	0.6
DYN1_HUMAN	HIP1R_HUMAN	0.6
DYN1_HUMAN	DYN3_HUMAN	2.2
DYN1_HUMAN	SNX9_HUMAN	12.4
DYN1_HUMAN	ARRB1_HUMAN	2.2
DYN1_HUMAN	SH3G2_HUMAN	17.520000000000003
DYN1_HUMAN	RAB5C_HUMAN	0.6
DYN1_HUMAN	AP2B1_HUMAN	1.24
DYN1_HUMAN	NMDE2_HUMAN	1.92
DYN1_HUMAN	VAMP2_HUMAN	3.16
DYN1_HUMAN	GAK_HUMAN	0.6
DYN1_HUMAN	AUXI_HUMAN	0.6
DYN1_HUMAN	DYN2_HUMAN	2.8400000000000003
DYN1_HUMAN	AP1G1_HUMAN	0.6
ARF1_HUMAN	ARF1_HUMAN	21.6
ARF1_HUMAN	CTNB1_HUMAN	0.8
ARF1_HUMAN	SNP25_HUMAN	4.4
ARF1_HUMAN	AP1B1_HUMAN	12.24
