UniProtID	UniProtID	score
AP2A2_HUMAN	SYNJ1_HUMAN	12.640000000000002
AP2A2_HUMAN	GRB2_HUMAN	1
AP2A2_HUMAN	SNX9_HUMAN	1.6
AP2A2_HUMAN	ESR1_HUMAN	0.8
AP2A2_HUMAN	RBP1_HUMAN	0.8
AP2A2_HUMAN	ITSN1_HUMAN	3.2
AP2A2_HUMAN	EPS15_HUMAN	14.840000000000005
AP2A2_HUMAN	STON2_HUMAN	0.8
AP2A2_HUMAN	EPN1_HUMAN	17.520000000000007
AP2A2_HUMAN	AP2B1_HUMAN	58.239999999999924
AP2A2_HUMAN	EPN4_HUMAN	1.6
AP2A2_HUMAN	PP6R3_HUMAN	1.44
AP2A2_HUMAN	AFTIN_HUMAN	1.6
AP2A2_HUMAN	CLH1_HUMAN	3.44
AP2A2_HUMAN	ARRB2_HUMAN	1.6
AP2A2_HUMAN	MLP3A_HUMAN	0.8
AP2A2_HUMAN	SQSTM_HUMAN	0.8
AP2A2_HUMAN	PI51C_HUMAN	1.6400000000000001
AP2A2_HUMAN	EP15R_HUMAN	0.8
AP2A2_HUMAN	AP2M1_HUMAN	63.03999999999991
AP2A2_HUMAN	NUMB_HUMAN	4.32
AP2A2_HUMAN	AMPH_HUMAN	16.520000000000007
AP2A2_HUMAN	DYN1_HUMAN	3.0400000000000005
AP2A2_HUMAN	TERA_HUMAN	0.8
AP2A2_HUMAN	RAF1_HUMAN	0.8
AP2A2_HUMAN	TGON2_HUMAN	6.3999999999999995
AP2A2_HUMAN	BCAR1_HUMAN	0.8
AP2A2_HUMAN	HDAC6_HUMAN	0.8
AP2A2_HUMAN	DAB2_HUMAN	4.08
AP2A2_HUMAN	BIN1_HUMAN	4.04
AP2A2_HUMAN	TNIK_HUMAN	1.28
AP2A2_HUMAN	SH3K1_HUMAN	0.64
AP2A2_HUMAN	A4_HUMAN	1.44
AP2A2_HUMAN	TAU_HUMAN	2.24
AP2A2_HUMAN	1433Z_HUMAN	0.64
AP2A2_HUMAN	EFNB2_HUMAN	0.64
AP2A2_HUMAN	RC3H1_HUMAN	0.8
AP2A2_HUMAN	PRC1_HUMAN	0.8
AP2A2_HUMAN	RARA_HUMAN	0.64
AP2A2_HUMAN	RNPS1_HUMAN	0.8
AP2A2_HUMAN	HD_HUMAN	1.6
AP2A2_HUMAN	YBOX1_HUMAN	0.8
AP2A2_HUMAN	SHC1_HUMAN	7.6
AP2A2_HUMAN	EGFR_HUMAN	10.0
AP2A2_HUMAN	ATX1_HUMAN	0.64
AP2A2_HUMAN	CD4_HUMAN	11.200000000000001
AP2A2_HUMAN	NEB2_HUMAN	1.28
AP2A2_HUMAN	CDC42_HUMAN	0.8
AP2A2_HUMAN	RAC1_HUMAN	0.8
AP2A2_HUMAN	KPCZ_HUMAN	1.6
