UniProtID	UniProtID	score
AP3B1_HUMAN	SRC_HUMAN	0.6
AP3B1_HUMAN	SEPT7_HUMAN	2.0
AP3B1_HUMAN	ATRX_HUMAN	1.6
AP3B1_HUMAN	AP1B1_HUMAN	0.6
AP3B1_HUMAN	CAMKV_HUMAN	0.8
AP3B1_HUMAN	AP3S1_HUMAN	4.6
AP3B1_HUMAN	SYUA_HUMAN	2.4000000000000004
AP3B1_HUMAN	TPD53_HUMAN	0.6
AP3B1_HUMAN	ARRB1_HUMAN	2.2
AP3B1_HUMAN	MPRIP_HUMAN	0.6
AP3B1_HUMAN	RASN_HUMAN	0.6
AP3B1_HUMAN	LRSM1_HUMAN	1.0
AP3B1_HUMAN	E41L3_HUMAN	1.6
AP3B1_HUMAN	MK03_HUMAN	0.6
AP3B1_HUMAN	COG3_HUMAN	0.8
AP3B1_HUMAN	LTOR1_HUMAN	0.8
AP3B1_HUMAN	VAMP2_HUMAN	0.6
AP3B1_HUMAN	RAF1_HUMAN	0.6
AP3B1_HUMAN	PI42A_HUMAN	1.6
AP3B1_HUMAN	ARF5_HUMAN	1.0
AP3B1_HUMAN	IQGA1_HUMAN	0.6
AP3B1_HUMAN	XPO1_HUMAN	1.44
AP3B1_HUMAN	RASK_HUMAN	0.6
AP3B1_HUMAN	CAZA1_HUMAN	0.64
AP3B1_HUMAN	FIBG_HUMAN	0.6
AP3B1_HUMAN	FIBB_HUMAN	0.6
AP3B1_HUMAN	K1549_HUMAN	0.6
AP3B1_HUMAN	AP3S2_HUMAN	2.6
AP3B1_HUMAN	ZNT3_HUMAN	1.0
AP3B1_HUMAN	HD_HUMAN	4.8
AP3B1_HUMAN	FXR1_HUMAN	0.6
AP3B1_HUMAN	PICAL_HUMAN	0.6
AP3B1_HUMAN	AP1M1_HUMAN	0.6
AP3B1_HUMAN	PEBP1_HUMAN	0.6
AP3B1_HUMAN	GCR_HUMAN	0.8
AP3B1_HUMAN	ITB3_HUMAN	0.6
AP3B1_HUMAN	SNX9_HUMAN	0.6
AP3B1_HUMAN	PESC_HUMAN	1.6
AP3B1_HUMAN	MP2K2_HUMAN	0.6
AP3B1_HUMAN	RAP1B_HUMAN	0.6
AP3B1_HUMAN	SNX5_HUMAN	0.6
AP3B1_HUMAN	AP3D1_HUMAN	3.4000000000000004
AP3B1_HUMAN	1433B_HUMAN	0.6
AP3B1_HUMAN	AP3B2_HUMAN	0.6
AP3B1_HUMAN	ARF1_HUMAN	1.6
AP3B1_HUMAN	1433Z_HUMAN	1.6
AP3B1_HUMAN	TLN1_HUMAN	0.6
AP3B1_HUMAN	CLCB_HUMAN	0.8
AP3B1_HUMAN	VPS41_HUMAN	0.8
AP3B1_HUMAN	ARF6_HUMAN	1.0
AP3B1_HUMAN	AP1S1_HUMAN	0.6
AP3B1_HUMAN	CLCA_HUMAN	0.8
AP3B1_HUMAN	ARRB2_HUMAN	2.2
AP3B1_HUMAN	HSP7C_HUMAN	0.6
AP3B1_HUMAN	DTBP1_HUMAN	2.2
AP3B1_HUMAN	HIP1R_HUMAN	0.6
AP3B1_HUMAN	DLG3_HUMAN	1.6
AP3B1_HUMAN	RASH_HUMAN	0.6
AP3B1_HUMAN	AP3M2_HUMAN	2.2
AP3B1_HUMAN	SH3G2_HUMAN	0.6
AP3B1_HUMAN	SND1_HUMAN	0.6
AP3B1_HUMAN	GAK_HUMAN	0.6
AP3B1_HUMAN	MP2K1_HUMAN	0.6
AP3B1_HUMAN	FKB15_HUMAN	0.64
AP3B1_HUMAN	JAK2_HUMAN	0.6
AP3B1_HUMAN	CNKR2_HUMAN	0.6
AP3B1_HUMAN	AKAP9_HUMAN	0.6
AP3B1_HUMAN	SNX2_HUMAN	0.6
AP3B1_HUMAN	SNAA_HUMAN	0.6
AP3B1_HUMAN	FRIH_HUMAN	0.6
AP3B1_HUMAN	VINC_HUMAN	0.6
AP3B1_HUMAN	RAB5C_HUMAN	0.6
AP3B1_HUMAN	KIF3A_HUMAN	5.8
AP3B1_HUMAN	RAP1A_HUMAN	0.6
AP3B1_HUMAN	CAPZB_HUMAN	0.64
AP3B1_HUMAN	E41L2_HUMAN	1.6
AP3B1_HUMAN	AUXI_HUMAN	0.6
AP3B1_HUMAN	DYN2_HUMAN	0.6
AP3B1_HUMAN	VTI1B_HUMAN	2.4000000000000004
AP3B1_HUMAN	LMNA_HUMAN	0.6
AP3B1_HUMAN	AP1G1_HUMAN	0.6
AP3B1_HUMAN	MK01_HUMAN	0.6
AP3B1_HUMAN	ANK3_HUMAN	2.0
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	SYUA_HUMAN	1.6
SRC_HUMAN	ARRB1_HUMAN	11.32
SRC_HUMAN	MPRIP_HUMAN	0.6
SRC_HUMAN	RASN_HUMAN	1.4
SRC_HUMAN	E41L3_HUMAN	1.44
SRC_HUMAN	MK03_HUMAN	2.4
SRC_HUMAN	LTOR1_HUMAN	0.8
SRC_HUMAN	RAF1_HUMAN	2.6
SRC_HUMAN	IQGA1_HUMAN	1.6
SRC_HUMAN	RASK_HUMAN	3.0000000000000004
SRC_HUMAN	FIBG_HUMAN	0.6
SRC_HUMAN	FIBB_HUMAN	0.6
SRC_HUMAN	K1549_HUMAN	0.6
SRC_HUMAN	FXR1_HUMAN	0.6
SRC_HUMAN	PEBP1_HUMAN	0.6
SRC_HUMAN	GCR_HUMAN	1.0
SRC_HUMAN	ITB3_HUMAN	3.2
SRC_HUMAN	MP2K2_HUMAN	0.6
SRC_HUMAN	RAP1B_HUMAN	0.6
SRC_HUMAN	1433B_HUMAN	1.24
SRC_HUMAN	TLN1_HUMAN	1.6
SRC_HUMAN	ARF6_HUMAN	1.4
SRC_HUMAN	ARRB2_HUMAN	7.28
SRC_HUMAN	HSP7C_HUMAN	2.4000000000000004
SRC_HUMAN	RASH_HUMAN	4.8
SRC_HUMAN	SND1_HUMAN	0.6
SRC_HUMAN	MP2K1_HUMAN	2.2
SRC_HUMAN	JAK2_HUMAN	4.0
SRC_HUMAN	CNKR2_HUMAN	0.6
SRC_HUMAN	AKAP9_HUMAN	0.6
SRC_HUMAN	VINC_HUMAN	0.6
SRC_HUMAN	RAP1A_HUMAN	0.6
SRC_HUMAN	DYN2_HUMAN	3.4
SRC_HUMAN	LMNA_HUMAN	0.6
SRC_HUMAN	MK01_HUMAN	1.6
SEPT7_HUMAN	SEPT7_HUMAN	20.0
SEPT7_HUMAN	SYUA_HUMAN	0.64
SEPT7_HUMAN	RASN_HUMAN	0.8
SEPT7_HUMAN	XPO1_HUMAN	1.44
SEPT7_HUMAN	RASK_HUMAN	1.6
SEPT7_HUMAN	CAZA1_HUMAN	0.6
SEPT7_HUMAN	HD_HUMAN	0.8
SEPT7_HUMAN	1433B_HUMAN	0.64
SEPT7_HUMAN	1433Z_HUMAN	0.64
SEPT7_HUMAN	ARF6_HUMAN	0.8
SEPT7_HUMAN	HSP7C_HUMAN	0.8
SEPT7_HUMAN	RASH_HUMAN	0.8
SEPT7_HUMAN	RAB5C_HUMAN	0.8
ATRX_HUMAN	ATRX_HUMAN	10.0
AP1B1_HUMAN	AP1B1_HUMAN	7.999999999999999
AP1B1_HUMAN	AP3S1_HUMAN	0.6
AP1B1_HUMAN	SYUA_HUMAN	2.7199999999999998
AP1B1_HUMAN	TPD53_HUMAN	0.6
AP1B1_HUMAN	ARRB1_HUMAN	0.6
AP1B1_HUMAN	LTOR1_HUMAN	0.8
AP1B1_HUMAN	VAMP2_HUMAN	0.6
AP1B1_HUMAN	XPO1_HUMAN	1.44
AP1B1_HUMAN	HD_HUMAN	0.64
AP1B1_HUMAN	PICAL_HUMAN	0.6
AP1B1_HUMAN	AP1M1_HUMAN	23.84000000000001
AP1B1_HUMAN	GCR_HUMAN	0.8
AP1B1_HUMAN	ITB3_HUMAN	0.64
AP1B1_HUMAN	SNX9_HUMAN	1.4
AP1B1_HUMAN	SNX5_HUMAN	0.6
AP1B1_HUMAN	1433B_HUMAN	0.64
AP1B1_HUMAN	ARF1_HUMAN	12.24
AP1B1_HUMAN	1433Z_HUMAN	0.64
AP1B1_HUMAN	CLCB_HUMAN	0.6
AP1B1_HUMAN	ARF6_HUMAN	0.8
AP1B1_HUMAN	AP1S1_HUMAN	16.840000000000007
AP1B1_HUMAN	CLCA_HUMAN	1.4
AP1B1_HUMAN	ARRB2_HUMAN	1.6
