UniProtID	UniProtID	score
APBB1_HUMAN	ABL1_HUMAN	1.6
APBB1_HUMAN	KALRN_HUMAN	0.8
APBB1_HUMAN	SYUA_HUMAN	0.8
APBB1_HUMAN	WNK1_HUMAN	0.8
APBB1_HUMAN	TEN1_HUMAN	0.8
APBB1_HUMAN	PABP1_HUMAN	0.8
APBB1_HUMAN	P63_HUMAN	0.8
APBB1_HUMAN	VASP_HUMAN	1.6
APBB1_HUMAN	P53_HUMAN	1.6
APBB1_HUMAN	YLPM1_HUMAN	0.8
APBB1_HUMAN	HTSF1_HUMAN	0.8
APBB1_HUMAN	NEUL4_HUMAN	1.6
APBB1_HUMAN	NED4L_HUMAN	4.3999999999999995
APBB1_HUMAN	EP15R_HUMAN	0.8
APBB1_HUMAN	WASF2_HUMAN	0.8
APBB1_HUMAN	SEC62_HUMAN	0.8
APBB1_HUMAN	MGRN1_HUMAN	2
APBB1_HUMAN	SFPQ_HUMAN	0.8
APBB1_HUMAN	SF3B4_HUMAN	0.8
APBB1_HUMAN	NCKP5_HUMAN	0.8
APBB1_HUMAN	RTN4_HUMAN	0.8
APBB1_HUMAN	EIF3D_HUMAN	0.8
APBB1_HUMAN	WIPF1_HUMAN	0.8
APBB1_HUMAN	WASL_HUMAN	1.6
APBB1_HUMAN	FUBP2_HUMAN	0.8
APBB1_HUMAN	A4_HUMAN	48.8
APBB1_HUMAN	TAU_HUMAN	0.8
APBB1_HUMAN	DDX3X_HUMAN	0.8
APBB1_HUMAN	PP1G_HUMAN	2.6
APBB1_HUMAN	4F2_HUMAN	0.8
APBB1_HUMAN	CHERP_HUMAN	0.8
APBB1_HUMAN	PTBP1_HUMAN	0.8
APBB1_HUMAN	PTN1_HUMAN	0.8
APBB1_HUMAN	SF3B2_HUMAN	0.8
APBB1_HUMAN	ZFR_HUMAN	0.8
APBB1_HUMAN	DIAP2_HUMAN	0.8
APBB1_HUMAN	MAP1A_HUMAN	0.8
APBB1_HUMAN	HNRPK_HUMAN	0.8
APBB1_HUMAN	CPSF7_HUMAN	0.8
APBB1_HUMAN	RAB4A_HUMAN	0.8
APBB1_HUMAN	BIP_HUMAN	0.8
APBB1_HUMAN	RB11A_HUMAN	0.8
APBB1_HUMAN	1433F_HUMAN	1.6
APBB1_HUMAN	RASH_HUMAN	0.8
APBB1_HUMAN	IGF1R_HUMAN	2
APBB1_HUMAN	CTBP1_HUMAN	0.8
APBB1_HUMAN	YBOX1_HUMAN	0.8
APBB1_HUMAN	EGFR_HUMAN	4.0
APBB1_HUMAN	APLP2_HUMAN	5.3999999999999995
APBB1_HUMAN	ATX1_HUMAN	2.4000000000000004
APBB1_HUMAN	ANXA1_HUMAN	1.6
APBB1_HUMAN	ARF6_HUMAN	16.200000000000003
APBB1_HUMAN	CSTN1_HUMAN	1
APBB1_HUMAN	H2AX_HUMAN	2.6
APBB1_HUMAN	SV2A_HUMAN	4.0
APBB1_HUMAN	SYDE2_HUMAN	1.6
APBB1_HUMAN	SYDE1_HUMAN	4.0
APBB1_HUMAN	PRIO_HUMAN	1.28
APBB1_HUMAN	SRCN1_HUMAN	0.64
APBB1_HUMAN	LRP1_HUMAN	5.8
APBB1_HUMAN	FA20C_HUMAN	0.8
APBB1_HUMAN	GPM6A_HUMAN	0.8
APBB1_HUMAN	S25A3_HUMAN	0.8
APBB1_HUMAN	PCDH9_HUMAN	0.8
APBB1_HUMAN	ATS14_HUMAN	0.8
APBB1_HUMAN	CAN1_HUMAN	0.8
APBB1_HUMAN	C19L2_HUMAN	0.8
APBB1_HUMAN	MBLC2_HUMAN	0.8
APBB1_HUMAN	SCPDL_HUMAN	0.8
APBB1_HUMAN	PTPRF_HUMAN	0.8
APBB1_HUMAN	PAK4_HUMAN	0.8
APBB1_HUMAN	ITF2_HUMAN	0.8
APBB1_HUMAN	TPM3_HUMAN	0.8
APBB1_HUMAN	KI20B_HUMAN	0.8
APBB1_HUMAN	RAB3C_HUMAN	0.8
APBB1_HUMAN	SMC5_HUMAN	0.8
APBB1_HUMAN	SUCB2_HUMAN	0.8
APBB1_HUMAN	NUMA1_HUMAN	0.8
APBB1_HUMAN	MYCB2_HUMAN	0.8
APBB1_HUMAN	UTP11_HUMAN	0.8
APBB1_HUMAN	NDRG1_HUMAN	0.8
APBB1_HUMAN	SCAM5_HUMAN	0.8
APBB1_HUMAN	CO6A3_HUMAN	0.8
APBB1_HUMAN	I18RA_HUMAN	0.8
APBB1_HUMAN	CSN2_HUMAN	0.8
APBB1_HUMAN	PYGL_HUMAN	0.8
APBB1_HUMAN	OFD1_HUMAN	0.8
APBB1_HUMAN	ZMYM4_HUMAN	0.8
APBB1_HUMAN	ZN292_HUMAN	0.8
APBB1_HUMAN	RPN1_HUMAN	1.6
APBB1_HUMAN	FA13C_HUMAN	0.8
APBB1_HUMAN	SSPO_HUMAN	0.8
APBB1_HUMAN	WDFY4_HUMAN	0.8
APBB1_HUMAN	WASC5_HUMAN	0.8
APBB1_HUMAN	ILF2_HUMAN	0.8
APBB1_HUMAN	SYPH_HUMAN	2.4000000000000004
APBB1_HUMAN	ANR26_HUMAN	0.8
APBB1_HUMAN	HTR5B_HUMAN	0.8
APBB1_HUMAN	LAMB1_HUMAN	0.8
APBB1_HUMAN	CCDC7_HUMAN	0.8
APBB1_HUMAN	UBP31_HUMAN	0.8
APBB1_HUMAN	VGLU1_HUMAN	1.6
APBB1_HUMAN	AT1A2_HUMAN	0.8
APBB1_HUMAN	APBB1_HUMAN	7.6
APBB1_HUMAN	HSP74_HUMAN	0.8
APBB1_HUMAN	AT2B4_HUMAN	0.8
APBB1_HUMAN	AT2B1_HUMAN	0.8
APBB1_HUMAN	EAA1_HUMAN	0.8
APBB1_HUMAN	AATM_HUMAN	0.8
APBB1_HUMAN	FUMH_HUMAN	0.8
APBB1_HUMAN	L1CAM_HUMAN	0.8
