UniProtID	UniProtID	score
APOD_HUMAN	GDN_HUMAN	0.8
APOD_HUMAN	GDAP1_HUMAN	3.2
APOD_HUMAN	AT2B2_HUMAN	0.8
APOD_HUMAN	MFF_HUMAN	0.8
APOD_HUMAN	APOD_HUMAN	2.0
APOD_HUMAN	MGST3_HUMAN	3.2
APOD_HUMAN	GLPK_HUMAN	1.6
APOD_HUMAN	VAPA_HUMAN	7.199999999999999
APOD_HUMAN	PTEN_HUMAN	1.6
APOD_HUMAN	LMNA_HUMAN	0.8
GDN_HUMAN	GDN_HUMAN	2.0
GDAP1_HUMAN	GDAP1_HUMAN	2.0
MFF_HUMAN	MFF_HUMAN	3.6
MFF_HUMAN	MGST3_HUMAN	1.6
MGST3_HUMAN	MGST3_HUMAN	7.999999999999999
MGST3_HUMAN	GLPK_HUMAN	1.6
MGST3_HUMAN	VAPA_HUMAN	1.6
MGST3_HUMAN	LMNA_HUMAN	0.8
VAPA_HUMAN	VAPA_HUMAN	23.600000000000005
VAPA_HUMAN	LMNA_HUMAN	3.2
PTEN_HUMAN	PTEN_HUMAN	58.8
PTEN_HUMAN	LMNA_HUMAN	0.8
LMNA_HUMAN	LMNA_HUMAN	61.2
