UniProtID	UniProtID	score
APOL2_HUMAN	MARH3_HUMAN	3.2
APOL2_HUMAN	TRI25_HUMAN	0.8
APOL2_HUMAN	TM139_HUMAN	3.2
APOL2_HUMAN	TGON2_HUMAN	0.8
APOL2_HUMAN	MK03_HUMAN	1.6
APOL2_HUMAN	HSP7C_HUMAN	0.8
APOL2_HUMAN	EZH2_HUMAN	0.8
APOL2_HUMAN	LMNA_HUMAN	0.8
APOL2_HUMAN	ITB2_HUMAN	3.2
APOL2_HUMAN	AKAP1_HUMAN	0.8
APOL2_HUMAN	APBB2_HUMAN	2.4000000000000004
APOL2_HUMAN	UBB_HUMAN	3.2
APOL2_HUMAN	KCNA1_HUMAN	3.2
APOL2_HUMAN	RPN1_HUMAN	0.8
APOL2_HUMAN	ECHB_HUMAN	0.8
APOL2_HUMAN	HS71B_HUMAN	0.8
APOL2_HUMAN	HS71A_HUMAN	0.8
APOL2_HUMAN	ANM8_HUMAN	0.8
APOL2_HUMAN	STX1A_HUMAN	3.2
APOL2_HUMAN	ID2_HUMAN	1.28
APOL2_HUMAN	BASI_HUMAN	0.8
APOL2_HUMAN	RPN2_HUMAN	0.8
APOL2_HUMAN	UBQL2_HUMAN	0.8
APOL2_HUMAN	CXB5_HUMAN	3.2
APOL2_HUMAN	DX39A_HUMAN	0.8
APOL2_HUMAN	NPTN_HUMAN	0.8
APOL2_HUMAN	HNRH1_HUMAN	0.8
APOL2_HUMAN	HNRH3_HUMAN	1.6
APOL2_HUMAN	RAB5C_HUMAN	0.8
APOL2_HUMAN	YIPF6_HUMAN	3.2
APOL2_HUMAN	MTCH1_HUMAN	0.8
APOL2_HUMAN	CFTR_HUMAN	5.6
APOL2_HUMAN	NIPS2_HUMAN	0.8
APOL2_HUMAN	TBA3D_HUMAN	1.28
APOL2_HUMAN	NCBP1_HUMAN	1.6
APOL2_HUMAN	VAPB_HUMAN	0.8
APOL2_HUMAN	RICTR_HUMAN	0.8
APOL2_HUMAN	MARCS_HUMAN	0.8
APOL2_HUMAN	SODC_HUMAN	2.4000000000000004
APOL2_HUMAN	UBL4A_HUMAN	1.6
APOL2_HUMAN	BAP31_HUMAN	0.8
APOL2_HUMAN	CC50A_HUMAN	1.6
APOL2_HUMAN	MAST3_HUMAN	1.6
APOL2_HUMAN	ACHA3_HUMAN	2.4000000000000004
APOL2_HUMAN	DPP9_HUMAN	0.8
APOL2_HUMAN	RT09_HUMAN	1.6
APOL2_HUMAN	TBA3C_HUMAN	1.28
APOL2_HUMAN	POLK_HUMAN	1.6
APOL2_HUMAN	CERK1_HUMAN	1.6
APOL2_HUMAN	CSCL2_HUMAN	1.6
APOL2_HUMAN	PSG9_HUMAN	3.2
APOL2_HUMAN	ACHD_HUMAN	2.4000000000000004
APOL2_HUMAN	BPNT1_HUMAN	2.4000000000000004
APOL2_HUMAN	GBP5_HUMAN	2.4000000000000004
APOL2_HUMAN	TM209_HUMAN	1.6
APOL2_HUMAN	T179B_HUMAN	2.4000000000000004
APOL2_HUMAN	ERGI3_HUMAN	2.4000000000000004
APOL2_HUMAN	TMED8_HUMAN	3.2
APOL2_HUMAN	SIT1_HUMAN	3.2
APOL2_HUMAN	APOC4_HUMAN	3.2
APOL2_HUMAN	GET1_HUMAN	3.2
APOL2_HUMAN	USE1_HUMAN	3.2
APOL2_HUMAN	PANX1_HUMAN	3.2
APOL2_HUMAN	TMM60_HUMAN	3.2
APOL2_HUMAN	TM45B_HUMAN	3.2
APOL2_HUMAN	CYBC1_HUMAN	3.2
APOL2_HUMAN	MGST3_HUMAN	3.2
APOL2_HUMAN	SFXN5_HUMAN	3.2
APOL2_HUMAN	TM52B_HUMAN	3.2
APOL2_HUMAN	BSND_HUMAN	3.2
APOL2_HUMAN	RCAS1_HUMAN	3.2
APOL2_HUMAN	F209A_HUMAN	3.2
APOL2_HUMAN	EMP1_HUMAN	3.2
APOL2_HUMAN	CISD2_HUMAN	3.2
APOL2_HUMAN	NBEL2_HUMAN	0.8
APOL2_HUMAN	TECT3_HUMAN	2.4000000000000004
APOL2_HUMAN	TECT2_HUMAN	2.4000000000000004
APOL2_HUMAN	VMAT1_HUMAN	0.8
APOL2_HUMAN	STX2_HUMAN	0.8
APOL2_HUMAN	AIG1_HUMAN	0.8
APOL2_HUMAN	MFF_HUMAN	0.8
APOL2_HUMAN	APOC2_HUMAN	0.8
APOL2_HUMAN	S26A6_HUMAN	0.8
APOL2_HUMAN	EID3_HUMAN	1.6
APOL2_HUMAN	GNAZ_HUMAN	1.6
APOL2_HUMAN	AL3B1_HUMAN	0.8
APOL2_HUMAN	DUS22_HUMAN	0.8
APOL2_HUMAN	ERAP1_HUMAN	1.6
APOL2_HUMAN	5HT3A_HUMAN	1.6
APOL2_HUMAN	DQA1_HUMAN	0.8
APOL2_HUMAN	DPP6_HUMAN	0.8
APOL2_HUMAN	ACHB_HUMAN	0.8
APOL2_HUMAN	GTR12_HUMAN	0.8
APOL2_HUMAN	LCFC1_HUMAN	0.8
APOL2_HUMAN	RXFP1_HUMAN	0.8
APOL2_HUMAN	PTH2R_HUMAN	0.8
APOL2_HUMAN	GPR12_HUMAN	0.8
APOL2_HUMAN	CCNF_HUMAN	0.8
APOL2_HUMAN	SPPL3_HUMAN	0.8
APOL2_HUMAN	DPPA3_HUMAN	0.64
APOL2_HUMAN	MTCH2_HUMAN	0.8
APOL2_HUMAN	SC61B_HUMAN	1.6
APOL2_HUMAN	AT2A1_HUMAN	0.8
APOL2_HUMAN	DERL1_HUMAN	0.8
APOL2_HUMAN	ERGI1_HUMAN	0.8
APOL2_HUMAN	CXD3_HUMAN	0.8
APOL2_HUMAN	3BHS7_HUMAN	0.8
