UniProtID	UniProtID	score
ARBK2_HUMAN	ARBK1_HUMAN	4.44
ARBK2_HUMAN	ADRB2_HUMAN	1.6
ARBK2_HUMAN	GIT1_HUMAN	1.0
ARBK2_HUMAN	OPRM_HUMAN	0.6
ARBK2_HUMAN	ARRB2_HUMAN	0.6
ARBK2_HUMAN	DLG4_HUMAN	2.4000000000000004
ARBK2_HUMAN	PAR1_HUMAN	0.6
ARBK2_HUMAN	PTC1_HUMAN	0.8
ARBK2_HUMAN	ARRB1_HUMAN	0.6
ARBK2_HUMAN	HSPB1_HUMAN	1.6
ARBK2_HUMAN	SYGP1_HUMAN	1.28
ARBK1_HUMAN	ADRB2_HUMAN	3.6
ARBK1_HUMAN	GIT1_HUMAN	7.6
ARBK1_HUMAN	OPRM_HUMAN	0.6
ARBK1_HUMAN	ARRB2_HUMAN	2.6
ARBK1_HUMAN	DLG4_HUMAN	4.0
ARBK1_HUMAN	PAR1_HUMAN	0.6
ARBK1_HUMAN	PTC1_HUMAN	3.8
ARBK1_HUMAN	ARRB1_HUMAN	2.24
ADRB2_HUMAN	ADRB2_HUMAN	11.6
ADRB2_HUMAN	ARRB2_HUMAN	7.999999999999999
ADRB2_HUMAN	DLG4_HUMAN	2.08
ADRB2_HUMAN	ARRB1_HUMAN	0.6
GIT1_HUMAN	GIT1_HUMAN	20.000000000000004
GIT1_HUMAN	DLG4_HUMAN	1.28
GIT1_HUMAN	SYGP1_HUMAN	1.28
OPRM_HUMAN	OPRM_HUMAN	1.6
OPRM_HUMAN	ARRB2_HUMAN	1.4
OPRM_HUMAN	ARRB1_HUMAN	0.6
ARRB2_HUMAN	ARRB2_HUMAN	25.600000000000012
ARRB2_HUMAN	DLG4_HUMAN	1.0
ARRB2_HUMAN	PAR1_HUMAN	0.6
ARRB2_HUMAN	PTC1_HUMAN	0.8
ARRB2_HUMAN	ARRB1_HUMAN	12.120000000000003
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	SYGP1_HUMAN	11.080000000000002
PAR1_HUMAN	PAR1_HUMAN	2.0
PAR1_HUMAN	ARRB1_HUMAN	0.6
PTC1_HUMAN	PTC1_HUMAN	13.6
ARRB1_HUMAN	ARRB1_HUMAN	7.999999999999999
HSPB1_HUMAN	HSPB1_HUMAN	188.8
SYGP1_HUMAN	SYGP1_HUMAN	16.000000000000004
