UniProtID	UniProtID	score
ARF5_HUMAN	DLG4_HUMAN	1.28
ARF5_HUMAN	ASAP2_HUMAN	0.64
ARF5_HUMAN	UNK_HUMAN	1.44
ARF5_HUMAN	SH3B4_HUMAN	0.8
ARF5_HUMAN	FAF2_HUMAN	2.24
ARF5_HUMAN	EPN4_HUMAN	0.8
ARF5_HUMAN	GGA1_HUMAN	1.6400000000000001
ARF5_HUMAN	RAF1_HUMAN	0.8
ARF5_HUMAN	TGON2_HUMAN	0.8
ARF5_HUMAN	DLGP1_HUMAN	1.92
ARF5_HUMAN	F16P1_HUMAN	0.8
ARF5_HUMAN	A4_HUMAN	1.6
ARF5_HUMAN	BAG1_HUMAN	0.8
ARF5_HUMAN	4F2_HUMAN	0.8
ARF5_HUMAN	1433Z_HUMAN	0.64
ARF5_HUMAN	ARAF_HUMAN	0.8
ARF5_HUMAN	RYBP_HUMAN	0.8
ARF5_HUMAN	EZH2_HUMAN	0.8
ARF5_HUMAN	SNW1_HUMAN	0.8
ARF5_HUMAN	LMNA_HUMAN	0.8
ARF5_HUMAN	RB11A_HUMAN	2.8
ARF5_HUMAN	PTN23_HUMAN	0.8
ARF5_HUMAN	1433F_HUMAN	0.64
ARF5_HUMAN	BRAF_HUMAN	0.8
ARF5_HUMAN	PCBP2_HUMAN	0.8
ARF5_HUMAN	CTBP1_HUMAN	1.6
ARF5_HUMAN	SYNEM_HUMAN	0.8
ARF5_HUMAN	CSK_HUMAN	0.8
ARF5_HUMAN	MPRI_HUMAN	0.8
ARF5_HUMAN	EGFR_HUMAN	0.64
ARF5_HUMAN	AKAP1_HUMAN	0.8
ARF5_HUMAN	ATX1_HUMAN	0.64
ARF5_HUMAN	RAC1_HUMAN	0.8
ARF5_HUMAN	CNTP2_HUMAN	0.64
ARF5_HUMAN	ELAV1_HUMAN	0.8
ARF5_HUMAN	LDHA_HUMAN	0.8
ARF5_HUMAN	STX6_HUMAN	0.8
ARF5_HUMAN	RAB5B_HUMAN	0.8
ARF5_HUMAN	ARF1_HUMAN	2.4000000000000004
ARF5_HUMAN	TNR6_HUMAN	2.4000000000000004
ARF5_HUMAN	NEMO_HUMAN	1
ARF5_HUMAN	GOGB1_HUMAN	0.8
ARF5_HUMAN	MTNA_HUMAN	0.8
ARF5_HUMAN	STAU1_HUMAN	1.6
ARF5_HUMAN	KCNA2_HUMAN	0.8
ARF5_HUMAN	ARFP2_HUMAN	4.44
ARF5_HUMAN	ARF6_HUMAN	0.8
ARF5_HUMAN	ARF3_HUMAN	1.6
ARF5_HUMAN	K2C1_HUMAN	0.8
ARF5_HUMAN	GTR1_HUMAN	0.8
ARF5_HUMAN	TBA1A_HUMAN	1.6
ARF5_HUMAN	COPB_HUMAN	0.8
ARF5_HUMAN	AP3B1_HUMAN	1.8
ARF5_HUMAN	RPN1_HUMAN	0.8
ARF5_HUMAN	GBF1_HUMAN	0.8
ARF5_HUMAN	ERBB2_HUMAN	1.6
ARF5_HUMAN	OCLN_HUMAN	0.8
ARF5_HUMAN	SYGP1_HUMAN	3.2
ARF5_HUMAN	ACACA_HUMAN	0.8
ARF5_HUMAN	PRKN_HUMAN	0.8
ARF5_HUMAN	RAB8A_HUMAN	1.6
ARF5_HUMAN	CDC5L_HUMAN	0.8
ARF5_HUMAN	RL11_HUMAN	0.8
ARF5_HUMAN	G6PI_HUMAN	0.8
ARF5_HUMAN	K2C5_HUMAN	0.8
ARF5_HUMAN	AP3D1_HUMAN	0.8
ARF5_HUMAN	STX5_HUMAN	0.8
ARF5_HUMAN	ETFA_HUMAN	0.8
ARF5_HUMAN	CHM4B_HUMAN	0.8
ARF5_HUMAN	EPHA2_HUMAN	0.8
ARF5_HUMAN	COPE_HUMAN	0.8
ARF5_HUMAN	UBE2O_HUMAN	0.8
ARF5_HUMAN	COPA_HUMAN	0.8
ARF5_HUMAN	RFA1_HUMAN	0.8
ARF5_HUMAN	RFA2_HUMAN	0.8
ARF5_HUMAN	RFA3_HUMAN	0.8
ARF5_HUMAN	ZCC17_HUMAN	0.8
ARF5_HUMAN	EP300_HUMAN	0.8
ARF5_HUMAN	RPN2_HUMAN	0.8
ARF5_HUMAN	CTBP2_HUMAN	0.8
ARF5_HUMAN	ARF4_HUMAN	2.4000000000000004
ARF5_HUMAN	LDHB_HUMAN	0.8
ARF5_HUMAN	COPB2_HUMAN	0.8
ARF5_HUMAN	NDKM_HUMAN	0.8
