UniProtID	UniProtID	score
ARPC4_HUMAN	GRB2_HUMAN	0.8
ARPC4_HUMAN	DLG4_HUMAN	2.56
ARPC4_HUMAN	SYUA_HUMAN	0.8
ARPC4_HUMAN	RPR1B_HUMAN	0.8
ARPC4_HUMAN	ACTN4_HUMAN	0.8
ARPC4_HUMAN	SH3G1_HUMAN	0.8
ARPC4_HUMAN	MYO1E_HUMAN	1.6
ARPC4_HUMAN	UNK_HUMAN	1.44
ARPC4_HUMAN	TRI25_HUMAN	1.6
ARPC4_HUMAN	DUX4_HUMAN	0.8
ARPC4_HUMAN	SUMO1_HUMAN	0.8
ARPC4_HUMAN	SQSTM_HUMAN	0.8
ARPC4_HUMAN	TM1L1_HUMAN	0.8
ARPC4_HUMAN	PROF2_HUMAN	1.6
ARPC4_HUMAN	RAF1_HUMAN	0.8
ARPC4_HUMAN	FLNA_HUMAN	1.6
ARPC4_HUMAN	HDAC6_HUMAN	0.8
ARPC4_HUMAN	ECT2_HUMAN	0.8
ARPC4_HUMAN	WASL_HUMAN	6.3999999999999995
ARPC4_HUMAN	RIT1_HUMAN	0.8
ARPC4_HUMAN	F16P1_HUMAN	0.8
ARPC4_HUMAN	TAU_HUMAN	1.44
ARPC4_HUMAN	MK03_HUMAN	0.64
ARPC4_HUMAN	BAG1_HUMAN	0.8
ARPC4_HUMAN	HSP7C_HUMAN	0.8
ARPC4_HUMAN	1433Z_HUMAN	0.64
ARPC4_HUMAN	EZH2_HUMAN	0.8
ARPC4_HUMAN	BIP_HUMAN	0.8
ARPC4_HUMAN	CTBP1_HUMAN	2.4000000000000004
ARPC4_HUMAN	PHOCN_HUMAN	0.8
ARPC4_HUMAN	CALM3_HUMAN	0.8
ARPC4_HUMAN	EGFR_HUMAN	0.8
ARPC4_HUMAN	MARE1_HUMAN	0.8
ARPC4_HUMAN	IFM1_HUMAN	1.6
ARPC4_HUMAN	ELAV1_HUMAN	0.8
ARPC4_HUMAN	IDLC_HUMAN	2.4000000000000004
ARPC4_HUMAN	SRC8_HUMAN	2.6
ARPC4_HUMAN	TNR6_HUMAN	0.8
ARPC4_HUMAN	DAPK1_HUMAN	1.6
ARPC4_HUMAN	DISC1_HUMAN	1.6
ARPC4_HUMAN	MYH10_HUMAN	1.92
ARPC4_HUMAN	UBE2N_HUMAN	1.6
ARPC4_HUMAN	PDLI7_HUMAN	1.6
ARPC4_HUMAN	ACTB_HUMAN	0.8
ARPC4_HUMAN	PP1B_HUMAN	1.6
ARPC4_HUMAN	STAU1_HUMAN	1.6
ARPC4_HUMAN	STK26_HUMAN	0.8
ARPC4_HUMAN	MY18A_HUMAN	1.6
ARPC4_HUMAN	STAT1_HUMAN	1.6
ARPC4_HUMAN	IQGA1_HUMAN	1.6
ARPC4_HUMAN	BIRC3_HUMAN	0.8
ARPC4_HUMAN	WASP_HUMAN	2
