UniProtID	UniProtID	score
ARRB1_HUMAN	ADRB2_HUMAN	0.6
ARRB1_HUMAN	SRC_HUMAN	11.32
ARRB1_HUMAN	CALM1_HUMAN	1.6
ARRB1_HUMAN	RAB5B_HUMAN	0.6
ARRB1_HUMAN	CALD1_HUMAN	2.4000000000000004
ARRB1_HUMAN	MK10_HUMAN	4.0
ARRB1_HUMAN	ADRB1_HUMAN	3.0
ARRB1_HUMAN	TBA4A_HUMAN	2.4000000000000004
ARRB1_HUMAN	FAS_HUMAN	2.4000000000000004
ARRB1_HUMAN	AP1B1_HUMAN	0.6
ARRB1_HUMAN	RL6_HUMAN	0.8
ARRB1_HUMAN	NDUS1_HUMAN	0.8
ARRB1_HUMAN	PPIA_HUMAN	0.8
ARRB1_HUMAN	RS8_HUMAN	1.6
ARRB1_HUMAN	RS17_HUMAN	2.24
ARRB1_HUMAN	2AAA_HUMAN	0.6
ARRB1_HUMAN	AP3S1_HUMAN	0.6
ARRB1_HUMAN	NEDD4_HUMAN	1.0
ARRB1_HUMAN	SYUA_HUMAN	1.0
ARRB1_HUMAN	TPD53_HUMAN	0.6
ARRB1_HUMAN	LIMA1_HUMAN	2.4000000000000004
ARRB1_HUMAN	IF4B_HUMAN	2.4000000000000004
ARRB1_HUMAN	ARRB1_HUMAN	7.999999999999999
ARRB1_HUMAN	MPRIP_HUMAN	3.0000000000000004
ARRB1_HUMAN	SRC8_HUMAN	2.2
ARRB1_HUMAN	PAR4_HUMAN	0.6
ARRB1_HUMAN	RASN_HUMAN	0.6
ARRB1_HUMAN	SGIP1_HUMAN	0.6
ARRB1_HUMAN	WNT5A_HUMAN	0.6
ARRB1_HUMAN	MK03_HUMAN	1.6
ARRB1_HUMAN	MYH9_HUMAN	2.4000000000000004
ARRB1_HUMAN	GELS_HUMAN	4.0
ARRB1_HUMAN	KIF2C_HUMAN	1.6
ARRB1_HUMAN	SH3G3_HUMAN	0.6
ARRB1_HUMAN	VAMP2_HUMAN	0.6
ARRB1_HUMAN	ARPC2_HUMAN	0.6
ARRB1_HUMAN	RL3_HUMAN	1.6
ARRB1_HUMAN	SH3K1_HUMAN	0.6
ARRB1_HUMAN	RAB5A_HUMAN	0.6
ARRB1_HUMAN	TP53B_HUMAN	4.4
ARRB1_HUMAN	OPRM_HUMAN	0.6
ARRB1_HUMAN	MP2K3_HUMAN	2.0
ARRB1_HUMAN	RAF1_HUMAN	4.6
ARRB1_HUMAN	GSK3B_HUMAN	1.0
ARRB1_HUMAN	RTN3_HUMAN	1.28
ARRB1_HUMAN	GBG2_HUMAN	1.0
ARRB1_HUMAN	CDC42_HUMAN	1.6
ARRB1_HUMAN	LRP4_HUMAN	1.6
ARRB1_HUMAN	RHG32_HUMAN	1.6
ARRB1_HUMAN	IQGA1_HUMAN	0.6
ARRB1_HUMAN	SYT2_HUMAN	0.6
ARRB1_HUMAN	GNPAT_HUMAN	0.64
ARRB1_HUMAN	ARPC4_HUMAN	0.6
ARRB1_HUMAN	RASK_HUMAN	0.6
ARRB1_HUMAN	ARBK1_HUMAN	2.24
ARRB1_HUMAN	RL7A_HUMAN	1.6
ARRB1_HUMAN	ST38L_HUMAN	1.6
ARRB1_HUMAN	GRM1_HUMAN	1.0
ARRB1_HUMAN	FIBG_HUMAN	0.6
ARRB1_HUMAN	GNAQ_HUMAN	2.0
ARRB1_HUMAN	UBC_HUMAN	4.0
ARRB1_HUMAN	PLPP_HUMAN	3.6
ARRB1_HUMAN	ARP2_HUMAN	0.6
ARRB1_HUMAN	EPS15_HUMAN	0.6
ARRB1_HUMAN	HGS_HUMAN	4.3999999999999995
ARRB1_HUMAN	FIBB_HUMAN	0.6
ARRB1_HUMAN	IGF1R_HUMAN	4.6
ARRB1_HUMAN	PAR2_HUMAN	5.6
ARRB1_HUMAN	PTEN_HUMAN	0.8
ARRB1_HUMAN	K1549_HUMAN	0.6
ARRB1_HUMAN	STK38_HUMAN	4.0
ARRB1_HUMAN	STXB5_HUMAN	2.24
ARRB1_HUMAN	EPN1_HUMAN	0.6
ARRB1_HUMAN	AP180_HUMAN	0.6
ARRB1_HUMAN	FXR1_HUMAN	0.6
