UniProtID	UniProtID	score
ASIC2_HUMAN	DLG4_HUMAN	0.8
ASIC2_HUMAN	SEC62_HUMAN	0.8
ASIC2_HUMAN	BCAR1_HUMAN	0.8
ASIC2_HUMAN	PICK1_HUMAN	6.199999999999999
ASIC2_HUMAN	ASIC3_HUMAN	1
ASIC2_HUMAN	ASIC1_HUMAN	4.0
ASIC2_HUMAN	STOM_HUMAN	1
ASIC2_HUMAN	PLD2_HUMAN	0.8
ASIC2_HUMAN	PLD1_HUMAN	0.8
ASIC2_HUMAN	FACR2_HUMAN	0.8
ASIC2_HUMAN	ECHB_HUMAN	0.8
ASIC2_HUMAN	IQGA2_HUMAN	0.8
ASIC2_HUMAN	ERMP1_HUMAN	0.8
ASIC2_HUMAN	YMEL1_HUMAN	0.8
ASIC2_HUMAN	HS2ST_HUMAN	0.8
ASIC2_HUMAN	PRKN_HUMAN	0.8
ASIC2_HUMAN	ASIC2_HUMAN	12
