UniProtID	UniProtID	score
AT12A_HUMAN	LNX1_HUMAN	0.64
AT12A_HUMAN	INLR1_HUMAN	0.8
AT12A_HUMAN	RN115_HUMAN	0.8
AT12A_HUMAN	SEC62_HUMAN	0.8
AT12A_HUMAN	DKKL1_HUMAN	0.8
AT12A_HUMAN	EFNA5_HUMAN	0.8
AT12A_HUMAN	PCDG7_HUMAN	0.8
AT12A_HUMAN	PILRB_HUMAN	0.8
AT12A_HUMAN	FEZ1_HUMAN	1.6
AT12A_HUMAN	TNR9_HUMAN	2.4000000000000004
AT12A_HUMAN	HLAB_HUMAN	2.4000000000000004
AT12A_HUMAN	NMDE3_HUMAN	0.8
AT12A_HUMAN	KS6A1_HUMAN	1.6
AT12A_HUMAN	GNAI3_HUMAN	1.6
AT12A_HUMAN	MYCN_HUMAN	0.8
AT12A_HUMAN	CAC1C_HUMAN	0.64
AT12A_HUMAN	CD63_HUMAN	1.6
AT12A_HUMAN	ZFPL1_HUMAN	0.8
AT12A_HUMAN	PDE2A_HUMAN	0.8
AT12A_HUMAN	ENSA_HUMAN	0.8
AT12A_HUMAN	NTRK1_HUMAN	0.8
AT12A_HUMAN	FIS1_HUMAN	0.8
AT12A_HUMAN	WBP1_HUMAN	2.4000000000000004
AT12A_HUMAN	PPIB_HUMAN	1.6
AT12A_HUMAN	FXYD6_HUMAN	0.8
AT12A_HUMAN	ADT3_HUMAN	0.8
AT12A_HUMAN	TMED2_HUMAN	1.6
AT12A_HUMAN	NPY_HUMAN	1.6
AT12A_HUMAN	PAR2_HUMAN	0.8
AT12A_HUMAN	PLD3_HUMAN	0.8
AT12A_HUMAN	AT1B1_HUMAN	6.3999999999999995
AT12A_HUMAN	SUSD4_HUMAN	2.4000000000000004
AT12A_HUMAN	AUP1_HUMAN	0.8
AT12A_HUMAN	PTH1R_HUMAN	1.6
AT12A_HUMAN	CHODL_HUMAN	0.8
AT12A_HUMAN	SLAF1_HUMAN	2.4000000000000004
AT12A_HUMAN	S25A3_HUMAN	0.8
AT12A_HUMAN	NPHN_HUMAN	0.8
AT12A_HUMAN	AGTR1_HUMAN	2.4000000000000004
AT12A_HUMAN	NDUA4_HUMAN	0.8
AT12A_HUMAN	RN149_HUMAN	0.8
AT12A_HUMAN	KC1AL_HUMAN	0.8
AT12A_HUMAN	AGK_HUMAN	1.6
AT12A_HUMAN	SRPRB_HUMAN	2.4000000000000004
AT12A_HUMAN	FACD2_HUMAN	0.64
AT12A_HUMAN	TRI33_HUMAN	0.8
AT12A_HUMAN	PINK1_HUMAN	0.8
AT12A_HUMAN	FPR1_HUMAN	0.8
AT12A_HUMAN	TIM23_HUMAN	0.8
AT12A_HUMAN	DHC24_HUMAN	2.4000000000000004
AT12A_HUMAN	SYRM_HUMAN	1.6
AT12A_HUMAN	SARAF_HUMAN	0.8
AT12A_HUMAN	RETR3_HUMAN	2.4000000000000004
AT12A_HUMAN	RAB2B_HUMAN	0.8
AT12A_HUMAN	F174A_HUMAN	1.6
AT12A_HUMAN	CAV3_HUMAN	0.64
AT12A_HUMAN	NEP_HUMAN	1.6
AT12A_HUMAN	TM223_HUMAN	1.6
AT12A_HUMAN	TPST2_HUMAN	0.8
AT12A_HUMAN	SPP2B_HUMAN	0.8
AT12A_HUMAN	KLH11_HUMAN	0.8
AT12A_HUMAN	C5AR2_HUMAN	1.6
AT12A_HUMAN	S1PR1_HUMAN	1.6
AT12A_HUMAN	PLD6_HUMAN	0.8
AT12A_HUMAN	DLK1_HUMAN	2.4000000000000004
AT12A_HUMAN	VSIG4_HUMAN	0.8
AT12A_HUMAN	APJ_HUMAN	0.8
AT12A_HUMAN	S15A1_HUMAN	1.6
AT12A_HUMAN	I13R2_HUMAN	1.6
AT12A_HUMAN	VIPR2_HUMAN	0.8
AT12A_HUMAN	SPIT2_HUMAN	2.4000000000000004
AT12A_HUMAN	PACC1_HUMAN	1.6
AT12A_HUMAN	NK1R_HUMAN	1.6
AT12A_HUMAN	FPR2_HUMAN	1.6
AT12A_HUMAN	GRPR_HUMAN	1.6
AT12A_HUMAN	MRAP2_HUMAN	1.6
AT12A_HUMAN	PRG3_HUMAN	1.6
AT12A_HUMAN	TRABD_HUMAN	2.4000000000000004
AT12A_HUMAN	HS2ST_HUMAN	2.4000000000000004
AT12A_HUMAN	CTDS1_HUMAN	0.8
AT12A_HUMAN	AT1B3_HUMAN	2.4000000000000004
AT12A_HUMAN	SPCS1_HUMAN	0.8
AT12A_HUMAN	H17B6_HUMAN	2.4000000000000004
AT12A_HUMAN	P2RY8_HUMAN	0.8
AT12A_HUMAN	ODFP4_HUMAN	1.6
AT12A_HUMAN	C1QB_HUMAN	1.6
AT12A_HUMAN	CCR1_HUMAN	0.8
AT12A_HUMAN	IIGP5_HUMAN	1.6
