UniProtID	UniProtID	score
ATLA1_HUMAN	SYUA_HUMAN	0.8
ATLA1_HUMAN	LNX1_HUMAN	0.64
ATLA1_HUMAN	OPTN_HUMAN	2.4000000000000004
ATLA1_HUMAN	SEC62_HUMAN	1.6
ATLA1_HUMAN	SHAN3_HUMAN	0.64
ATLA1_HUMAN	RTN4_HUMAN	7.199999999999999
ATLA1_HUMAN	TAU_HUMAN	0.64
ATLA1_HUMAN	MK01_HUMAN	0.64
ATLA1_HUMAN	PTN1_HUMAN	0.8
ATLA1_HUMAN	LMNA_HUMAN	2.4000000000000004
ATLA1_HUMAN	RASH_HUMAN	0.8
ATLA1_HUMAN	HD_HUMAN	14.400000000000004
ATLA1_HUMAN	STX4_HUMAN	0.8
ATLA1_HUMAN	TAOK2_HUMAN	0.64
ATLA1_HUMAN	PERI_HUMAN	2.4000000000000004
ATLA1_HUMAN	SPRE1_HUMAN	2.4000000000000004
ATLA1_HUMAN	MERL_HUMAN	2.4000000000000004
ATLA1_HUMAN	PPT1_HUMAN	2.4000000000000004
ATLA1_HUMAN	SMN_HUMAN	2.4000000000000004
ATLA1_HUMAN	LRC59_HUMAN	1.6
ATLA1_HUMAN	RASN_HUMAN	1.6
ATLA1_HUMAN	RPN1_HUMAN	0.8
ATLA1_HUMAN	PRIO_HUMAN	2.4000000000000004
ATLA1_HUMAN	RASK_HUMAN	1.6
ATLA1_HUMAN	REEP5_HUMAN	2.08
ATLA1_HUMAN	CHIP_HUMAN	1
ATLA1_HUMAN	RPAC2_HUMAN	0.8
ATLA1_HUMAN	NTRK1_HUMAN	0.8
ATLA1_HUMAN	CKAP4_HUMAN	0.8
ATLA1_HUMAN	COPA_HUMAN	0.8
ATLA1_HUMAN	STX7_HUMAN	0.8
ATLA1_HUMAN	ZFY27_HUMAN	5.4
ATLA1_HUMAN	RPN2_HUMAN	0.8
ATLA1_HUMAN	TMED2_HUMAN	2
ATLA1_HUMAN	COPB2_HUMAN	0.8
ATLA1_HUMAN	AMFR_HUMAN	1
ATLA1_HUMAN	SSRA_HUMAN	0.8
ATLA1_HUMAN	JPH3_HUMAN	2.4000000000000004
ATLA1_HUMAN	ANS1B_HUMAN	0.64
ATLA1_HUMAN	SPAST_HUMAN	5.64
ATLA1_HUMAN	ATLA1_HUMAN	58
ATLA1_HUMAN	ITM2B_HUMAN	1.28
ATLA1_HUMAN	NDUV2_HUMAN	2.4000000000000004
ATLA1_HUMAN	RAB7A_HUMAN	3.2
ATLA1_HUMAN	SYYC_HUMAN	2.4000000000000004
ATLA1_HUMAN	CISD2_HUMAN	2.4000000000000004
ATLA1_HUMAN	TMED9_HUMAN	1
ATLA1_HUMAN	RNF4_HUMAN	0.8
ATLA1_HUMAN	PKHA4_HUMAN	0.8
ATLA1_HUMAN	RN185_HUMAN	1
ATLA1_HUMAN	SYVN1_HUMAN	2
ATLA1_HUMAN	PJA1_HUMAN	1
ATLA1_HUMAN	T4S5_HUMAN	0.8
ATLA1_HUMAN	ATLA3_HUMAN	0.8
ATLA1_HUMAN	ESYT1_HUMAN	1.6
ATLA1_HUMAN	TRI67_HUMAN	0.8
ATLA1_HUMAN	PRRT2_HUMAN	0.64
ATLA1_HUMAN	REEP1_HUMAN	0.64
ATLA1_HUMAN	RHBL4_HUMAN	0.8
ATLA1_HUMAN	OTULL_HUMAN	0.8
ATLA1_HUMAN	ST7_HUMAN	0.8
ATLA1_HUMAN	AT2A1_HUMAN	0.8
ATLA1_HUMAN	B3GA1_HUMAN	0.8
ATLA1_HUMAN	BAP31_HUMAN	0.8
ATLA1_HUMAN	DERL1_HUMAN	0.8
ATLA1_HUMAN	EMD_HUMAN	0.8
ATLA1_HUMAN	DHB11_HUMAN	0.8
ATLA1_HUMAN	3BHS7_HUMAN	0.8
ATLA1_HUMAN	LNP_HUMAN	0.8
ATLA1_HUMAN	TMT1A_HUMAN	0.8
ATLA1_HUMAN	RAB9A_HUMAN	0.8
ATLA1_HUMAN	SC61B_HUMAN	0.8
ATLA1_HUMAN	STIM1_HUMAN	0.8
ATLA1_HUMAN	LAP2A_HUMAN	0.8
ATLA1_HUMAN	KCNQ2_HUMAN	0.64
ATLA1_HUMAN	ESYT2_HUMAN	0.8
