UniProtID	UniProtID	score
AUHM_HUMAN	CH60_HUMAN	0.8
AUHM_HUMAN	COX6C_HUMAN	0.8
AUHM_HUMAN	LONM_HUMAN	0.8
AUHM_HUMAN	LPPRC_HUMAN	1.6
AUHM_HUMAN	TRAP1_HUMAN	0.8
AUHM_HUMAN	HSDL2_HUMAN	0.8
AUHM_HUMAN	RS15A_HUMAN	0.8
AUHM_HUMAN	STML2_HUMAN	0.8
AUHM_HUMAN	NDUA2_HUMAN	0.8
AUHM_HUMAN	AL4A1_HUMAN	0.8
AUHM_HUMAN	CTNB1_HUMAN	0.8
AUHM_HUMAN	MDHM_HUMAN	0.8
AUHM_HUMAN	MIC60_HUMAN	0.8
AUHM_HUMAN	COX41_HUMAN	0.8
AUHM_HUMAN	NDUS1_HUMAN	0.8
AUHM_HUMAN	NIPS1_HUMAN	1.6
AUHM_HUMAN	AFG32_HUMAN	0.8
AUHM_HUMAN	DHX30_HUMAN	0.8
AUHM_HUMAN	PDK3_HUMAN	0.8
AUHM_HUMAN	ODB2_HUMAN	0.8
AUHM_HUMAN	LETM1_HUMAN	0.8
AUHM_HUMAN	NNTM_HUMAN	0.8
AUHM_HUMAN	SUCB1_HUMAN	0.8
AUHM_HUMAN	TIM14_HUMAN	0.6
AUHM_HUMAN	NDUV1_HUMAN	0.8
AUHM_HUMAN	IDH3B_HUMAN	0.8
AUHM_HUMAN	NDUS2_HUMAN	0.8
AUHM_HUMAN	DHE3_HUMAN	0.8
AUHM_HUMAN	UCRI_HUMAN	0.8
AUHM_HUMAN	ECI2_HUMAN	0.8
AUHM_HUMAN	TIM16_HUMAN	0.8
AUHM_HUMAN	NDUS3_HUMAN	0.8
AUHM_HUMAN	CISY_HUMAN	0.8
AUHM_HUMAN	COX5A_HUMAN	0.8
AUHM_HUMAN	NDUA7_HUMAN	0.8
AUHM_HUMAN	ODO2_HUMAN	0.8
AUHM_HUMAN	GLYM_HUMAN	0.8
AUHM_HUMAN	THIL_HUMAN	0.8
AUHM_HUMAN	ETFB_HUMAN	0.8
AUHM_HUMAN	GLSK_HUMAN	0.8
AUHM_HUMAN	SYHM_HUMAN	0.8
AUHM_HUMAN	NDUS6_HUMAN	0.8
AUHM_HUMAN	F107A_HUMAN	0.8
AUHM_HUMAN	NDUS7_HUMAN	0.8
AUHM_HUMAN	ODPB_HUMAN	1.6
AUHM_HUMAN	ODO1_HUMAN	0.8
AUHM_HUMAN	SYIM_HUMAN	0.8
AUHM_HUMAN	MCCB_HUMAN	0.6
AUHM_HUMAN	ODPA_HUMAN	0.8
AUHM_HUMAN	DJC11_HUMAN	0.8
AUHM_HUMAN	NDUA9_HUMAN	0.8
AUHM_HUMAN	ALDH2_HUMAN	0.8
AUHM_HUMAN	NDUA5_HUMAN	0.8
AUHM_HUMAN	NDUV2_HUMAN	0.8
AUHM_HUMAN	MCCA_HUMAN	0.6
AUHM_HUMAN	HCDH_HUMAN	1.4
AUHM_HUMAN	AUHM_HUMAN	92.0
AUHM_HUMAN	ECHA_HUMAN	0.8
AUHM_HUMAN	ENPL_HUMAN	0.8
AUHM_HUMAN	HCD2_HUMAN	0.8
AUHM_HUMAN	NDUAC_HUMAN	0.8
AUHM_HUMAN	P5CR1_HUMAN	0.8
AUHM_HUMAN	ODP2_HUMAN	0.8
AUHM_HUMAN	RT36_HUMAN	0.8
AUHM_HUMAN	SCOT1_HUMAN	0.8
AUHM_HUMAN	TFAM_HUMAN	0.8
AUHM_HUMAN	SUCA_HUMAN	0.8
CH60_HUMAN	CH60_HUMAN	151.2
CH60_HUMAN	LONM_HUMAN	2.2
CH60_HUMAN	LPPRC_HUMAN	1.6
CH60_HUMAN	TRAP1_HUMAN	2.04
CH60_HUMAN	HSDL2_HUMAN	1.6
CH60_HUMAN	NDUA2_HUMAN	1.6
