UniProtID	UniProtID	score
AURKA_HUMAN	MECR_HUMAN	1.6
AURKA_HUMAN	CKAP5_HUMAN	1.6
AURKA_HUMAN	PP1A_HUMAN	5.0
AURKA_HUMAN	USP9X_HUMAN	0.8
AURKA_HUMAN	TBA4A_HUMAN	0.6
AURKA_HUMAN	ACTZ_HUMAN	0.6
AURKA_HUMAN	FAS_HUMAN	0.8
AURKA_HUMAN	HSP72_HUMAN	0.8
AURKA_HUMAN	KC1D_HUMAN	0.6
AURKA_HUMAN	ATRX_HUMAN	0.8
AURKA_HUMAN	RS16_HUMAN	0.8
AURKA_HUMAN	CLAP1_HUMAN	0.6
AURKA_HUMAN	2AAA_HUMAN	0.6
AURKA_HUMAN	KC1E_HUMAN	0.6
AURKA_HUMAN	RS5_HUMAN	0.8
AURKA_HUMAN	HS90B_HUMAN	0.8
AURKA_HUMAN	SRC8_HUMAN	0.8
AURKA_HUMAN	MK03_HUMAN	0.8
AURKA_HUMAN	COPA_HUMAN	0.8
AURKA_HUMAN	RHOB_HUMAN	0.8
AURKA_HUMAN	RL35_HUMAN	0.8
AURKA_HUMAN	PSMD1_HUMAN	0.6
AURKA_HUMAN	LIS1_HUMAN	0.6
AURKA_HUMAN	KIF2C_HUMAN	1.6
AURKA_HUMAN	KI20B_HUMAN	0.6
AURKA_HUMAN	PRS6A_HUMAN	0.6
AURKA_HUMAN	ARPC2_HUMAN	1.0
AURKA_HUMAN	UBA1_HUMAN	0.8
AURKA_HUMAN	RS6_HUMAN	1.0
AURKA_HUMAN	MP2K3_HUMAN	2.8
AURKA_HUMAN	GSK3B_HUMAN	3.6
AURKA_HUMAN	RS3_HUMAN	0.8
AURKA_HUMAN	RLA0_HUMAN	0.8
AURKA_HUMAN	XPO1_HUMAN	1.44
AURKA_HUMAN	CPEB4_HUMAN	0.6
AURKA_HUMAN	ERBB2_HUMAN	0.8
AURKA_HUMAN	UBC_HUMAN	2.4
