UniProtID	UniProtID	score
B3AT_HUMAN	EPB42_HUMAN	1.8
B3AT_HUMAN	AT1B1_HUMAN	8.0
B3AT_HUMAN	FLOT2_HUMAN	4.2
B3AT_HUMAN	VDAC2_HUMAN	0.8
B3AT_HUMAN	CALX_HUMAN	1.0
B3AT_HUMAN	AQP1_HUMAN	2.4000000000000004
B3AT_HUMAN	SPTB1_HUMAN	0.8
B3AT_HUMAN	CAH2_HUMAN	4.0
B3AT_HUMAN	AT2B4_HUMAN	0.8
B3AT_HUMAN	CAH4_HUMAN	2.0
B3AT_HUMAN	CAH1_HUMAN	0.6
B3AT_HUMAN	PTN11_HUMAN	1.0
B3AT_HUMAN	AT1A1_HUMAN	1.0
B3AT_HUMAN	KELL_HUMAN	0.8
B3AT_HUMAN	STOM_HUMAN	12.0
B3AT_HUMAN	ANK1_HUMAN	2.6
B3AT_HUMAN	EPB41_HUMAN	0.6
B3AT_HUMAN	ALDOA_HUMAN	1.6
B3AT_HUMAN	FLOT1_HUMAN	4.8
B3AT_HUMAN	PERM_HUMAN	1.0
B3AT_HUMAN	G3P_HUMAN	2.8
B3AT_HUMAN	B3AT_HUMAN	44.0
B3AT_HUMAN	GTR1_HUMAN	7.6
B3AT_HUMAN	VDAC3_HUMAN	0.8
B3AT_HUMAN	CLUS_HUMAN	2.0
B3AT_HUMAN	ECHB_HUMAN	0.8
EPB42_HUMAN	AQP1_HUMAN	0.8
AT1B1_HUMAN	CALX_HUMAN	0.8
AT1B1_HUMAN	AT1A1_HUMAN	8.72
AT1B1_HUMAN	ANK1_HUMAN	0.64
AT1B1_HUMAN	ECHB_HUMAN	0.8
FLOT2_HUMAN	VDAC2_HUMAN	0.8
FLOT2_HUMAN	AQP1_HUMAN	2.4000000000000004
FLOT2_HUMAN	AT2B4_HUMAN	0.8
FLOT2_HUMAN	ALDOA_HUMAN	0.8
FLOT2_HUMAN	FLOT1_HUMAN	11.360000000000001
VDAC2_HUMAN	CALX_HUMAN	3.2
VDAC2_HUMAN	AT1A1_HUMAN	1.6
VDAC2_HUMAN	VDAC3_HUMAN	3.8000000000000003
VDAC2_HUMAN	ECHB_HUMAN	0.8
CALX_HUMAN	CALX_HUMAN	11.200000000000001
CALX_HUMAN	AT2B4_HUMAN	0.8
CALX_HUMAN	FLOT1_HUMAN	1.6
CALX_HUMAN	GTR1_HUMAN	1.0
CALX_HUMAN	CLUS_HUMAN	1.6
CALX_HUMAN	ECHB_HUMAN	2.4000000000000004
AQP1_HUMAN	AQP1_HUMAN	37.2
AQP1_HUMAN	AT2B4_HUMAN	0.8
AQP1_HUMAN	STOM_HUMAN	2.4000000000000004
AQP1_HUMAN	ALDOA_HUMAN	0.8
AQP1_HUMAN	FLOT1_HUMAN	2.4000000000000004
AQP1_HUMAN	GTR1_HUMAN	2.4000000000000004
SPTB1_HUMAN	SPTB1_HUMAN	6.0
SPTB1_HUMAN	ANK1_HUMAN	7.0
SPTB1_HUMAN	EPB41_HUMAN	1.0
CAH2_HUMAN	CAH2_HUMAN	70.0
CAH2_HUMAN	EPB41_HUMAN	0.8
AT2B4_HUMAN	AT1A1_HUMAN	0.8
AT2B4_HUMAN	STOM_HUMAN	0.8
AT2B4_HUMAN	FLOT1_HUMAN	0.8
AT2B4_HUMAN	GTR1_HUMAN	0.8
CAH4_HUMAN	CAH4_HUMAN	87.2
CAH1_HUMAN	CAH1_HUMAN	44.0
PTN11_HUMAN	PTN11_HUMAN	80.48
AT1A1_HUMAN	AT1A1_HUMAN	1.6
AT1A1_HUMAN	VDAC3_HUMAN	1.6
AT1A1_HUMAN	ECHB_HUMAN	2.2
STOM_HUMAN	STOM_HUMAN	41.999999999999986
STOM_HUMAN	ALDOA_HUMAN	1.6
STOM_HUMAN	FLOT1_HUMAN	0.64
STOM_HUMAN	GTR1_HUMAN	1.6
STOM_HUMAN	VDAC3_HUMAN	2.4000000000000004
ANK1_HUMAN	ANK1_HUMAN	16.0
EPB41_HUMAN	EPB41_HUMAN	6.0
EPB41_HUMAN	FLOT1_HUMAN	0.8
ALDOA_HUMAN	ALDOA_HUMAN	54.4
ALDOA_HUMAN	FLOT1_HUMAN	0.8
ALDOA_HUMAN	G3P_HUMAN	2.4000000000000004
ALDOA_HUMAN	GTR1_HUMAN	1.6
PERM_HUMAN	PERM_HUMAN	470.0
G3P_HUMAN	G3P_HUMAN	244.0
GTR1_HUMAN	GTR1_HUMAN	8.0
VDAC3_HUMAN	ECHB_HUMAN	0.8
CLUS_HUMAN	CLUS_HUMAN	5.6
ECHB_HUMAN	ECHB_HUMAN	12.0
