UniProtID	UniProtID	score
BAG3_HUMAN	CKAP5_HUMAN	0.8
BAG3_HUMAN	SHSA6_HUMAN	4.8
BAG3_HUMAN	USP9X_HUMAN	1.0
BAG3_HUMAN	ZO1_HUMAN	0.8
BAG3_HUMAN	HSP72_HUMAN	3.6400000000000006
BAG3_HUMAN	FMR1_HUMAN	0.8
BAG3_HUMAN	HS90B_HUMAN	1.6
BAG3_HUMAN	ANXA5_HUMAN	2.24
BAG3_HUMAN	WDR1_HUMAN	2.24
BAG3_HUMAN	VDAC1_HUMAN	1.44
BAG3_HUMAN	ANX11_HUMAN	2.24
BAG3_HUMAN	ECI2_HUMAN	0.8
BAG3_HUMAN	RSSA_HUMAN	1.6
BAG3_HUMAN	MLF2_HUMAN	7.199999999999999
BAG3_HUMAN	ALDOC_HUMAN	1.6
BAG3_HUMAN	WNK1_HUMAN	0.8
BAG3_HUMAN	GPC4_HUMAN	0.8
BAG3_HUMAN	WFS1_HUMAN	2.4000000000000004
BAG3_HUMAN	TCTP_HUMAN	1.6
BAG3_HUMAN	UBC12_HUMAN	0.8
BAG3_HUMAN	LTOR1_HUMAN	1.44
BAG3_HUMAN	PRS6A_HUMAN	0.8
BAG3_HUMAN	CTBP1_HUMAN	0.8
BAG3_HUMAN	MYH6_HUMAN	2.0
BAG3_HUMAN	CRIP2_HUMAN	1.6
BAG3_HUMAN	RAB5A_HUMAN	1.6
BAG3_HUMAN	ARPC2_HUMAN	0.8
BAG3_HUMAN	UBA1_HUMAN	0.8
BAG3_HUMAN	HSPB8_HUMAN	17.840000000000003
BAG3_HUMAN	TM1L2_HUMAN	1.44
BAG3_HUMAN	MACD1_HUMAN	1.44
BAG3_HUMAN	CAZA1_HUMAN	1.8
BAG3_HUMAN	PARP1_HUMAN	0.8
BAG3_HUMAN	RS12_HUMAN	1.6
BAG3_HUMAN	CRKL_HUMAN	1.6
BAG3_HUMAN	CAN1_HUMAN	1.6
BAG3_HUMAN	NDUB4_HUMAN	0.8
BAG3_HUMAN	DCTN1_HUMAN	1.0
BAG3_HUMAN	GSTM3_HUMAN	1.6
BAG3_HUMAN	G6PD_HUMAN	1.6
BAG3_HUMAN	UBE2N_HUMAN	0.8
BAG3_HUMAN	BAG5_HUMAN	0.8
BAG3_HUMAN	NAC1_HUMAN	0.64
BAG3_HUMAN	HD_HUMAN	1.6
BAG3_HUMAN	PLCG1_HUMAN	3.0
BAG3_HUMAN	HNRPK_HUMAN	0.8
BAG3_HUMAN	ARC1A_HUMAN	1.6
BAG3_HUMAN	VIME_HUMAN	1.6
BAG3_HUMAN	NDKB_HUMAN	0.64
BAG3_HUMAN	PEBP1_HUMAN	0.8
BAG3_HUMAN	HS12A_HUMAN	0.6
BAG3_HUMAN	PP2AA_HUMAN	0.8
BAG3_HUMAN	PDLI7_HUMAN	7.999999999999999
BAG3_HUMAN	DBNL_HUMAN	1.6
BAG3_HUMAN	GRB2_HUMAN	1.6
BAG3_HUMAN	ACTB_HUMAN	0.8
BAG3_HUMAN	RAB1A_HUMAN	0.8
BAG3_HUMAN	RAB4A_HUMAN	0.8
BAG3_HUMAN	1433T_HUMAN	0.8
BAG3_HUMAN	1433E_HUMAN	0.8
BAG3_HUMAN	PSMD2_HUMAN	1.6
BAG3_HUMAN	AIFM1_HUMAN	0.8
BAG3_HUMAN	CADH1_HUMAN	0.8
BAG3_HUMAN	ACLY_HUMAN	0.8
BAG3_HUMAN	HS71B_HUMAN	11.04
BAG3_HUMAN	BAG3_HUMAN	3.2
BAG3_HUMAN	PRS4_HUMAN	0.8
BAG3_HUMAN	AIP_HUMAN	0.64
BAG3_HUMAN	1433B_HUMAN	0.8
BAG3_HUMAN	SAE1_HUMAN	0.8
BAG3_HUMAN	RAB1B_HUMAN	0.8
BAG3_HUMAN	KAP1_HUMAN	3.2
BAG3_HUMAN	NFL_HUMAN	2.4000000000000004
BAG3_HUMAN	HS71A_HUMAN	14.24
BAG3_HUMAN	ADT3_HUMAN	1.6
BAG3_HUMAN	G6PI_HUMAN	1.44
BAG3_HUMAN	NECT3_HUMAN	0.8
BAG3_HUMAN	LCK_HUMAN	0.8
BAG3_HUMAN	1433Z_HUMAN	2.4000000000000004
BAG3_HUMAN	DNJB4_HUMAN	2.24
BAG3_HUMAN	HSPB1_HUMAN	9.799999999999999
BAG3_HUMAN	PLXA3_HUMAN	1.6
BAG3_HUMAN	PDC6I_HUMAN	0.8
BAG3_HUMAN	GFAP_HUMAN	0.8
BAG3_HUMAN	GSTO1_HUMAN	2.24
BAG3_HUMAN	1433F_HUMAN	0.8
BAG3_HUMAN	HS71L_HUMAN	3.0000000000000004
BAG3_HUMAN	BIP_HUMAN	4.6
BAG3_HUMAN	CLCA_HUMAN	0.8
BAG3_HUMAN	COASY_HUMAN	2.24
BAG3_HUMAN	HSP7C_HUMAN	20.240000000000006
BAG3_HUMAN	DNJB6_HUMAN	5.2
BAG3_HUMAN	S100B_HUMAN	0.8
BAG3_HUMAN	ANXA1_HUMAN	1.44
BAG3_HUMAN	DLG3_HUMAN	0.8
BAG3_HUMAN	BNIP3_HUMAN	2.0
BAG3_HUMAN	CRYAB_HUMAN	6.8
BAG3_HUMAN	GRP75_HUMAN	0.6
BAG3_HUMAN	RGRF2_HUMAN	0.8
BAG3_HUMAN	SRPK2_HUMAN	0.8
BAG3_HUMAN	OLA1_HUMAN	0.8
BAG3_HUMAN	PHLB1_HUMAN	2.4000000000000004
BAG3_HUMAN	EZRI_HUMAN	1.6
BAG3_HUMAN	PGK1_HUMAN	0.8
BAG3_HUMAN	CHIP_HUMAN	7.839999999999999
BAG3_HUMAN	KCND2_HUMAN	1.6
BAG3_HUMAN	PABP1_HUMAN	0.8
BAG3_HUMAN	PRKDC_HUMAN	0.8
BAG3_HUMAN	MVP_HUMAN	0.8
BAG3_HUMAN	GDIB_HUMAN	1.6
BAG3_HUMAN	SYNPO_HUMAN	3.5999999999999996
BAG3_HUMAN	TCPE_HUMAN	2.4000000000000004
BAG3_HUMAN	GNAO_HUMAN	0.8
BAG3_HUMAN	PLEC_HUMAN	0.8
BAG3_HUMAN	P5CR1_HUMAN	1.6
BAG3_HUMAN	HS90A_HUMAN	0.8
BAG3_HUMAN	T126A_HUMAN	1.6
BAG3_HUMAN	RS2_HUMAN	0.8
BAG3_HUMAN	HSP74_HUMAN	11.2
BAG3_HUMAN	TSC1_HUMAN	0.8
BAG3_HUMAN	RAPSN_HUMAN	0.8
BAG3_HUMAN	HSP76_HUMAN	2.2
BAG3_HUMAN	BAG2_HUMAN	1.4
BAG3_HUMAN	CRK_HUMAN	1.6
BAG3_HUMAN	DVL1_HUMAN	0.8
BAG3_HUMAN	MAP4_HUMAN	0.8
BAG3_HUMAN	EVL_HUMAN	0.8
BAG3_HUMAN	RAB7A_HUMAN	0.8
BAG3_HUMAN	MARE1_HUMAN	1.6
BAG3_HUMAN	ADT2_HUMAN	0.8
BAG3_HUMAN	MLF1_HUMAN	0.8
BAG3_HUMAN	UBXN6_HUMAN	0.8
BAG3_HUMAN	HS74L_HUMAN	0.6
BAG3_HUMAN	SRBS2_HUMAN	0.8
BAG3_HUMAN	NP1L1_HUMAN	0.8
BAG3_HUMAN	DNJB1_HUMAN	1.0
BAG3_HUMAN	IF4A2_HUMAN	0.8
BAG3_HUMAN	ADSV_HUMAN	0.8
BAG3_HUMAN	GNAI3_HUMAN	1.6
BAG3_HUMAN	DYHC1_HUMAN	2.4000000000000004
BAG3_HUMAN	1433G_HUMAN	0.8
BAG3_HUMAN	TCPH_HUMAN	1.6
BAG3_HUMAN	NETO1_HUMAN	0.8
BAG3_HUMAN	CAPZB_HUMAN	2.44
BAG3_HUMAN	SEC13_HUMAN	1.6
BAG3_HUMAN	4EBP2_HUMAN	1.44
BAG3_HUMAN	ANXA2_HUMAN	0.8
BAG3_HUMAN	PERI_HUMAN	0.8
BAG3_HUMAN	DYN2_HUMAN	3.2
BAG3_HUMAN	PROF1_HUMAN	0.8
BAG3_HUMAN	CSRP1_HUMAN	1.44
CKAP5_HUMAN	CKAP5_HUMAN	9.36
CKAP5_HUMAN	FMR1_HUMAN	0.64
CKAP5_HUMAN	TCTP_HUMAN	0.8
CKAP5_HUMAN	UBC12_HUMAN	0.8
CKAP5_HUMAN	RAB5A_HUMAN	1.6
CKAP5_HUMAN	DCTN1_HUMAN	0.64
CKAP5_HUMAN	PLCG1_HUMAN	0.8
CKAP5_HUMAN	PP2AA_HUMAN	0.6
CKAP5_HUMAN	GRB2_HUMAN	0.8
CKAP5_HUMAN	1433E_HUMAN	0.6
CKAP5_HUMAN	CADH1_HUMAN	0.8
CKAP5_HUMAN	1433F_HUMAN	0.8
CKAP5_HUMAN	BIP_HUMAN	1.6
CKAP5_HUMAN	CLCA_HUMAN	3.0
CKAP5_HUMAN	HSP7C_HUMAN	0.8
CKAP5_HUMAN	GRP75_HUMAN	0.8
CKAP5_HUMAN	HS90A_HUMAN	0.6
CKAP5_HUMAN	MARE1_HUMAN	3.0000000000000004
CKAP5_HUMAN	DYHC1_HUMAN	1.88
CKAP5_HUMAN	1433G_HUMAN	1.4
CKAP5_HUMAN	SEC13_HUMAN	1.24
SHSA6_HUMAN	DLG3_HUMAN	0.64
USP9X_HUMAN	USP9X_HUMAN	12.0
USP9X_HUMAN	FMR1_HUMAN	0.64
USP9X_HUMAN	TCTP_HUMAN	0.8
USP9X_HUMAN	HD_HUMAN	7.199999999999999
USP9X_HUMAN	CADH1_HUMAN	1.0
USP9X_HUMAN	SYNPO_HUMAN	0.8
USP9X_HUMAN	TSC1_HUMAN	1.28
ZO1_HUMAN	ZO1_HUMAN	32.0
ZO1_HUMAN	FMR1_HUMAN	0.64
ZO1_HUMAN	WFS1_HUMAN	0.64
ZO1_HUMAN	HNRPK_HUMAN	0.64
ZO1_HUMAN	VIME_HUMAN	1.6
ZO1_HUMAN	ACTB_HUMAN	3.6800000000000006
ZO1_HUMAN	CADH1_HUMAN	1.4
ZO1_HUMAN	1433B_HUMAN	0.64
ZO1_HUMAN	EZRI_HUMAN	0.8
ZO1_HUMAN	SYNPO_HUMAN	0.8
ZO1_HUMAN	PLEC_HUMAN	1.6
ZO1_HUMAN	HS90A_HUMAN	1.0
ZO1_HUMAN	PROF1_HUMAN	0.8
