UniProtID	UniProtID	score
BCKD_HUMAN	SRBS2_HUMAN	1.6
BCKD_HUMAN	DLG4_HUMAN	0.64
BCKD_HUMAN	SNX9_HUMAN	0.8
BCKD_HUMAN	ESR1_HUMAN	1.6
BCKD_HUMAN	DNM1L_HUMAN	0.8
BCKD_HUMAN	NEDD8_HUMAN	0.64
BCKD_HUMAN	SPTA1_HUMAN	3.2
BCKD_HUMAN	HNRPM_HUMAN	0.64
BCKD_HUMAN	SUMO1_HUMAN	1.44
BCKD_HUMAN	SQSTM_HUMAN	0.8
BCKD_HUMAN	TERA_HUMAN	0.8
BCKD_HUMAN	RAF1_HUMAN	0.8
BCKD_HUMAN	MAP4_HUMAN	0.8
BCKD_HUMAN	A4_HUMAN	0.8
BCKD_HUMAN	HS90B_HUMAN	1.6
BCKD_HUMAN	YTHD1_HUMAN	0.64
BCKD_HUMAN	TP53B_HUMAN	1.6
BCKD_HUMAN	EPS8_HUMAN	2.4000000000000004
BCKD_HUMAN	EGFR_HUMAN	1.92
BCKD_HUMAN	HS90A_HUMAN	1.6
BCKD_HUMAN	EPHB1_HUMAN	0.64
BCKD_HUMAN	LSM8_HUMAN	1.6
BCKD_HUMAN	MIRO2_HUMAN	1.6
BCKD_HUMAN	DNJA3_HUMAN	0.64
BCKD_HUMAN	STAT3_HUMAN	3.2
BCKD_HUMAN	GNAI3_HUMAN	1.6
BCKD_HUMAN	SCOT1_HUMAN	0.64
BCKD_HUMAN	FKBP5_HUMAN	1.6
BCKD_HUMAN	CP135_HUMAN	2.4000000000000004
BCKD_HUMAN	RBM39_HUMAN	0.8
BCKD_HUMAN	AIP_HUMAN	1.6
BCKD_HUMAN	GNAI2_HUMAN	1.6
BCKD_HUMAN	BCR_HUMAN	0.64
BCKD_HUMAN	ACACA_HUMAN	0.64
BCKD_HUMAN	SEPT5_HUMAN	0.64
BCKD_HUMAN	PRKN_HUMAN	1.6
BCKD_HUMAN	IF2M_HUMAN	0.8
BCKD_HUMAN	ESR2_HUMAN	0.8
BCKD_HUMAN	DC1I2_HUMAN	0.8
BCKD_HUMAN	DNJB1_HUMAN	1.6
BCKD_HUMAN	BASI_HUMAN	0.8
BCKD_HUMAN	PFD5_HUMAN	0.8
BCKD_HUMAN	FXR1_HUMAN	1.6
BCKD_HUMAN	FXR2_HUMAN	1.6
BCKD_HUMAN	TEBP_HUMAN	1.6
BCKD_HUMAN	TPM3_HUMAN	1.6
