UniProtID	UniProtID	score
BEGIN_HUMAN	UBC_HUMAN	0.64
BEGIN_HUMAN	C170L_HUMAN	1.6
BEGIN_HUMAN	BEGIN_HUMAN	4.0
BEGIN_HUMAN	HGS_HUMAN	1.6
BEGIN_HUMAN	HNRH1_HUMAN	0.8
BEGIN_HUMAN	NMDE3_HUMAN	0.6
BEGIN_HUMAN	NMDE1_HUMAN	0.6
BEGIN_HUMAN	DLG2_HUMAN	0.6
BEGIN_HUMAN	DDX6_HUMAN	3.2
BEGIN_HUMAN	DLG4_HUMAN	3.3600000000000003
BEGIN_HUMAN	DLG3_HUMAN	0.6
BEGIN_HUMAN	ABLM1_HUMAN	1.6
BEGIN_HUMAN	AQP1_HUMAN	3.2
BEGIN_HUMAN	SC6A4_HUMAN	0.64
BEGIN_HUMAN	COR1C_HUMAN	1.28
BEGIN_HUMAN	NMDZ1_HUMAN	0.6
BEGIN_HUMAN	F107A_HUMAN	1.6
BEGIN_HUMAN	RENR_HUMAN	1.6
BEGIN_HUMAN	K0408_HUMAN	1.6
BEGIN_HUMAN	DTNB_HUMAN	2.4000000000000004
BEGIN_HUMAN	A4_HUMAN	0.8
BEGIN_HUMAN	SYGP1_HUMAN	3.2
BEGIN_HUMAN	EEA1_HUMAN	1.28
BEGIN_HUMAN	DLGP1_HUMAN	1.92
BEGIN_HUMAN	NMDE4_HUMAN	0.6
BEGIN_HUMAN	XPO1_HUMAN	1.44
BEGIN_HUMAN	NMDE2_HUMAN	0.6
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	HGS_HUMAN	25.960000000000008
UBC_HUMAN	HNRH1_HUMAN	0.8
UBC_HUMAN	DLG2_HUMAN	0.64
UBC_HUMAN	DLG4_HUMAN	1.44
UBC_HUMAN	DLG3_HUMAN	0.64
UBC_HUMAN	NMDZ1_HUMAN	1.44
UBC_HUMAN	A4_HUMAN	0.64
UBC_HUMAN	DLGP1_HUMAN	0.64
UBC_HUMAN	NMDE2_HUMAN	0.64
C170L_HUMAN	C170L_HUMAN	4.8
C170L_HUMAN	XPO1_HUMAN	0.64
HGS_HUMAN	HGS_HUMAN	6.3999999999999995
HGS_HUMAN	DLG4_HUMAN	2.64
HGS_HUMAN	A4_HUMAN	2.4000000000000004
HNRH1_HUMAN	HNRH1_HUMAN	16.560000000000002
HNRH1_HUMAN	DDX6_HUMAN	0.8
HNRH1_HUMAN	DLG4_HUMAN	0.8
HNRH1_HUMAN	A4_HUMAN	0.8
HNRH1_HUMAN	SYGP1_HUMAN	0.8
HNRH1_HUMAN	NMDE4_HUMAN	0.8
HNRH1_HUMAN	XPO1_HUMAN	0.8
