UniProtID	UniProtID	score
BIRC6_HUMAN	CALM1_HUMAN	0.64
BIRC6_HUMAN	EP15R_HUMAN	0.8
BIRC6_HUMAN	CTRO_HUMAN	0.8
BIRC6_HUMAN	CYBP_HUMAN	1.0
BIRC6_HUMAN	PP1A_HUMAN	0.64
BIRC6_HUMAN	CCD22_HUMAN	1.6
BIRC6_HUMAN	UBC_HUMAN	1.6
BIRC6_HUMAN	FAS_HUMAN	0.8
BIRC6_HUMAN	RAB8A_HUMAN	0.8
BIRC6_HUMAN	PTEN_HUMAN	0.8
BIRC6_HUMAN	VAV2_HUMAN	1.6
BIRC6_HUMAN	RBP1_HUMAN	2.4000000000000004
BIRC6_HUMAN	AKAP9_HUMAN	0.8
BIRC6_HUMAN	EXOC4_HUMAN	3.44
BIRC6_HUMAN	GOGB1_HUMAN	1.6
BIRC6_HUMAN	ITB3_HUMAN	0.64
BIRC6_HUMAN	UBP8_HUMAN	4.640000000000001
BIRC6_HUMAN	RRBP1_HUMAN	1.6
BIRC6_HUMAN	MLP3A_HUMAN	1.0
BIRC6_HUMAN	VINC_HUMAN	1.6
BIRC6_HUMAN	RAB8B_HUMAN	1.44
BIRC6_HUMAN	MGST3_HUMAN	3.2
BIRC6_HUMAN	CALM2_HUMAN	1.28
BIRC6_HUMAN	GBRL2_HUMAN	0.8
BIRC6_HUMAN	NF1_HUMAN	0.64
BIRC6_HUMAN	BIRC6_HUMAN	4.0
BIRC6_HUMAN	DISC1_HUMAN	0.8
BIRC6_HUMAN	AKAP1_HUMAN	0.8
BIRC6_HUMAN	RB11A_HUMAN	1.44
BIRC6_HUMAN	WDR48_HUMAN	1.28
BIRC6_HUMAN	EXOC3_HUMAN	0.64
BIRC6_HUMAN	PHB2_HUMAN	0.8
BIRC6_HUMAN	MP2K1_HUMAN	2.64
BIRC6_HUMAN	ARP3_HUMAN	0.8
BIRC6_HUMAN	CALM3_HUMAN	0.64
BIRC6_HUMAN	CSK21_HUMAN	1.6
BIRC6_HUMAN	PROF1_HUMAN	0.8
BIRC6_HUMAN	CLIP1_HUMAN	0.8
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	CTRO_HUMAN	0.8
CALM1_HUMAN	PP1A_HUMAN	0.6
CALM1_HUMAN	UBC_HUMAN	1.44
CALM1_HUMAN	PTEN_HUMAN	0.8
CALM1_HUMAN	AKAP9_HUMAN	4.0
CALM1_HUMAN	RAB8B_HUMAN	0.64
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	NF1_HUMAN	0.64
CALM1_HUMAN	DISC1_HUMAN	1.6
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CALM1_HUMAN	CSK21_HUMAN	3.0
CALM1_HUMAN	PROF1_HUMAN	0.8
CALM1_HUMAN	CLIP1_HUMAN	0.8
EP15R_HUMAN	UBC_HUMAN	4.48
EP15R_HUMAN	ARP3_HUMAN	0.6
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	PP1A_HUMAN	0.8
CTRO_HUMAN	FAS_HUMAN	0.8
CTRO_HUMAN	AKAP9_HUMAN	0.8
CTRO_HUMAN	CALM2_HUMAN	0.8
CTRO_HUMAN	DISC1_HUMAN	2.6
CTRO_HUMAN	PHB2_HUMAN	0.8
CTRO_HUMAN	ARP3_HUMAN	0.8
CTRO_HUMAN	CALM3_HUMAN	0.8
CTRO_HUMAN	CSK21_HUMAN	0.8
CYBP_HUMAN	CYBP_HUMAN	34.8
CYBP_HUMAN	UBC_HUMAN	1.0
CYBP_HUMAN	RAB8A_HUMAN	1.6
CYBP_HUMAN	AKAP1_HUMAN	0.8
PP1A_HUMAN	PP1A_HUMAN	76.88000000000001
PP1A_HUMAN	UBC_HUMAN	0.64
