UniProtID	UniProtID	score
BORG4_HUMAN	STX7_HUMAN	0.8
BORG4_HUMAN	SEPT7_HUMAN	2.8400000000000003
BORG4_HUMAN	LYN_HUMAN	0.8
BORG4_HUMAN	RAB35_HUMAN	0.8
BORG4_HUMAN	HD_HUMAN	2.4000000000000004
BORG4_HUMAN	ARF6_HUMAN	0.8
BORG4_HUMAN	WDR6_HUMAN	0.8
BORG4_HUMAN	TERA_HUMAN	0.8
BORG4_HUMAN	MARCS_HUMAN	0.8
BORG4_HUMAN	RASH_HUMAN	1.6
BORG4_HUMAN	RASN_HUMAN	1.6
BORG4_HUMAN	RHOB_HUMAN	0.8
BORG4_HUMAN	SRPK2_HUMAN	2.24
BORG4_HUMAN	A4_HUMAN	0.8
BORG4_HUMAN	CADH1_HUMAN	0.8
BORG4_HUMAN	LTOR1_HUMAN	0.8
BORG4_HUMAN	DUS3_HUMAN	0.64
BORG4_HUMAN	ELAV1_HUMAN	0.8
BORG4_HUMAN	CDC42_HUMAN	3.0400000000000005
BORG4_HUMAN	ERBB4_HUMAN	0.64
BORG4_HUMAN	RASK_HUMAN	1.6
BORG4_HUMAN	SEP11_HUMAN	2.2
BORG4_HUMAN	RGS14_HUMAN	0.64
STX7_HUMAN	SEPT7_HUMAN	0.8
STX7_HUMAN	LYN_HUMAN	0.8
STX7_HUMAN	RAB35_HUMAN	0.8
STX7_HUMAN	HD_HUMAN	0.8
STX7_HUMAN	ARF6_HUMAN	0.8
STX7_HUMAN	WDR6_HUMAN	0.8
STX7_HUMAN	MARCS_HUMAN	0.8
STX7_HUMAN	RASH_HUMAN	1.6
STX7_HUMAN	RASN_HUMAN	1.6
STX7_HUMAN	RHOB_HUMAN	0.8
STX7_HUMAN	LTOR1_HUMAN	1.6
STX7_HUMAN	ELAV1_HUMAN	0.8
STX7_HUMAN	RASK_HUMAN	1.6
SEPT7_HUMAN	SEPT7_HUMAN	20.0
SEPT7_HUMAN	LYN_HUMAN	0.8
SEPT7_HUMAN	RAB35_HUMAN	0.8
SEPT7_HUMAN	HD_HUMAN	0.8
SEPT7_HUMAN	ARF6_HUMAN	0.8
SEPT7_HUMAN	MARCS_HUMAN	0.8
SEPT7_HUMAN	RASH_HUMAN	0.8
SEPT7_HUMAN	RASN_HUMAN	0.8
SEPT7_HUMAN	RHOB_HUMAN	0.8
SEPT7_HUMAN	CADH1_HUMAN	0.8
SEPT7_HUMAN	ELAV1_HUMAN	0.8
SEPT7_HUMAN	RASK_HUMAN	1.6
SEPT7_HUMAN	SEP11_HUMAN	9.56
LYN_HUMAN	LYN_HUMAN	8.799999999999999
LYN_HUMAN	RAB35_HUMAN	0.8
LYN_HUMAN	ARF6_HUMAN	0.8
LYN_HUMAN	WDR6_HUMAN	0.8
LYN_HUMAN	MARCS_HUMAN	1.6
LYN_HUMAN	RASH_HUMAN	3.0000000000000004
LYN_HUMAN	RASN_HUMAN	3.0000000000000004
LYN_HUMAN	RHOB_HUMAN	0.8
LYN_HUMAN	A4_HUMAN	2.4000000000000004
LYN_HUMAN	LTOR1_HUMAN	0.8
LYN_HUMAN	ELAV1_HUMAN	0.8
LYN_HUMAN	ERBB4_HUMAN	0.8
LYN_HUMAN	RASK_HUMAN	3.8000000000000003
RAB35_HUMAN	HD_HUMAN	3.2
RAB35_HUMAN	ARF6_HUMAN	0.8
RAB35_HUMAN	WDR6_HUMAN	0.8
RAB35_HUMAN	MARCS_HUMAN	0.8
RAB35_HUMAN	A4_HUMAN	0.8
RAB35_HUMAN	LTOR1_HUMAN	0.8
RAB35_HUMAN	CDC42_HUMAN	1.0
RAB35_HUMAN	RGS14_HUMAN	0.64
HD_HUMAN	HD_HUMAN	40.400000000000006
HD_HUMAN	TERA_HUMAN	17.4
HD_HUMAN	A4_HUMAN	4.8
HD_HUMAN	LTOR1_HUMAN	0.8
ARF6_HUMAN	ARF6_HUMAN	6.0
ARF6_HUMAN	WDR6_HUMAN	0.8
ARF6_HUMAN	TERA_HUMAN	0.8
ARF6_HUMAN	MARCS_HUMAN	1.6
ARF6_HUMAN	RASN_HUMAN	0.8
ARF6_HUMAN	RHOB_HUMAN	0.8
ARF6_HUMAN	A4_HUMAN	0.8
ARF6_HUMAN	LTOR1_HUMAN	1.6
ARF6_HUMAN	CDC42_HUMAN	0.6
ARF6_HUMAN	RASK_HUMAN	1.6
ARF6_HUMAN	SEP11_HUMAN	0.8
WDR6_HUMAN	MARCS_HUMAN	0.8
WDR6_HUMAN	RASN_HUMAN	0.8
WDR6_HUMAN	RHOB_HUMAN	0.8
WDR6_HUMAN	LTOR1_HUMAN	0.8
WDR6_HUMAN	RASK_HUMAN	1.6
TERA_HUMAN	TERA_HUMAN	566.4000000000001
TERA_HUMAN	A4_HUMAN	1.8
TERA_HUMAN	ELAV1_HUMAN	2.0
MARCS_HUMAN	RASH_HUMAN	1.6
MARCS_HUMAN	RASN_HUMAN	0.8
MARCS_HUMAN	RHOB_HUMAN	0.8
MARCS_HUMAN	CADH1_HUMAN	0.8
MARCS_HUMAN	LTOR1_HUMAN	1.6
MARCS_HUMAN	ELAV1_HUMAN	0.8
MARCS_HUMAN	RASK_HUMAN	1.6
RASH_HUMAN	RASH_HUMAN	316.4
RASH_HUMAN	RASN_HUMAN	2.2
RASH_HUMAN	CADH1_HUMAN	1.6
RASH_HUMAN	LTOR1_HUMAN	1.6
RASH_HUMAN	CDC42_HUMAN	1.6
RASH_HUMAN	ERBB4_HUMAN	0.6
RASH_HUMAN	RASK_HUMAN	3.0000000000000004
RASH_HUMAN	SEP11_HUMAN	0.8
RASH_HUMAN	RGS14_HUMAN	1.0
RASN_HUMAN	RASN_HUMAN	11.2
RASN_HUMAN	A4_HUMAN	0.8
RASN_HUMAN	LTOR1_HUMAN	0.8
RASN_HUMAN	ELAV1_HUMAN	0.8
RASN_HUMAN	RASK_HUMAN	2.2
RASN_HUMAN	SEP11_HUMAN	0.8
RHOB_HUMAN	RHOB_HUMAN	2.0
RHOB_HUMAN	LTOR1_HUMAN	0.8
RHOB_HUMAN	ELAV1_HUMAN	0.8
RHOB_HUMAN	CDC42_HUMAN	0.6
RHOB_HUMAN	SEP11_HUMAN	0.8
SRPK2_HUMAN	SRPK2_HUMAN	16.0
SRPK2_HUMAN	A4_HUMAN	1.6
SRPK2_HUMAN	RASK_HUMAN	0.8
A4_HUMAN	A4_HUMAN	2360.8
A4_HUMAN	DUS3_HUMAN	0.8
A4_HUMAN	RASK_HUMAN	1.6
A4_HUMAN	RGS14_HUMAN	0.8
CADH1_HUMAN	CADH1_HUMAN	73.19999999999993
CADH1_HUMAN	CDC42_HUMAN	2.6
CADH1_HUMAN	RASK_HUMAN	0.8
LTOR1_HUMAN	LTOR1_HUMAN	6.0
LTOR1_HUMAN	ELAV1_HUMAN	0.8
LTOR1_HUMAN	RASK_HUMAN	1.6
DUS3_HUMAN	DUS3_HUMAN	5.6
DUS3_HUMAN	ELAV1_HUMAN	0.8
ELAV1_HUMAN	ELAV1_HUMAN	46.8
ELAV1_HUMAN	CDC42_HUMAN	0.8
ELAV1_HUMAN	RASK_HUMAN	0.8
ELAV1_HUMAN	SEP11_HUMAN	0.8
CDC42_HUMAN	CDC42_HUMAN	35.2
CDC42_HUMAN	RASK_HUMAN	0.8
CDC42_HUMAN	RGS14_HUMAN	0.64
ERBB4_HUMAN	ERBB4_HUMAN	53.2
RASK_HUMAN	RASK_HUMAN	676.0
RASK_HUMAN	SEP11_HUMAN	0.8
RGS14_HUMAN	RGS14_HUMAN	1.28
