UniProtID	UniProtID	score
C1QA_HUMAN	UBQL1_HUMAN	1.6
C1QA_HUMAN	PP1G_HUMAN	1.6
C1QA_HUMAN	1433Z_HUMAN	0.64
C1QA_HUMAN	ENPP1_HUMAN	0.8
C1QA_HUMAN	C1S_HUMAN	1
C1QA_HUMAN	FZD2_HUMAN	0.64
C1QA_HUMAN	BAG6_HUMAN	1.6
C1QA_HUMAN	PP1A_HUMAN	1.6
C1QA_HUMAN	INSR_HUMAN	0.8
C1QA_HUMAN	RAC1_HUMAN	1.6
C1QA_HUMAN	PLXA2_HUMAN	0.8
C1QA_HUMAN	LRP1_HUMAN	1
C1QA_HUMAN	SGTA_HUMAN	1.6
C1QA_HUMAN	BMP1_HUMAN	1
C1QA_HUMAN	HIPK3_HUMAN	1.6
C1QA_HUMAN	UBQL2_HUMAN	6.3999999999999995
C1QA_HUMAN	S2547_HUMAN	1.6
C1QA_HUMAN	HSPB2_HUMAN	1.6
C1QA_HUMAN	HMGB1_HUMAN	1.6
C1QA_HUMAN	FZD8_HUMAN	1.92
C1QA_HUMAN	FZD1_HUMAN	0.64
C1QA_HUMAN	FZD4_HUMAN	0.64
C1QA_HUMAN	FZD7_HUMAN	0.64
C1QA_HUMAN	C1QB_HUMAN	33.64
C1QA_HUMAN	C1QC_HUMAN	32.64
C1QA_HUMAN	CD33_HUMAN	2
C1QA_HUMAN	KPCE_HUMAN	0.64
C1QA_HUMAN	APOA1_HUMAN	1.6
C1QA_HUMAN	ITM2B_HUMAN	1.28
C1QA_HUMAN	ANS1B_HUMAN	0.64
C1QA_HUMAN	PIAS2_HUMAN	1.6
C1QA_HUMAN	GNA1_HUMAN	1.6
C1QA_HUMAN	SGTB_HUMAN	3.2
C1QA_HUMAN	NLGN3_HUMAN	0.8
C1QA_HUMAN	UBP40_HUMAN	0.8
C1QA_HUMAN	C1R_HUMAN	1
C1QA_HUMAN	FACD2_HUMAN	0.64
C1QA_HUMAN	TBA4A_HUMAN	0.8
C1QA_HUMAN	MANBA_HUMAN	0.8
C1QA_HUMAN	NPTX1_HUMAN	0.8
C1QA_HUMAN	RN5A_HUMAN	0.8
C1QA_HUMAN	PLOD2_HUMAN	0.8
C1QA_HUMAN	CNTP3_HUMAN	0.8
C1QA_HUMAN	ITAV_HUMAN	0.8
C1QA_HUMAN	MRC2_HUMAN	0.8
C1QA_HUMAN	T132A_HUMAN	0.8
C1QA_HUMAN	ACOX3_HUMAN	0.8
C1QA_HUMAN	PISD_HUMAN	0.8
C1QA_HUMAN	TBB8_HUMAN	0.8
C1QA_HUMAN	P3H3_HUMAN	0.8
C1QA_HUMAN	TBB3_HUMAN	0.8
C1QA_HUMAN	WNT5A_HUMAN	0.8
C1QA_HUMAN	PGLT1_HUMAN	0.8
C1QA_HUMAN	MP2K6_HUMAN	0.8
C1QA_HUMAN	NRP2_HUMAN	0.8
C1QA_HUMAN	SUSD1_HUMAN	0.8
C1QA_HUMAN	FUT11_HUMAN	0.8
C1QA_HUMAN	NELFA_HUMAN	0.8
C1QA_HUMAN	SE1L1_HUMAN	0.8
C1QA_HUMAN	ITA7_HUMAN	0.8
C1QA_HUMAN	ITA4_HUMAN	0.8
C1QA_HUMAN	UBP30_HUMAN	0.8
C1QA_HUMAN	DD19B_HUMAN	0.8
C1QA_HUMAN	LYOX_HUMAN	0.8
C1QA_HUMAN	PLOD3_HUMAN	0.8
C1QA_HUMAN	TECT2_HUMAN	0.8
C1QA_HUMAN	EST3_HUMAN	0.8
C1QA_HUMAN	CTU2_HUMAN	0.8
C1QA_HUMAN	GT252_HUMAN	0.8
C1QA_HUMAN	UBE2H_HUMAN	0.8
C1QA_HUMAN	TNIP1_HUMAN	0.8
C1QA_HUMAN	CRP_HUMAN	1
C1QA_HUMAN	PGS2_HUMAN	1
C1QA_HUMAN	FINC_HUMAN	1
C1QA_HUMAN	SYT17_HUMAN	0.64
