UniProtID	UniProtID	score
C1QBP_HUMAN	RAC3_HUMAN	0.8
C1QBP_HUMAN	ESR1_HUMAN	0.8
C1QBP_HUMAN	DNM1L_HUMAN	0.8
C1QBP_HUMAN	CTNB1_HUMAN	2
C1QBP_HUMAN	DCNL1_HUMAN	1.6
C1QBP_HUMAN	GA2L2_HUMAN	0.8
C1QBP_HUMAN	NEDD8_HUMAN	1.6
C1QBP_HUMAN	IRS4_HUMAN	0.8
C1QBP_HUMAN	CBL_HUMAN	1.28
C1QBP_HUMAN	TRI25_HUMAN	0.8
C1QBP_HUMAN	RM43_HUMAN	0.8
C1QBP_HUMAN	DUX4C_HUMAN	0.8
C1QBP_HUMAN	DUX4_HUMAN	4.04
C1QBP_HUMAN	ARRB2_HUMAN	1.6
C1QBP_HUMAN	NU153_HUMAN	0.8
C1QBP_HUMAN	MLP3B_HUMAN	0.8
C1QBP_HUMAN	MLP3A_HUMAN	0.8
C1QBP_HUMAN	RELB_HUMAN	0.8
C1QBP_HUMAN	TITIN_HUMAN	0.8
C1QBP_HUMAN	GBRAP_HUMAN	0.8
C1QBP_HUMAN	SYCM_HUMAN	0.8
C1QBP_HUMAN	GBRL1_HUMAN	0.8
C1QBP_HUMAN	GBRL2_HUMAN	0.8
C1QBP_HUMAN	RM49_HUMAN	0.8
C1QBP_HUMAN	NPM_HUMAN	0.8
C1QBP_HUMAN	MAVS_HUMAN	5
C1QBP_HUMAN	TERA_HUMAN	0.8
C1QBP_HUMAN	ATX3_HUMAN	0.8
C1QBP_HUMAN	NFS1_HUMAN	0.8
C1QBP_HUMAN	NBEA_HUMAN	0.64
C1QBP_HUMAN	TGON2_HUMAN	0.8
C1QBP_HUMAN	HEXA_HUMAN	0.8
C1QBP_HUMAN	SHAN3_HUMAN	1.6
C1QBP_HUMAN	AIRE_HUMAN	1.28
C1QBP_HUMAN	CUL7_HUMAN	0.8
C1QBP_HUMAN	RL13_HUMAN	0.8
C1QBP_HUMAN	XRCC1_HUMAN	1.6
C1QBP_HUMAN	ECT2_HUMAN	0.8
C1QBP_HUMAN	ASXL1_HUMAN	0.8
C1QBP_HUMAN	HIBCH_HUMAN	0.8
C1QBP_HUMAN	GCDH_HUMAN	0.8
C1QBP_HUMAN	ANT3_HUMAN	3
C1QBP_HUMAN	F16P1_HUMAN	0.8
C1QBP_HUMAN	TAU_HUMAN	0.8
C1QBP_HUMAN	MK03_HUMAN	1
C1QBP_HUMAN	MK01_HUMAN	1
C1QBP_HUMAN	1433E_HUMAN	4.0
C1QBP_HUMAN	BAG1_HUMAN	0.8
C1QBP_HUMAN	HSP7C_HUMAN	2.24
C1QBP_HUMAN	VAPA_HUMAN	0.8
C1QBP_HUMAN	GAB1_HUMAN	1
C1QBP_HUMAN	RC3H1_HUMAN	0.8
C1QBP_HUMAN	TOM40_HUMAN	0.8
C1QBP_HUMAN	PTN1_HUMAN	0.8
C1QBP_HUMAN	CDK7_HUMAN	0.8
C1QBP_HUMAN	PRC1_HUMAN	0.8
C1QBP_HUMAN	TF3C1_HUMAN	0.8
C1QBP_HUMAN	DPOG1_HUMAN	0.8
C1QBP_HUMAN	QPCTL_HUMAN	0.8
C1QBP_HUMAN	ADCK5_HUMAN	4.0
