UniProtID	UniProtID	score
CALB1_HUMAN	DCE1_HUMAN	0.64
CALB1_HUMAN	SHAN2_HUMAN	0.8
CALB1_HUMAN	TAU_HUMAN	1.28
CALB1_HUMAN	SHAN1_HUMAN	0.8
CALB1_HUMAN	RANB9_HUMAN	2
CALB1_HUMAN	CASP3_HUMAN	1.6400000000000001
CALB1_HUMAN	NEMO_HUMAN	5.8
CALB1_HUMAN	GRID2_HUMAN	0.8
CALB1_HUMAN	GRAP1_HUMAN	0.8
CALB1_HUMAN	HS71B_HUMAN	0.64
CALB1_HUMAN	HS71A_HUMAN	0.64
CALB1_HUMAN	TRPV6_HUMAN	1
CALB1_HUMAN	CAC1D_HUMAN	1
CALB1_HUMAN	IMPA1_HUMAN	1
CALB1_HUMAN	IQCB1_HUMAN	1.6
CALB1_HUMAN	TRPV5_HUMAN	4
CALB1_HUMAN	TRI67_HUMAN	0.8
CALB1_HUMAN	OTUD4_HUMAN	0.64
