UniProtID	UniProtID	score
CAND2_HUMAN	TM108_HUMAN	0.8
CAND2_HUMAN	SYPH_HUMAN	3.2
CAND2_HUMAN	UBE3C_HUMAN	1.6400000000000001
CAND2_HUMAN	DNJB6_HUMAN	1.6
CAND2_HUMAN	ACM4_HUMAN	0.8
CAND2_HUMAN	CXA1_HUMAN	0.64
CAND2_HUMAN	STOM_HUMAN	2.4000000000000004
CAND2_HUMAN	VTI1B_HUMAN	1.6
CAND2_HUMAN	EFNB2_HUMAN	1.6
CAND2_HUMAN	AL3A2_HUMAN	1.6
CAND2_HUMAN	BASI_HUMAN	1.6
CAND2_HUMAN	ACM3_HUMAN	0.8
CAND2_HUMAN	RBX1_HUMAN	2.2
CAND2_HUMAN	DDRGK_HUMAN	0.8
UBE3C_HUMAN	UBE3C_HUMAN	10.8
UBE3C_HUMAN	EFNB2_HUMAN	0.8
UBE3C_HUMAN	RBX1_HUMAN	0.6
DNJB6_HUMAN	DDRGK_HUMAN	0.8
ACM4_HUMAN	ACM4_HUMAN	2.0
CXA1_HUMAN	CXA1_HUMAN	4.880000000000001
CXA1_HUMAN	STOM_HUMAN	0.8
CXA1_HUMAN	EFNB2_HUMAN	1.6
CXA1_HUMAN	AL3A2_HUMAN	0.8
CXA1_HUMAN	BASI_HUMAN	1.44
CXA1_HUMAN	DDRGK_HUMAN	0.8
STOM_HUMAN	STOM_HUMAN	41.999999999999986
AL3A2_HUMAN	AL3A2_HUMAN	2.0
AL3A2_HUMAN	DDRGK_HUMAN	0.8
BASI_HUMAN	BASI_HUMAN	38.0
BASI_HUMAN	ACM3_HUMAN	1.6
BASI_HUMAN	DDRGK_HUMAN	0.8
ACM3_HUMAN	ACM3_HUMAN	2.0
RBX1_HUMAN	RBX1_HUMAN	13.6
DDRGK_HUMAN	DDRGK_HUMAN	1.6
