UniProtID	UniProtID	score
CAPS1_HUMAN	SYUA_HUMAN	0.8
CAPS1_HUMAN	SDCB1_HUMAN	0.8
CAPS1_HUMAN	LNX1_HUMAN	0.8
CAPS1_HUMAN	ACTN3_HUMAN	0.8
CAPS1_HUMAN	ADA10_HUMAN	0.64
CAPS1_HUMAN	HXC8_HUMAN	0.8
CAPS1_HUMAN	CUL7_HUMAN	0.8
CAPS1_HUMAN	MK01_HUMAN	0.64
CAPS1_HUMAN	SNP25_HUMAN	1.6
CAPS1_HUMAN	SC23A_HUMAN	0.8
CAPS1_HUMAN	K1549_HUMAN	1.6
CAPS1_HUMAN	SESD1_HUMAN	0.64
CAPS1_HUMAN	MSL1_HUMAN	0.64
CAPS1_HUMAN	NEK4_HUMAN	1.6
CAPS1_HUMAN	LRRK2_HUMAN	0.64
CAPS1_HUMAN	PRIO_HUMAN	0.8
CAPS1_HUMAN	ITM2B_HUMAN	1.28
CAPS1_HUMAN	HDAC4_HUMAN	2.08
CAPS1_HUMAN	TCL1A_HUMAN	2.4000000000000004
CAPS1_HUMAN	LC7L2_HUMAN	1.44
CAPS1_HUMAN	PI51A_HUMAN	1.44
CAPS1_HUMAN	CAPS1_HUMAN	3.2
CAPS1_HUMAN	STX1A_HUMAN	2.4000000000000004
CAPS1_HUMAN	EXOC1_HUMAN	0.8
CAPS1_HUMAN	DISC1_HUMAN	0.8
CAPS1_HUMAN	TTC3_HUMAN	1.6
CAPS1_HUMAN	DSCAM_HUMAN	1.6
CAPS1_HUMAN	DNJC5_HUMAN	1.6
CAPS1_HUMAN	SHFL_HUMAN	1.44
CAPS1_HUMAN	F161A_HUMAN	1.6
CAPS1_HUMAN	ZN572_HUMAN	0.8
CAPS1_HUMAN	FAM9B_HUMAN	0.8
CAPS1_HUMAN	TTL10_HUMAN	0.8
CAPS1_HUMAN	CQ067_HUMAN	0.8
CAPS1_HUMAN	ZN688_HUMAN	0.8
CAPS1_HUMAN	UBP2_HUMAN	0.8
CAPS1_HUMAN	ANS1A_HUMAN	0.8
CAPS1_HUMAN	SH24A_HUMAN	0.8
CAPS1_HUMAN	AURKC_HUMAN	0.8
CAPS1_HUMAN	CABP5_HUMAN	0.8
CAPS1_HUMAN	FANCL_HUMAN	0.8
CAPS1_HUMAN	HXB5_HUMAN	0.8
CAPS1_HUMAN	GSE1_HUMAN	0.8
CAPS1_HUMAN	ZC3H1_HUMAN	0.8
CAPS1_HUMAN	CC120_HUMAN	0.8
CAPS1_HUMAN	SEN2_HUMAN	0.8
CAPS1_HUMAN	GLD2_HUMAN	0.8
CAPS1_HUMAN	PRP18_HUMAN	0.8
CAPS1_HUMAN	F90A1_HUMAN	0.8
CAPS1_HUMAN	OLIG3_HUMAN	0.8
CAPS1_HUMAN	CC185_HUMAN	0.8
CAPS1_HUMAN	G45IP_HUMAN	0.8
CAPS1_HUMAN	FOXD2_HUMAN	0.8
CAPS1_HUMAN	KANK2_HUMAN	0.8
CAPS1_HUMAN	PNMA5_HUMAN	0.8
CAPS1_HUMAN	GPAN1_HUMAN	0.8
CAPS1_HUMAN	TRI55_HUMAN	0.8
CAPS1_HUMAN	TRI63_HUMAN	0.8
CAPS1_HUMAN	CLIP1_HUMAN	2.4000000000000004
CAPS1_HUMAN	ZMYD8_HUMAN	0.8
CAPS1_HUMAN	KCC2A_HUMAN	0.64
CAPS1_HUMAN	AKT3_HUMAN	0.64
CAPS1_HUMAN	TAC2N_HUMAN	0.8
CAPS1_HUMAN	MINY2_HUMAN	0.8
CAPS1_HUMAN	FYCO1_HUMAN	0.8
CAPS1_HUMAN	CEP97_HUMAN	0.8
CAPS1_HUMAN	PAN2_HUMAN	0.8
CAPS1_HUMAN	NUP98_HUMAN	0.8
CAPS1_HUMAN	MTMR4_HUMAN	0.8
CAPS1_HUMAN	PAN3_HUMAN	0.8
CAPS1_HUMAN	MARF1_HUMAN	0.8
CAPS1_HUMAN	GPM6A_HUMAN	0.8
CAPS1_HUMAN	BACH_HUMAN	0.8
CAPS1_HUMAN	GORAB_HUMAN	0.8
CAPS1_HUMAN	ADDA_HUMAN	0.8
CAPS1_HUMAN	LCN1_HUMAN	0.8
CAPS1_HUMAN	CHM2B_HUMAN	0.8
CAPS1_HUMAN	PRKN_HUMAN	0.8
CAPS1_HUMAN	UBP48_HUMAN	0.64
CAPS1_HUMAN	SYN1_HUMAN	0.64
CAPS1_HUMAN	FMC1_HUMAN	0.64
CAPS1_HUMAN	LNP_HUMAN	0.64
CAPS1_HUMAN	PPP5_HUMAN	0.64
