UniProtID	UniProtID	score
CAPZB_HUMAN	TRI37_HUMAN	0.8
CAPZB_HUMAN	CALM1_HUMAN	0.64
CAPZB_HUMAN	CTRO_HUMAN	0.8
CAPZB_HUMAN	PP1A_HUMAN	0.8
CAPZB_HUMAN	CAZA2_HUMAN	4.64
CAPZB_HUMAN	CYLD_HUMAN	0.8
CAPZB_HUMAN	LIMA1_HUMAN	1.44
CAPZB_HUMAN	MYO5B_HUMAN	0.8
CAPZB_HUMAN	NDUA7_HUMAN	1.6
CAPZB_HUMAN	DDRGK_HUMAN	0.8
CAPZB_HUMAN	MYH9_HUMAN	1.44
CAPZB_HUMAN	LIS1_HUMAN	0.8
CAPZB_HUMAN	UBC12_HUMAN	0.8
CAPZB_HUMAN	TPM1_HUMAN	0.64
CAPZB_HUMAN	GBRL2_HUMAN	0.8
CAPZB_HUMAN	ARPC2_HUMAN	0.8
CAPZB_HUMAN	SH3K1_HUMAN	4.2
CAPZB_HUMAN	UBP14_HUMAN	0.8
CAPZB_HUMAN	TP53B_HUMAN	0.8
CAPZB_HUMAN	ACTY_HUMAN	1.44
CAPZB_HUMAN	CDC42_HUMAN	2.4000000000000004
CAPZB_HUMAN	IQGA1_HUMAN	0.8
CAPZB_HUMAN	KPCE_HUMAN	0.64
CAPZB_HUMAN	RASK_HUMAN	0.8
CAPZB_HUMAN	CAZA1_HUMAN	4.640000000000001
CAPZB_HUMAN	KCC2A_HUMAN	0.64
CAPZB_HUMAN	RGS14_HUMAN	0.64
CAPZB_HUMAN	CAP1_HUMAN	0.64
CAPZB_HUMAN	DCTN1_HUMAN	4.64
CAPZB_HUMAN	UBC_HUMAN	0.64
CAPZB_HUMAN	IF4A3_HUMAN	0.8
CAPZB_HUMAN	BAG5_HUMAN	0.8
CAPZB_HUMAN	DREB_HUMAN	0.8
CAPZB_HUMAN	ITA5_HUMAN	0.64
CAPZB_HUMAN	PLSL_HUMAN	0.64
CAPZB_HUMAN	DMWD_HUMAN	1.6
CAPZB_HUMAN	PTN_HUMAN	1.6
CAPZB_HUMAN	AP3B1_HUMAN	0.64
CAPZB_HUMAN	DAB1_HUMAN	0.8
CAPZB_HUMAN	COR1C_HUMAN	0.64
CAPZB_HUMAN	PDLI7_HUMAN	0.8
CAPZB_HUMAN	GRB2_HUMAN	0.8
CAPZB_HUMAN	DLDH_HUMAN	0.8
CAPZB_HUMAN	ACTB_HUMAN	2.08
CAPZB_HUMAN	PRIO_HUMAN	1.6
CAPZB_HUMAN	1433E_HUMAN	0.64
CAPZB_HUMAN	CADH1_HUMAN	0.8
CAPZB_HUMAN	DCTN3_HUMAN	0.64
CAPZB_HUMAN	MY18A_HUMAN	0.8
CAPZB_HUMAN	PP1G_HUMAN	0.8
CAPZB_HUMAN	CLH1_HUMAN	0.64
CAPZB_HUMAN	BAG3_HUMAN	2.44
CAPZB_HUMAN	MARK2_HUMAN	0.8
CAPZB_HUMAN	TXTP_HUMAN	0.8
CAPZB_HUMAN	PRS4_HUMAN	0.8
CAPZB_HUMAN	SHPS1_HUMAN	2.4000000000000004
CAPZB_HUMAN	BLNK_HUMAN	0.8
CAPZB_HUMAN	1433B_HUMAN	0.64
CAPZB_HUMAN	CALM3_HUMAN	0.64
CAPZB_HUMAN	SC6A4_HUMAN	0.64
CAPZB_HUMAN	FLNA_HUMAN	0.8
CAPZB_HUMAN	1433Z_HUMAN	1.28
CAPZB_HUMAN	TAU_HUMAN	0.64
CAPZB_HUMAN	DCTN4_HUMAN	2.24
CAPZB_HUMAN	VPS35_HUMAN	0.64
CAPZB_HUMAN	HSP7C_HUMAN	3.0
CAPZB_HUMAN	HECW2_HUMAN	0.8
CAPZB_HUMAN	MYO5C_HUMAN	0.8
CAPZB_HUMAN	HOOK3_HUMAN	0.8
CAPZB_HUMAN	ARHG2_HUMAN	0.64
CAPZB_HUMAN	DAPK1_HUMAN	2.4000000000000004
CAPZB_HUMAN	TPM2_HUMAN	0.8
CAPZB_HUMAN	FLOT1_HUMAN	0.64
CAPZB_HUMAN	SYNPO_HUMAN	1.6
CAPZB_HUMAN	GAK_HUMAN	0.8
