UniProtID	UniProtID	score
CCG8_HUMAN	DLG3_HUMAN	0.8
CCG8_HUMAN	DLG4_HUMAN	3.5200000000000005
CCG8_HUMAN	MAGI2_HUMAN	0.8
CCG8_HUMAN	MAGI3_HUMAN	0.8
CCG8_HUMAN	PP2BA_HUMAN	5.4399999999999995
CCG8_HUMAN	GRIA2_HUMAN	81.91999999999985
CCG8_HUMAN	UBC_HUMAN	0.64
CCG8_HUMAN	TBA1A_HUMAN	0.64
CCG8_HUMAN	SSR3_HUMAN	0.64
CCG8_HUMAN	VPS18_HUMAN	0.8
CCG8_HUMAN	CANB1_HUMAN	1.92
CCG8_HUMAN	BCCIP_HUMAN	0.8
CCG8_HUMAN	IGS21_HUMAN	0.8
CCG8_HUMAN	HNRH1_HUMAN	0.8
CCG8_HUMAN	GRIA1_HUMAN	75.87999999999987
CCG8_HUMAN	CLH2_HUMAN	0.8
CCG8_HUMAN	LRRC1_HUMAN	0.8
CCG8_HUMAN	FP100_HUMAN	0.8
CCG8_HUMAN	TBB8_HUMAN	0.8
CCG8_HUMAN	MRS2_HUMAN	0.8
CCG8_HUMAN	CNIH2_HUMAN	38.39999999999999
CCG8_HUMAN	MECOM_HUMAN	0.64
CCG8_HUMAN	DI3L2_HUMAN	0.8
CCG8_HUMAN	PRRT2_HUMAN	0.64
CCG8_HUMAN	SHSA6_HUMAN	0.64
CCG8_HUMAN	SHSA7_HUMAN	0.64
CCG8_HUMAN	CCG8_HUMAN	39.999999999999986
