UniProtID	UniProtID	score
CDK5_HUMAN	SEPT7_HUMAN	1.6
CDK5_HUMAN	PP1A_HUMAN	1.0
CDK5_HUMAN	ESYT1_HUMAN	0.8
CDK5_HUMAN	FAS_HUMAN	0.8
CDK5_HUMAN	KC1D_HUMAN	0.6
CDK5_HUMAN	PPIA_HUMAN	2.4000000000000004
CDK5_HUMAN	TCPZ_HUMAN	3.2
CDK5_HUMAN	RAC1_HUMAN	0.6
CDK5_HUMAN	TCPB_HUMAN	3.2
CDK5_HUMAN	NEDD4_HUMAN	2.8800000000000003
CDK5_HUMAN	HS90B_HUMAN	1.6
CDK5_HUMAN	DHE3_HUMAN	1.6
CDK5_HUMAN	ABL1_HUMAN	0.6
CDK5_HUMAN	FSD1_HUMAN	0.64
CDK5_HUMAN	RASN_HUMAN	0.8
CDK5_HUMAN	NFH_HUMAN	2.04
CDK5_HUMAN	PGRC1_HUMAN	0.8
CDK5_HUMAN	FKBP4_HUMAN	2.0
CDK5_HUMAN	MIB1_HUMAN	0.8
CDK5_HUMAN	FYN_HUMAN	1.4
CDK5_HUMAN	STXB1_HUMAN	1.6400000000000001
CDK5_HUMAN	GSK3B_HUMAN	2.6
CDK5_HUMAN	DPYL4_HUMAN	0.6
CDK5_HUMAN	KCC2A_HUMAN	0.8
CDK5_HUMAN	CAN1_HUMAN	0.6
CDK5_HUMAN	DPYL5_HUMAN	0.6
CDK5_HUMAN	UBC_HUMAN	0.64
CDK5_HUMAN	IGF1R_HUMAN	0.8
CDK5_HUMAN	DREB_HUMAN	1.6
CDK5_HUMAN	ACTN1_HUMAN	0.8
CDK5_HUMAN	PRDX2_HUMAN	0.6
CDK5_HUMAN	HD_HUMAN	0.6
CDK5_HUMAN	TCPG_HUMAN	3.8400000000000003
CDK5_HUMAN	DLG4_HUMAN	1.92
CDK5_HUMAN	RL34_HUMAN	2.0
CDK5_HUMAN	GCR_HUMAN	0.6
CDK5_HUMAN	SYNJ1_HUMAN	1.6
CDK5_HUMAN	DAB1_HUMAN	2.6
CDK5_HUMAN	AGAP2_HUMAN	1.28
CDK5_HUMAN	PAK1_HUMAN	2.6
CDK5_HUMAN	1433E_HUMAN	0.6
CDK5_HUMAN	FRPD4_HUMAN	0.8
CDK5_HUMAN	LMTK2_HUMAN	2.0
CDK5_HUMAN	MBP_HUMAN	0.8
CDK5_HUMAN	PPR1B_HUMAN	1.24
CDK5_HUMAN	CDK18_HUMAN	1.6
CDK5_HUMAN	AKT2_HUMAN	0.8
CDK5_HUMAN	FIBP_HUMAN	7.039999999999999
CDK5_HUMAN	NTRK3_HUMAN	1.44
CDK5_HUMAN	DYN1_HUMAN	1.8
CDK5_HUMAN	LMNB1_HUMAN	0.6
CDK5_HUMAN	TRAP1_HUMAN	2.24
CDK5_HUMAN	CDK5_HUMAN	7.6
CDK5_HUMAN	TLN1_HUMAN	1.0
CDK5_HUMAN	UCHL1_HUMAN	1.0
CDK5_HUMAN	PLXA3_HUMAN	0.6
CDK5_HUMAN	TAU_HUMAN	16.240000000000002
CDK5_HUMAN	PLXA2_HUMAN	1.4
CDK5_HUMAN	NMDE1_HUMAN	0.6
CDK5_HUMAN	1433S_HUMAN	0.6
CDK5_HUMAN	TCPQ_HUMAN	3.2
CDK5_HUMAN	NRP1_HUMAN	0.6
CDK5_HUMAN	AMPH_HUMAN	2.24
CDK5_HUMAN	EPHA7_HUMAN	0.6
CDK5_HUMAN	STIP1_HUMAN	2.24
CDK5_HUMAN	PSN1_HUMAN	1.6
CDK5_HUMAN	PLXA1_HUMAN	0.6
CDK5_HUMAN	A4_HUMAN	3.8000000000000003
CDK5_HUMAN	CHIP_HUMAN	4.2
CDK5_HUMAN	WASF1_HUMAN	1.24
CDK5_HUMAN	TCPE_HUMAN	3.2
CDK5_HUMAN	PRDX1_HUMAN	0.6
CDK5_HUMAN	SYN1_HUMAN	1.24
CDK5_HUMAN	DLGP1_HUMAN	2.7199999999999998
CDK5_HUMAN	GAK_HUMAN	1.6400000000000001
CDK5_HUMAN	TCPD_HUMAN	3.2
CDK5_HUMAN	BAG6_HUMAN	0.8
CDK5_HUMAN	PURA_HUMAN	1.44
CDK5_HUMAN	MP2K1_HUMAN	0.6
CDK5_HUMAN	HS90A_HUMAN	1.6
CDK5_HUMAN	SEP11_HUMAN	1.6
CDK5_HUMAN	TSC1_HUMAN	1.28
CDK5_HUMAN	CD5R1_HUMAN	45.440000000000005
CDK5_HUMAN	TCPA_HUMAN	1.6
CDK5_HUMAN	DPYL3_HUMAN	0.6
CDK5_HUMAN	DPYL1_HUMAN	0.6
CDK5_HUMAN	CTNB1_HUMAN	0.8
CDK5_HUMAN	DPYL2_HUMAN	0.6
CDK5_HUMAN	STX1A_HUMAN	1.0
CDK5_HUMAN	NUMBL_HUMAN	2.4000000000000004
CDK5_HUMAN	PK3CA_HUMAN	0.8
CDK5_HUMAN	TIAM1_HUMAN	0.6
CDK5_HUMAN	NTRK2_HUMAN	7.159999999999999
CDK5_HUMAN	PRKN_HUMAN	2.8
CDK5_HUMAN	EPHA4_HUMAN	0.6
CDK5_HUMAN	TCPH_HUMAN	3.2
CDK5_HUMAN	CK5P3_HUMAN	0.6
CDK5_HUMAN	PLXA4_HUMAN	0.6
CDK5_HUMAN	NDEL1_HUMAN	3.24
CDK5_HUMAN	G3P_HUMAN	1.6
CDK5_HUMAN	ARP3_HUMAN	2.4000000000000004
SEPT7_HUMAN	SEPT7_HUMAN	20.0
SEPT7_HUMAN	RASN_HUMAN	0.8
SEPT7_HUMAN	UBC_HUMAN	0.64
SEPT7_HUMAN	HD_HUMAN	0.8
SEPT7_HUMAN	AGAP2_HUMAN	1.28
SEPT7_HUMAN	TAU_HUMAN	1.44
SEPT7_HUMAN	DLGP1_HUMAN	1.92
SEPT7_HUMAN	SEP11_HUMAN	9.56
PP1A_HUMAN	PP1A_HUMAN	76.88000000000001
PP1A_HUMAN	KC1D_HUMAN	0.6
PP1A_HUMAN	TCPZ_HUMAN	4.0
PP1A_HUMAN	PGRC1_HUMAN	0.8
PP1A_HUMAN	MIB1_HUMAN	0.8
PP1A_HUMAN	GSK3B_HUMAN	3.8400000000000003
PP1A_HUMAN	UBC_HUMAN	0.64
PP1A_HUMAN	IGF1R_HUMAN	0.64
PP1A_HUMAN	DREB_HUMAN	1.6
PP1A_HUMAN	HD_HUMAN	8.799999999999999
PP1A_HUMAN	DLG4_HUMAN	1.92
PP1A_HUMAN	AGAP2_HUMAN	1.28
PP1A_HUMAN	PAK1_HUMAN	1.0
PP1A_HUMAN	1433E_HUMAN	1.44
PP1A_HUMAN	FRPD4_HUMAN	1.6
PP1A_HUMAN	LMTK2_HUMAN	6.199999999999999
PP1A_HUMAN	PPR1B_HUMAN	1.4
PP1A_HUMAN	TLN1_HUMAN	0.64
PP1A_HUMAN	TAU_HUMAN	3.2800000000000002
PP1A_HUMAN	NMDE1_HUMAN	0.6
PP1A_HUMAN	TCPQ_HUMAN	0.64
PP1A_HUMAN	A4_HUMAN	2.4000000000000004
PP1A_HUMAN	PRDX1_HUMAN	1.6
PP1A_HUMAN	DLGP1_HUMAN	1.28
PP1A_HUMAN	PURA_HUMAN	1.44
PP1A_HUMAN	TSC1_HUMAN	1.92
PP1A_HUMAN	DPYL2_HUMAN	0.8
PP1A_HUMAN	STX1A_HUMAN	0.8
ESYT1_HUMAN	ESYT1_HUMAN	4.0
ESYT1_HUMAN	RASN_HUMAN	0.8
ESYT1_HUMAN	UBC_HUMAN	0.64
ESYT1_HUMAN	PSN1_HUMAN	1.6
FAS_HUMAN	FAS_HUMAN	74.80000000000001
FAS_HUMAN	TCPZ_HUMAN	0.8
FAS_HUMAN	RAC1_HUMAN	1.6
FAS_HUMAN	HS90B_HUMAN	1.6
FAS_HUMAN	MIB1_HUMAN	0.8
