UniProtID	UniProtID	score
CELR3_HUMAN	GRB2_HUMAN	0.8
CELR3_HUMAN	NCK1_HUMAN	1.6
CELR3_HUMAN	ABL1_HUMAN	0.8
CELR3_HUMAN	FYN_HUMAN	0.8
CELR3_HUMAN	TGON2_HUMAN	0.8
CELR3_HUMAN	SWP70_HUMAN	1.6
CELR3_HUMAN	DYST_HUMAN	1.6
CELR3_HUMAN	SPTN2_HUMAN	0.8
CELR3_HUMAN	TRIPC_HUMAN	1.44
CELR3_HUMAN	GANP_HUMAN	0.8
CELR3_HUMAN	IF140_HUMAN	0.8
CELR3_HUMAN	PPR26_HUMAN	0.8
CELR3_HUMAN	CLU_HUMAN	0.8
CELR3_HUMAN	TSYL4_HUMAN	0.8
CELR3_HUMAN	SCAPE_HUMAN	0.8
CELR3_HUMAN	RGAP1_HUMAN	0.8
CELR3_HUMAN	UACA_HUMAN	0.8
CELR3_HUMAN	SPTN4_HUMAN	0.8
CELR3_HUMAN	NEK4_HUMAN	1.6
CELR3_HUMAN	CSF1_HUMAN	0.64
CELR3_HUMAN	CAC1C_HUMAN	0.8
CELR3_HUMAN	HCN1_HUMAN	0.8
CELR3_HUMAN	SGSM2_HUMAN	1.6
CELR3_HUMAN	DSCR9_HUMAN	0.8
CELR3_HUMAN	RYK_HUMAN	1.6
CELR3_HUMAN	PSG9_HUMAN	2.4000000000000004
CELR3_HUMAN	GAN_HUMAN	0.8
CELR3_HUMAN	PSG8_HUMAN	1.6
CELR3_HUMAN	PCDGD_HUMAN	1.6
CELR3_HUMAN	PSG1_HUMAN	1.6
CELR3_HUMAN	SIR6_HUMAN	0.8
CELR3_HUMAN	PCD20_HUMAN	1.6
CELR3_HUMAN	DKKL1_HUMAN	1.6
CELR3_HUMAN	XAGE1_HUMAN	0.8
CELR3_HUMAN	PCDBB_HUMAN	1.6
CELR3_HUMAN	PCDGG_HUMAN	1.6
CELR3_HUMAN	CC50B_HUMAN	0.8
CELR3_HUMAN	VIR_HUMAN	0.8
CELR3_HUMAN	PRC1_HUMAN	0.8
CELR3_HUMAN	SPSB4_HUMAN	0.8
CELR3_HUMAN	CEAM8_HUMAN	0.8
CELR3_HUMAN	BY55_HUMAN	0.8
CELR3_HUMAN	CA054_HUMAN	0.8
CELR3_HUMAN	DCNP1_HUMAN	0.8
CELR3_HUMAN	TMED7_HUMAN	0.8
CELR3_HUMAN	LCFC1_HUMAN	0.8
CELR3_HUMAN	FBX2_HUMAN	0.8
CELR3_HUMAN	PCDGH_HUMAN	0.8
CELR3_HUMAN	TOP3B_HUMAN	0.8
CELR3_HUMAN	MET14_HUMAN	0.8
CELR3_HUMAN	REST_HUMAN	1
CELR3_HUMAN	CTCF_HUMAN	2
CELR3_HUMAN	CLK1_HUMAN	0.8
CELR3_HUMAN	RAD21_HUMAN	1
