UniProtID	UniProtID	score
CHIP_HUMAN	TRI37_HUMAN	0.6
CHIP_HUMAN	STAU1_HUMAN	0.64
CHIP_HUMAN	CALM1_HUMAN	0.64
CHIP_HUMAN	SRC_HUMAN	3.8
CHIP_HUMAN	CYBP_HUMAN	1.0
CHIP_HUMAN	TRAF3_HUMAN	0.8
CHIP_HUMAN	HSP72_HUMAN	4.8
CHIP_HUMAN	RUSC1_HUMAN	3.2
CHIP_HUMAN	SHRPN_HUMAN	0.8
CHIP_HUMAN	NOS1_HUMAN	6.4399999999999995
CHIP_HUMAN	2AAA_HUMAN	2.44
CHIP_HUMAN	FMR1_HUMAN	2.0
CHIP_HUMAN	NEDD4_HUMAN	0.6
CHIP_HUMAN	HS90B_HUMAN	10.2
CHIP_HUMAN	CYLD_HUMAN	0.8
CHIP_HUMAN	SYUA_HUMAN	3.6
CHIP_HUMAN	ABL1_HUMAN	3.0
CHIP_HUMAN	MARCS_HUMAN	0.8
CHIP_HUMAN	ARRB1_HUMAN	1.0
CHIP_HUMAN	LRSM1_HUMAN	0.6
CHIP_HUMAN	MLF2_HUMAN	4.64
CHIP_HUMAN	MK03_HUMAN	1.44
CHIP_HUMAN	WFS1_HUMAN	2.4000000000000004
CHIP_HUMAN	RL35_HUMAN	0.64
CHIP_HUMAN	PSMD1_HUMAN	1.8
CHIP_HUMAN	LIS1_HUMAN	0.8
CHIP_HUMAN	RGS17_HUMAN	3.2
CHIP_HUMAN	UBC12_HUMAN	1.4
CHIP_HUMAN	TPM1_HUMAN	0.8
CHIP_HUMAN	LTOR1_HUMAN	0.8
CHIP_HUMAN	DC1I1_HUMAN	0.8
CHIP_HUMAN	FYN_HUMAN	2.4000000000000004
CHIP_HUMAN	UBA1_HUMAN	2.4
CHIP_HUMAN	CUL5_HUMAN	0.6
CHIP_HUMAN	AL1L1_HUMAN	1.8
CHIP_HUMAN	RAF1_HUMAN	5.8
CHIP_HUMAN	UBE3C_HUMAN	0.6
CHIP_HUMAN	CDC42_HUMAN	0.8
CHIP_HUMAN	MTCH2_HUMAN	1.6
CHIP_HUMAN	DNJA3_HUMAN	3.0
CHIP_HUMAN	KCC2A_HUMAN	2.4000000000000004
CHIP_HUMAN	PARP1_HUMAN	2.8
CHIP_HUMAN	KPCZ_HUMAN	3.8
CHIP_HUMAN	LDHA_HUMAN	0.8
CHIP_HUMAN	MTCH1_HUMAN	0.8
CHIP_HUMAN	ERBB2_HUMAN	9.6
CHIP_HUMAN	PHB_HUMAN	0.8
CHIP_HUMAN	ARP2_HUMAN	0.8
CHIP_HUMAN	UBC_HUMAN	7.199999999999998
CHIP_HUMAN	DPM1_HUMAN	1.0
CHIP_HUMAN	G6PD_HUMAN	0.8
CHIP_HUMAN	UBE2N_HUMAN	26.040000000000006
CHIP_HUMAN	BAG5_HUMAN	4.88
CHIP_HUMAN	PTEN_HUMAN	5.6
CHIP_HUMAN	EM55_HUMAN	1.6
CHIP_HUMAN	DNJA1_HUMAN	1.6
CHIP_HUMAN	SC23A_HUMAN	0.8
CHIP_HUMAN	HD_HUMAN	9.6
CHIP_HUMAN	UBR4_HUMAN	0.6
CHIP_HUMAN	FXR1_HUMAN	0.8
CHIP_HUMAN	RN19A_HUMAN	0.6
CHIP_HUMAN	TBG1_HUMAN	1.6
CHIP_HUMAN	VIME_HUMAN	0.8
CHIP_HUMAN	FBX41_HUMAN	0.6
CHIP_HUMAN	DYN3_HUMAN	0.8
CHIP_HUMAN	GCR_HUMAN	5.199999999999999
CHIP_HUMAN	BIN1_HUMAN	0.64
CHIP_HUMAN	DRD4_HUMAN	1.0
CHIP_HUMAN	THIL_HUMAN	0.8
CHIP_HUMAN	BAIP2_HUMAN	0.64
CHIP_HUMAN	UB2V1_HUMAN	11.4
CHIP_HUMAN	TBA1A_HUMAN	1.6
CHIP_HUMAN	ACTB_HUMAN	0.8
CHIP_HUMAN	RHOA_HUMAN	0.8
CHIP_HUMAN	1433T_HUMAN	0.8
CHIP_HUMAN	DJC13_HUMAN	0.8
CHIP_HUMAN	1433E_HUMAN	0.8
CHIP_HUMAN	PSMD2_HUMAN	1.8
CHIP_HUMAN	AIFM1_HUMAN	0.8
CHIP_HUMAN	DJC11_HUMAN	0.8
CHIP_HUMAN	CUL3_HUMAN	0.6
CHIP_HUMAN	NUCG_HUMAN	2.0
CHIP_HUMAN	DNJA2_HUMAN	0.8
CHIP_HUMAN	UBP5_HUMAN	0.8
CHIP_HUMAN	HS71B_HUMAN	19.600000000000005
CHIP_HUMAN	BAG3_HUMAN	7.839999999999999
CHIP_HUMAN	KAPCA_HUMAN	4.4
CHIP_HUMAN	1433B_HUMAN	0.64
CHIP_HUMAN	RL31_HUMAN	0.64
CHIP_HUMAN	PDLI5_HUMAN	1.6
CHIP_HUMAN	ACBD5_HUMAN	0.8
CHIP_HUMAN	CALM3_HUMAN	0.64
CHIP_HUMAN	CDK18_HUMAN	1.6
CHIP_HUMAN	PARK7_HUMAN	1.0
CHIP_HUMAN	SC6A4_HUMAN	1.0
CHIP_HUMAN	CH60_HUMAN	1.6
CHIP_HUMAN	PSA4_HUMAN	0.8
CHIP_HUMAN	HS71A_HUMAN	21.400000000000006
CHIP_HUMAN	ATLA1_HUMAN	1.0
CHIP_HUMAN	AKT1_HUMAN	8.0
CHIP_HUMAN	CDK5_HUMAN	4.2
CHIP_HUMAN	ACHA3_HUMAN	0.64
CHIP_HUMAN	AACT_HUMAN	2.4000000000000004
CHIP_HUMAN	LCK_HUMAN	0.8
CHIP_HUMAN	FBX31_HUMAN	0.6
CHIP_HUMAN	TRIM9_HUMAN	0.6
CHIP_HUMAN	RS24_HUMAN	0.64
CHIP_HUMAN	HSPB1_HUMAN	4.0
CHIP_HUMAN	VPS4A_HUMAN	0.64
CHIP_HUMAN	TAU_HUMAN	27.44
CHIP_HUMAN	FAK1_HUMAN	1.0
CHIP_HUMAN	HS71L_HUMAN	4.0
CHIP_HUMAN	ANS1B_HUMAN	0.64
CHIP_HUMAN	MIF_HUMAN	2.0
CHIP_HUMAN	BIP_HUMAN	1.6
CHIP_HUMAN	ARF6_HUMAN	0.8
CHIP_HUMAN	ARRB2_HUMAN	1.0
CHIP_HUMAN	HSP7C_HUMAN	57.080000000000005
CHIP_HUMAN	DNJB6_HUMAN	5.64
CHIP_HUMAN	GCYA2_HUMAN	2.0
CHIP_HUMAN	TNR16_HUMAN	2.4000000000000004
CHIP_HUMAN	HECW2_HUMAN	0.6
CHIP_HUMAN	ENOA_HUMAN	0.8
CHIP_HUMAN	PP2BA_HUMAN	0.8
CHIP_HUMAN	PUR6_HUMAN	0.8
CHIP_HUMAN	TF65_HUMAN	1.0
CHIP_HUMAN	RBX1_HUMAN	0.6
CHIP_HUMAN	GRP75_HUMAN	2.8
CHIP_HUMAN	CAND1_HUMAN	0.64
CHIP_HUMAN	OLA1_HUMAN	1.0
CHIP_HUMAN	RENR_HUMAN	1.6
CHIP_HUMAN	NUDC2_HUMAN	0.8
CHIP_HUMAN	A4_HUMAN	3.52
