UniProtID	UniProtID	score
CISY_HUMAN	DLG4_HUMAN	0.64
CISY_HUMAN	PAK2_HUMAN	1.6
CISY_HUMAN	PRAF1_HUMAN	0.64
CISY_HUMAN	ERBIN_HUMAN	0.64
CISY_HUMAN	TRI25_HUMAN	0.8
CISY_HUMAN	RM43_HUMAN	0.8
CISY_HUMAN	PLEC_HUMAN	1.6
CISY_HUMAN	SYCM_HUMAN	1.6
CISY_HUMAN	RM49_HUMAN	0.8
CISY_HUMAN	TERA_HUMAN	0.8
CISY_HUMAN	NFS1_HUMAN	1.6
CISY_HUMAN	SHAN3_HUMAN	1.28
CISY_HUMAN	CUL7_HUMAN	0.8
CISY_HUMAN	ECT2_HUMAN	0.8
CISY_HUMAN	HIBCH_HUMAN	0.8
CISY_HUMAN	TAU_HUMAN	0.64
CISY_HUMAN	MK03_HUMAN	0.64
CISY_HUMAN	BAG1_HUMAN	0.8
CISY_HUMAN	HSP7C_HUMAN	1.8
CISY_HUMAN	DYL1_HUMAN	0.64
CISY_HUMAN	1433Z_HUMAN	0.64
CISY_HUMAN	DPOG1_HUMAN	1.6
CISY_HUMAN	ZN207_HUMAN	1.6
CISY_HUMAN	EZH2_HUMAN	0.8
CISY_HUMAN	MPPA_HUMAN	1.6
CISY_HUMAN	HSPB1_HUMAN	2.8
CISY_HUMAN	HCD2_HUMAN	3.04
CISY_HUMAN	TM10C_HUMAN	1.6
CISY_HUMAN	AFAD_HUMAN	0.8
CISY_HUMAN	1433B_HUMAN	0.8
CISY_HUMAN	HD_HUMAN	0.64
CISY_HUMAN	CRYAB_HUMAN	3.64
CISY_HUMAN	SHC1_HUMAN	1.6
CISY_HUMAN	NEB2_HUMAN	0.64
CISY_HUMAN	KPCZ_HUMAN	1.6
CISY_HUMAN	NRX1A_HUMAN	0.64
CISY_HUMAN	TAOK2_HUMAN	0.64
CISY_HUMAN	C1QBP_HUMAN	1.6
CISY_HUMAN	6PGD_HUMAN	0.8
CISY_HUMAN	ALDOA_HUMAN	1.44
CISY_HUMAN	PHB2_HUMAN	0.8
CISY_HUMAN	ECH1_HUMAN	0.8
CISY_HUMAN	TRAF6_HUMAN	0.8
CISY_HUMAN	CXA1_HUMAN	0.64
CISY_HUMAN	ECSIT_HUMAN	1.6
CISY_HUMAN	LONM_HUMAN	1.6
CISY_HUMAN	UBE2N_HUMAN	1.6
CISY_HUMAN	DHX30_HUMAN	0.8
CISY_HUMAN	HLAB_HUMAN	0.8
CISY_HUMAN	DNJA3_HUMAN	0.8
CISY_HUMAN	ARF6_HUMAN	0.8
CISY_HUMAN	HUWE1_HUMAN	0.8
CISY_HUMAN	BIRC3_HUMAN	0.8
CISY_HUMAN	ATPB_HUMAN	2.24
CISY_HUMAN	SCOT1_HUMAN	1.6
CISY_HUMAN	HNRPL_HUMAN	0.8
CISY_HUMAN	RBM39_HUMAN	0.8
CISY_HUMAN	CAC1C_HUMAN	0.8
CISY_HUMAN	DDR1_HUMAN	0.8
CISY_HUMAN	CLIP1_HUMAN	0.8
CISY_HUMAN	SYGP1_HUMAN	0.64
CISY_HUMAN	PRKN_HUMAN	1.6
CISY_HUMAN	IF2M_HUMAN	2.4000000000000004
CISY_HUMAN	HTRA2_HUMAN	0.8
CISY_HUMAN	NDUBA_HUMAN	0.64
CISY_HUMAN	G6PI_HUMAN	1.6
CISY_HUMAN	QCR1_HUMAN	0.64
CISY_HUMAN	G45IP_HUMAN	0.8
CISY_HUMAN	STXB1_HUMAN	0.64
CISY_HUMAN	TRFE_HUMAN	0.8
CISY_HUMAN	CUTA_HUMAN	0.8
CISY_HUMAN	ECHM_HUMAN	2.4000000000000004
CISY_HUMAN	GSTK1_HUMAN	1.6
CISY_HUMAN	ETFA_HUMAN	1.6
CISY_HUMAN	ATIF1_HUMAN	1.6
CISY_HUMAN	SYVM_HUMAN	1.6
CISY_HUMAN	STRAP_HUMAN	0.8
CISY_HUMAN	AT5F1_HUMAN	2.24
CISY_HUMAN	AMPL_HUMAN	1.6
CISY_HUMAN	NT5D2_HUMAN	1.6
CISY_HUMAN	UBE2H_HUMAN	0.8
CISY_HUMAN	ROAA_HUMAN	0.8
CISY_HUMAN	CRCM_HUMAN	0.8
CISY_HUMAN	HDAC5_HUMAN	0.8
CISY_HUMAN	NTRK1_HUMAN	0.8
CISY_HUMAN	ACON_HUMAN	1.44
CISY_HUMAN	RFA1_HUMAN	0.8
CISY_HUMAN	RFA2_HUMAN	0.8
CISY_HUMAN	RFA3_HUMAN	0.8
CISY_HUMAN	QCR2_HUMAN	1.44
CISY_HUMAN	ISCU_HUMAN	0.8
CISY_HUMAN	COX5B_HUMAN	0.8
CISY_HUMAN	RBMX_HUMAN	0.8
CISY_HUMAN	ODPX_HUMAN	0.8
CISY_HUMAN	GLYM_HUMAN	2.4000000000000004
CISY_HUMAN	CH60_HUMAN	2.4000000000000004
CISY_HUMAN	ALDH2_HUMAN	0.8
CISY_HUMAN	ACADV_HUMAN	1.6
CISY_HUMAN	HCDH_HUMAN	1.6
CISY_HUMAN	AL7A1_HUMAN	0.8
CISY_HUMAN	DHE3_HUMAN	1.6
CISY_HUMAN	ECHA_HUMAN	1.6
CISY_HUMAN	AL4A1_HUMAN	0.8
CISY_HUMAN	ANXA5_HUMAN	1.6
CISY_HUMAN	HTRA1_HUMAN	1.6
CISY_HUMAN	ODP2_HUMAN	3.04
CISY_HUMAN	MDHC_HUMAN	0.8
CISY_HUMAN	GRP75_HUMAN	0.8
CISY_HUMAN	IDHP_HUMAN	0.8
CISY_HUMAN	MYC_HUMAN	0.8
CISY_HUMAN	NDKM_HUMAN	1.6
CISY_HUMAN	SODM_HUMAN	0.8
CISY_HUMAN	CUL3_HUMAN	0.8
CISY_HUMAN	RT31_HUMAN	1.6
CISY_HUMAN	NDUB7_HUMAN	0.64
CISY_HUMAN	DESI1_HUMAN	0.64
CISY_HUMAN	TAB2_HUMAN	1.6
CISY_HUMAN	NNTM_HUMAN	1.6
CISY_HUMAN	PRDX3_HUMAN	0.8
CISY_HUMAN	MIA40_HUMAN	0.8
CISY_HUMAN	P5CR1_HUMAN	1.6
CISY_HUMAN	THIL_HUMAN	1.6
CISY_HUMAN	OTUB1_HUMAN	0.8
CISY_HUMAN	CC90B_HUMAN	0.8
CISY_HUMAN	FAD1_HUMAN	0.8
CISY_HUMAN	ODPB_HUMAN	0.64
CISY_HUMAN	BCS1_HUMAN	1.6
CISY_HUMAN	HEM1_HUMAN	1.6
CISY_HUMAN	IF6_HUMAN	0.8
CISY_HUMAN	SDHA_HUMAN	3.04
CISY_HUMAN	DBLOH_HUMAN	0.8
CISY_HUMAN	TYK2_HUMAN	0.8
CISY_HUMAN	OSMR_HUMAN	0.64
CISY_HUMAN	NOA1_HUMAN	1.6
CISY_HUMAN	NDUS2_HUMAN	2.24
CISY_HUMAN	TIM16_HUMAN	0.8
CISY_HUMAN	NDUS6_HUMAN	1.6
CISY_HUMAN	M3K7_HUMAN	1.6
CISY_HUMAN	IDH3B_HUMAN	0.8
CISY_HUMAN	AFG32_HUMAN	1.6
CISY_HUMAN	RM44_HUMAN	1.6
CISY_HUMAN	NDUAC_HUMAN	2.24
