UniProtID	UniProtID	score
CLAP1_HUMAN	ESR1_HUMAN	2.4000000000000004
CLAP1_HUMAN	SYUA_HUMAN	0.8
CLAP1_HUMAN	KIF1B_HUMAN	3
CLAP1_HUMAN	ARH38_HUMAN	1.6
CLAP1_HUMAN	WEE1_HUMAN	0.8
CLAP1_HUMAN	TRI25_HUMAN	0.8
CLAP1_HUMAN	DCTN1_HUMAN	4.640000000000001
CLAP1_HUMAN	RBM14_HUMAN	0.64
CLAP1_HUMAN	TERA_HUMAN	0.8
CLAP1_HUMAN	RAF1_HUMAN	0.8
CLAP1_HUMAN	CKAP5_HUMAN	1.44
CLAP1_HUMAN	RIMS1_HUMAN	0.8
CLAP1_HUMAN	MYPT1_HUMAN	0.64
CLAP1_HUMAN	RIT1_HUMAN	0.8
CLAP1_HUMAN	MAP4_HUMAN	0.8
CLAP1_HUMAN	TNIK_HUMAN	1.28
CLAP1_HUMAN	1433S_HUMAN	3.2
CLAP1_HUMAN	1433E_HUMAN	7.999999999999999
CLAP1_HUMAN	HSP7C_HUMAN	0.8
CLAP1_HUMAN	DYL1_HUMAN	0.64
CLAP1_HUMAN	1433Z_HUMAN	4.0
CLAP1_HUMAN	ZN207_HUMAN	0.64
CLAP1_HUMAN	PTBP3_HUMAN	0.8
CLAP1_HUMAN	1433F_HUMAN	7.999999999999999
CLAP1_HUMAN	1433T_HUMAN	7.199999999999999
CLAP1_HUMAN	1433B_HUMAN	7.999999999999999
CLAP1_HUMAN	HD_HUMAN	1.6
CLAP1_HUMAN	DAB1_HUMAN	1
CLAP1_HUMAN	MARE1_HUMAN	5.28
CLAP1_HUMAN	LIS1_HUMAN	1.44
CLAP1_HUMAN	1433G_HUMAN	10.4
CLAP1_HUMAN	GAN_HUMAN	0.8
CLAP1_HUMAN	DCTN3_HUMAN	0.8
CLAP1_HUMAN	ELAV1_HUMAN	0.8
CLAP1_HUMAN	DLRB1_HUMAN	0.8
CLAP1_HUMAN	GSK3B_HUMAN	0.8
CLAP1_HUMAN	TBA1B_HUMAN	0.8
CLAP1_HUMAN	DYR1A_HUMAN	0.8
CLAP1_HUMAN	DISC1_HUMAN	0.8
CLAP1_HUMAN	MACF1_HUMAN	2.4000000000000004
CLAP1_HUMAN	RRBP1_HUMAN	1.28
CLAP1_HUMAN	VINC_HUMAN	0.8
CLAP1_HUMAN	VIGLN_HUMAN	0.8
CLAP1_HUMAN	DYLT1_HUMAN	0.8
CLAP1_HUMAN	TBA1A_HUMAN	5.6
CLAP1_HUMAN	GCC2_HUMAN	1.6
CLAP1_HUMAN	FMR1_HUMAN	1.44
CLAP1_HUMAN	DYHC1_HUMAN	0.8
CLAP1_HUMAN	CLIP2_HUMAN	11.0
CLAP1_HUMAN	CLIP1_HUMAN	7.199999999999999
CLAP1_HUMAN	MTR1B_HUMAN	1.6
CLAP1_HUMAN	MTR1A_HUMAN	3.5200000000000005
CLAP1_HUMAN	SPAG5_HUMAN	3.64
CLAP1_HUMAN	PHLB2_HUMAN	1
CLAP1_HUMAN	RL35_HUMAN	1.28
CLAP1_HUMAN	MARK2_HUMAN	1.6
CLAP1_HUMAN	RNF41_HUMAN	1.6
CLAP1_HUMAN	CEP55_HUMAN	1.28
CLAP1_HUMAN	MTCL2_HUMAN	0.64
