UniProtID	UniProtID	score
CLCB_HUMAN	SYNJ1_HUMAN	0.8
CLCB_HUMAN	ITSN2_HUMAN	0.8
CLCB_HUMAN	ERBIN_HUMAN	0.64
CLCB_HUMAN	ITSN1_HUMAN	0.8
CLCB_HUMAN	SPTN1_HUMAN	0.8
CLCB_HUMAN	SH319_HUMAN	0.8
CLCB_HUMAN	WNK1_HUMAN	1.6
CLCB_HUMAN	EPS15_HUMAN	3.2
CLCB_HUMAN	PICAL_HUMAN	3.2
CLCB_HUMAN	STON2_HUMAN	1.6
CLCB_HUMAN	EPN1_HUMAN	0.8
CLCB_HUMAN	AP2B1_HUMAN	2.4000000000000004
CLCB_HUMAN	AGFG1_HUMAN	0.8
CLCB_HUMAN	EPN4_HUMAN	3.2
CLCB_HUMAN	OBSCN_HUMAN	1.6
CLCB_HUMAN	AFTIN_HUMAN	1.6
CLCB_HUMAN	CLH1_HUMAN	5.4399999999999995
CLCB_HUMAN	ARRB2_HUMAN	2.4000000000000004
CLCB_HUMAN	P53_HUMAN	0.8
CLCB_HUMAN	UBP7_HUMAN	0.8
CLCB_HUMAN	AP2M1_HUMAN	1.6
CLCB_HUMAN	NUMB_HUMAN	1.6
CLCB_HUMAN	DP13A_HUMAN	1.6
CLCB_HUMAN	GGA1_HUMAN	0.8
CLCB_HUMAN	GGA3_HUMAN	0.8
CLCB_HUMAN	AMPH_HUMAN	0.64
CLCB_HUMAN	RAF1_HUMAN	1.6
CLCB_HUMAN	SHAN3_HUMAN	0.8
CLCB_HUMAN	RIMS1_HUMAN	0.8
CLCB_HUMAN	CD2AP_HUMAN	0.64
CLCB_HUMAN	FLNA_HUMAN	0.8
CLCB_HUMAN	FLNB_HUMAN	0.64
CLCB_HUMAN	HDAC6_HUMAN	0.8
CLCB_HUMAN	DAB2_HUMAN	2.4000000000000004
CLCB_HUMAN	HSP7C_HUMAN	1.6
CLCB_HUMAN	P3C2A_HUMAN	3.2
CLCB_HUMAN	C2D1A_HUMAN	0.8
CLCB_HUMAN	SCYL2_HUMAN	0.8
CLCB_HUMAN	TNR6B_HUMAN	0.8
CLCB_HUMAN	PTN23_HUMAN	3.2
CLCB_HUMAN	MPRI_HUMAN	1.6
CLCB_HUMAN	CALM3_HUMAN	1.28
CLCB_HUMAN	MARE1_HUMAN	0.8
CLCB_HUMAN	ATX1_HUMAN	0.64
CLCB_HUMAN	GCR_HUMAN	0.8
CLCB_HUMAN	LSM2_HUMAN	0.8
CLCB_HUMAN	CSK22_HUMAN	0.64
CLCB_HUMAN	LSM1_HUMAN	0.8
CLCB_HUMAN	AP1G1_HUMAN	0.8
CLCB_HUMAN	HAP1_HUMAN	2.08
CLCB_HUMAN	HIP1_HUMAN	4.8
CLCB_HUMAN	DYR1A_HUMAN	1.6
CLCB_HUMAN	ADA1A_HUMAN	2
CLCB_HUMAN	AP1M1_HUMAN	0.8
CLCB_HUMAN	VPS41_HUMAN	0.8
CLCB_HUMAN	SPTB2_HUMAN	0.8
CLCB_HUMAN	MYH10_HUMAN	0.64
CLCB_HUMAN	MYO6_HUMAN	1.8
CLCB_HUMAN	PDLI7_HUMAN	0.8
CLCB_HUMAN	ACTB_HUMAN	0.64
CLCB_HUMAN	VIGLN_HUMAN	0.8
CLCB_HUMAN	AP2A2_HUMAN	2.4000000000000004
CLCB_HUMAN	PP1B_HUMAN	1.44
CLCB_HUMAN	AP2A1_HUMAN	2.4000000000000004
CLCB_HUMAN	LSM7_HUMAN	0.8
CLCB_HUMAN	MY18A_HUMAN	0.8
CLCB_HUMAN	IQGA1_HUMAN	0.8
CLCB_HUMAN	HIP1R_HUMAN	5.84
CLCB_HUMAN	MYCN_HUMAN	0.8
CLCB_HUMAN	TPM1_HUMAN	0.64
CLCB_HUMAN	AP3B1_HUMAN	0.8
CLCB_HUMAN	CALM2_HUMAN	0.64
CLCB_HUMAN	USO1_HUMAN	0.64
CLCB_HUMAN	HS71B_HUMAN	0.8
CLCB_HUMAN	HS71A_HUMAN	0.8
CLCB_HUMAN	PRIO_HUMAN	1.6
CLCB_HUMAN	OCRL_HUMAN	3.2
CLCB_HUMAN	SMC3_HUMAN	0.8
CLCB_HUMAN	DPYL2_HUMAN	0.64
CLCB_HUMAN	GAK_HUMAN	4.0
CLCB_HUMAN	ROCK2_HUMAN	1.6
CLCB_HUMAN	ESR2_HUMAN	0.8
CLCB_HUMAN	ROA2_HUMAN	0.8
CLCB_HUMAN	CALM1_HUMAN	0.64
CLCB_HUMAN	AP3D1_HUMAN	0.8
CLCB_HUMAN	FINC_HUMAN	1.6
CLCB_HUMAN	CAZA2_HUMAN	0.8
CLCB_HUMAN	CHM4B_HUMAN	0.8
CLCB_HUMAN	CHM1A_HUMAN	0.8
CLCB_HUMAN	UBC12_HUMAN	0.8
CLCB_HUMAN	TXNL1_HUMAN	0.8
CLCB_HUMAN	BICD2_HUMAN	0.8
CLCB_HUMAN	TGO1_HUMAN	0.8
CLCB_HUMAN	TNIP1_HUMAN	0.8
CLCB_HUMAN	NUMBL_HUMAN	0.8
CLCB_HUMAN	KS6A5_HUMAN	1.6
CLCB_HUMAN	MYC_HUMAN	0.8
CLCB_HUMAN	SYNPO_HUMAN	0.8
CLCB_HUMAN	COR1C_HUMAN	0.64
CLCB_HUMAN	MYO5C_HUMAN	0.8
CLCB_HUMAN	GEPH_HUMAN	0.8
CLCB_HUMAN	DREB_HUMAN	0.8
CLCB_HUMAN	STK16_HUMAN	1.6
CLCB_HUMAN	CLCA_HUMAN	4.8
CLCB_HUMAN	VP33B_HUMAN	0.8
CLCB_HUMAN	ULK1_HUMAN	1.6
