UniProtID	UniProtID	score
COPB2_HUMAN	TRI37_HUMAN	0.8
COPB2_HUMAN	STAU1_HUMAN	0.8
COPB2_HUMAN	CTRO_HUMAN	0.8
COPB2_HUMAN	ACTZ_HUMAN	0.6
COPB2_HUMAN	TMED3_HUMAN	0.6
COPB2_HUMAN	ARF3_HUMAN	0.6
COPB2_HUMAN	KLC2_HUMAN	0.6
COPB2_HUMAN	CAZA2_HUMAN	0.6
COPB2_HUMAN	CYLD_HUMAN	0.8
COPB2_HUMAN	ARF4_HUMAN	0.6
COPB2_HUMAN	SAC1_HUMAN	1.92
COPB2_HUMAN	DC1L1_HUMAN	0.6
COPB2_HUMAN	COPB2_HUMAN	3.2
COPB2_HUMAN	DDRGK_HUMAN	0.8
COPB2_HUMAN	KIFA3_HUMAN	0.6
COPB2_HUMAN	COPA_HUMAN	10.200000000000001
COPB2_HUMAN	NCALD_HUMAN	0.6
COPB2_HUMAN	COG3_HUMAN	0.6
COPB2_HUMAN	KIF2C_HUMAN	0.6
COPB2_HUMAN	UBC12_HUMAN	0.8
COPB2_HUMAN	ANK2_HUMAN	0.6
COPB2_HUMAN	KI20B_HUMAN	0.6
COPB2_HUMAN	DC1I1_HUMAN	0.6
COPB2_HUMAN	UBP14_HUMAN	0.8
COPB2_HUMAN	SPTB2_HUMAN	0.6
COPB2_HUMAN	GSK3B_HUMAN	0.8
COPB2_HUMAN	SC24C_HUMAN	0.6
COPB2_HUMAN	GSTK1_HUMAN	0.8
COPB2_HUMAN	ARF5_HUMAN	0.6
COPB2_HUMAN	KPCE_HUMAN	2.64
COPB2_HUMAN	XPO1_HUMAN	1.44
COPB2_HUMAN	CAZA1_HUMAN	0.6
COPB2_HUMAN	GIPC1_HUMAN	0.8
COPB2_HUMAN	SSRA_HUMAN	0.8
COPB2_HUMAN	UBC_HUMAN	0.64
COPB2_HUMAN	SAR1A_HUMAN	0.6
COPB2_HUMAN	RL27_HUMAN	0.64
COPB2_HUMAN	SC23A_HUMAN	1.24
COPB2_HUMAN	SPTN4_HUMAN	0.6
COPB2_HUMAN	ARFG2_HUMAN	0.6
COPB2_HUMAN	CD59_HUMAN	0.6
COPB2_HUMAN	SNAG_HUMAN	0.6
COPB2_HUMAN	RAB1A_HUMAN	0.6
COPB2_HUMAN	NSF_HUMAN	0.6
COPB2_HUMAN	CUL3_HUMAN	0.8
COPB2_HUMAN	ANK1_HUMAN	0.6
COPB2_HUMAN	DCTN3_HUMAN	0.6
COPB2_HUMAN	GOSR1_HUMAN	0.6
COPB2_HUMAN	1433B_HUMAN	0.64
COPB2_HUMAN	STX4_HUMAN	0.8
COPB2_HUMAN	RAB1B_HUMAN	0.6
COPB2_HUMAN	PARK7_HUMAN	0.64
COPB2_HUMAN	COPD_HUMAN	3.6400000000000006
COPB2_HUMAN	DC1L2_HUMAN	0.6
COPB2_HUMAN	TNIK_HUMAN	0.8
COPB2_HUMAN	USO1_HUMAN	0.6
COPB2_HUMAN	ARF1_HUMAN	0.6
COPB2_HUMAN	SPTN1_HUMAN	0.6
COPB2_HUMAN	KIF2B_HUMAN	0.6
COPB2_HUMAN	SC31A_HUMAN	0.6
COPB2_HUMAN	1433F_HUMAN	0.64
COPB2_HUMAN	DCTN4_HUMAN	0.6
COPB2_HUMAN	AP1S1_HUMAN	0.6
COPB2_HUMAN	RL28_HUMAN	0.64
COPB2_HUMAN	SPTN2_HUMAN	0.6
COPB2_HUMAN	DYL1_HUMAN	0.6
COPB2_HUMAN	KIF2A_HUMAN	0.6
COPB2_HUMAN	DYL2_HUMAN	0.6
COPB2_HUMAN	AP2A1_HUMAN	0.6
COPB2_HUMAN	KLC1_HUMAN	0.6
COPB2_HUMAN	MYO6_HUMAN	0.8
COPB2_HUMAN	AP2A2_HUMAN	0.6
COPB2_HUMAN	KIF1A_HUMAN	0.6
COPB2_HUMAN	ARFG3_HUMAN	0.6
COPB2_HUMAN	NDRG1_HUMAN	2.24
COPB2_HUMAN	AP2S1_HUMAN	0.6
COPB2_HUMAN	PDIA6_HUMAN	0.64
COPB2_HUMAN	SNAA_HUMAN	0.6
COPB2_HUMAN	CALX_HUMAN	3.2
COPB2_HUMAN	GOGB1_HUMAN	0.6
COPB2_HUMAN	AP2M1_HUMAN	0.6
COPB2_HUMAN	KI21A_HUMAN	0.6
COPB2_HUMAN	SC22B_HUMAN	1.24
COPB2_HUMAN	DYHC1_HUMAN	0.6
COPB2_HUMAN	DCTN2_HUMAN	0.6
COPB2_HUMAN	KIF5A_HUMAN	0.6
COPB2_HUMAN	SEC13_HUMAN	0.6
COPB2_HUMAN	DC1I2_HUMAN	0.6
COPB2_HUMAN	KINH_HUMAN	0.6
COPB2_HUMAN	RL23_HUMAN	0.64
COPB2_HUMAN	CKAP4_HUMAN	0.8
COPB2_HUMAN	ANK3_HUMAN	0.6
TRI37_HUMAN	TRI37_HUMAN	9.2
TRI37_HUMAN	STAU1_HUMAN	0.8
TRI37_HUMAN	ARF4_HUMAN	0.8
TRI37_HUMAN	COPA_HUMAN	0.8
TRI37_HUMAN	UBC12_HUMAN	0.6
TRI37_HUMAN	SPTB2_HUMAN	0.8
TRI37_HUMAN	XPO1_HUMAN	2.24
TRI37_HUMAN	CAZA1_HUMAN	0.8
TRI37_HUMAN	GIPC1_HUMAN	0.8
TRI37_HUMAN	UBC_HUMAN	2.4
TRI37_HUMAN	SAR1A_HUMAN	0.8
TRI37_HUMAN	RL27_HUMAN	0.8
TRI37_HUMAN	CD59_HUMAN	0.8
TRI37_HUMAN	RAB1A_HUMAN	0.8
TRI37_HUMAN	CUL3_HUMAN	0.6
TRI37_HUMAN	USO1_HUMAN	0.8
TRI37_HUMAN	SPTN1_HUMAN	0.8
TRI37_HUMAN	RL28_HUMAN	1.6
TRI37_HUMAN	MYO6_HUMAN	0.8
TRI37_HUMAN	CALX_HUMAN	0.8
TRI37_HUMAN	RL23_HUMAN	0.8
TRI37_HUMAN	CKAP4_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	CYLD_HUMAN	0.8
STAU1_HUMAN	ARF4_HUMAN	0.8
STAU1_HUMAN	SAC1_HUMAN	0.8
STAU1_HUMAN	DC1L1_HUMAN	0.8
STAU1_HUMAN	DDRGK_HUMAN	0.8
STAU1_HUMAN	COPA_HUMAN	2.24
STAU1_HUMAN	DC1I1_HUMAN	3.0400000000000005
STAU1_HUMAN	ARF5_HUMAN	0.8
STAU1_HUMAN	XPO1_HUMAN	3.2
STAU1_HUMAN	RL27_HUMAN	0.8
STAU1_HUMAN	SC23A_HUMAN	0.8
STAU1_HUMAN	NSF_HUMAN	2.24
STAU1_HUMAN	CUL3_HUMAN	1.6
STAU1_HUMAN	COPD_HUMAN	0.8
STAU1_HUMAN	SPTN1_HUMAN	1.6
STAU1_HUMAN	KIF2B_HUMAN	0.8
STAU1_HUMAN	RL28_HUMAN	1.44
STAU1_HUMAN	KIF2A_HUMAN	0.8
STAU1_HUMAN	MYO6_HUMAN	0.8
STAU1_HUMAN	AP2A2_HUMAN	0.8
STAU1_HUMAN	KIF1A_HUMAN	0.8
STAU1_HUMAN	CALX_HUMAN	2.4000000000000004
STAU1_HUMAN	AP2M1_HUMAN	0.8
STAU1_HUMAN	KIF5A_HUMAN	0.8
STAU1_HUMAN	KINH_HUMAN	2.24
STAU1_HUMAN	CKAP4_HUMAN	0.8
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	ARF3_HUMAN	0.8
CTRO_HUMAN	CAZA2_HUMAN	0.8
CTRO_HUMAN	CYLD_HUMAN	0.8
CTRO_HUMAN	COPA_HUMAN	0.8
CTRO_HUMAN	KIF2C_HUMAN	0.8
CTRO_HUMAN	SPTB2_HUMAN	0.8
CTRO_HUMAN	SC24C_HUMAN	0.8
CTRO_HUMAN	XPO1_HUMAN	0.8
CTRO_HUMAN	CAZA1_HUMAN	0.8
CTRO_HUMAN	RL27_HUMAN	0.8
CTRO_HUMAN	SPTN4_HUMAN	0.8
CTRO_HUMAN	RAB1A_HUMAN	0.8
CTRO_HUMAN	NSF_HUMAN	0.8
CTRO_HUMAN	CUL3_HUMAN	0.8
CTRO_HUMAN	1433B_HUMAN	0.64
CTRO_HUMAN	RAB1B_HUMAN	0.8
CTRO_HUMAN	TNIK_HUMAN	1.28
CTRO_HUMAN	SPTN1_HUMAN	0.8
CTRO_HUMAN	SC31A_HUMAN	0.8
CTRO_HUMAN	RL28_HUMAN	0.8
CTRO_HUMAN	SPTN2_HUMAN	0.8
CTRO_HUMAN	DYL1_HUMAN	0.8
CTRO_HUMAN	KIF2A_HUMAN	0.8
CTRO_HUMAN	AP2A1_HUMAN	0.8
CTRO_HUMAN	MYO6_HUMAN	0.8
CTRO_HUMAN	AP2A2_HUMAN	0.8
CTRO_HUMAN	PDIA6_HUMAN	0.8
CTRO_HUMAN	CALX_HUMAN	0.8
CTRO_HUMAN	AP2M1_HUMAN	0.8
CTRO_HUMAN	SC22B_HUMAN	1.6
CTRO_HUMAN	DYHC1_HUMAN	0.8
CTRO_HUMAN	RL23_HUMAN	0.8
CTRO_HUMAN	CKAP4_HUMAN	0.8
ACTZ_HUMAN	ACTZ_HUMAN	2.56
ACTZ_HUMAN	TMED3_HUMAN	0.6
ACTZ_HUMAN	ARF3_HUMAN	0.6
ACTZ_HUMAN	KLC2_HUMAN	0.6
ACTZ_HUMAN	CAZA2_HUMAN	5.239999999999999
ACTZ_HUMAN	CYLD_HUMAN	0.8
ACTZ_HUMAN	ARF4_HUMAN	0.6
ACTZ_HUMAN	DC1L1_HUMAN	2.68
ACTZ_HUMAN	KIFA3_HUMAN	0.6
ACTZ_HUMAN	COPA_HUMAN	0.6
ACTZ_HUMAN	COG3_HUMAN	1.4
ACTZ_HUMAN	KIF2C_HUMAN	0.6
ACTZ_HUMAN	UBC12_HUMAN	0.8
ACTZ_HUMAN	ANK2_HUMAN	0.6
ACTZ_HUMAN	DC1I1_HUMAN	1.4
ACTZ_HUMAN	SPTB2_HUMAN	0.6
ACTZ_HUMAN	ARF5_HUMAN	0.6
ACTZ_HUMAN	CAZA1_HUMAN	1.88
ACTZ_HUMAN	UBC_HUMAN	0.8
ACTZ_HUMAN	SPTN4_HUMAN	0.6
ACTZ_HUMAN	ARFG2_HUMAN	1.4
ACTZ_HUMAN	CD59_HUMAN	0.6
ACTZ_HUMAN	RAB1A_HUMAN	0.6
ACTZ_HUMAN	CUL3_HUMAN	1.6
ACTZ_HUMAN	ANK1_HUMAN	0.6
ACTZ_HUMAN	DCTN3_HUMAN	6.68
ACTZ_HUMAN	GOSR1_HUMAN	0.6
ACTZ_HUMAN	1433B_HUMAN	0.64
ACTZ_HUMAN	RAB1B_HUMAN	0.6
ACTZ_HUMAN	COPD_HUMAN	0.6
ACTZ_HUMAN	DC1L2_HUMAN	1.4
ACTZ_HUMAN	TNIK_HUMAN	1.28
ACTZ_HUMAN	USO1_HUMAN	0.6
ACTZ_HUMAN	ARF1_HUMAN	0.6
ACTZ_HUMAN	SPTN1_HUMAN	0.6
ACTZ_HUMAN	KIF2B_HUMAN	0.6
ACTZ_HUMAN	1433F_HUMAN	0.64
ACTZ_HUMAN	DCTN4_HUMAN	7.359999999999999
ACTZ_HUMAN	SPTN2_HUMAN	4.6
ACTZ_HUMAN	DYL1_HUMAN	0.6
ACTZ_HUMAN	KIF2A_HUMAN	0.6
ACTZ_HUMAN	DYL2_HUMAN	0.6
ACTZ_HUMAN	KLC1_HUMAN	0.6
ACTZ_HUMAN	ARFG3_HUMAN	0.6
ACTZ_HUMAN	GOGB1_HUMAN	0.6
ACTZ_HUMAN	DYHC1_HUMAN	3.0000000000000004
ACTZ_HUMAN	DCTN2_HUMAN	11.64
ACTZ_HUMAN	KIF5A_HUMAN	0.6
ACTZ_HUMAN	DC1I2_HUMAN	1.4
ACTZ_HUMAN	KINH_HUMAN	0.6
ACTZ_HUMAN	ANK3_HUMAN	0.6
TMED3_HUMAN	ARF3_HUMAN	0.6
TMED3_HUMAN	KLC2_HUMAN	0.6
TMED3_HUMAN	CAZA2_HUMAN	0.6
TMED3_HUMAN	ARF4_HUMAN	0.6
TMED3_HUMAN	DC1L1_HUMAN	0.6
TMED3_HUMAN	KIFA3_HUMAN	0.6
TMED3_HUMAN	COPA_HUMAN	0.6
TMED3_HUMAN	COG3_HUMAN	0.6
TMED3_HUMAN	KIF2C_HUMAN	0.6
TMED3_HUMAN	ANK2_HUMAN	0.6
TMED3_HUMAN	KI20B_HUMAN	0.6
TMED3_HUMAN	DC1I1_HUMAN	0.6
TMED3_HUMAN	SPTB2_HUMAN	0.6
TMED3_HUMAN	ARF5_HUMAN	0.6
TMED3_HUMAN	CAZA1_HUMAN	0.6
TMED3_HUMAN	SC23A_HUMAN	0.8
TMED3_HUMAN	SPTN4_HUMAN	0.6
TMED3_HUMAN	ARFG2_HUMAN	0.6
TMED3_HUMAN	CD59_HUMAN	0.6
TMED3_HUMAN	SNAG_HUMAN	0.6
TMED3_HUMAN	RAB1A_HUMAN	0.6
TMED3_HUMAN	NSF_HUMAN	0.6
TMED3_HUMAN	ANK1_HUMAN	0.6
TMED3_HUMAN	DCTN3_HUMAN	0.6
TMED3_HUMAN	GOSR1_HUMAN	0.6
TMED3_HUMAN	RAB1B_HUMAN	0.6
TMED3_HUMAN	COPD_HUMAN	0.6
TMED3_HUMAN	DC1L2_HUMAN	0.6
TMED3_HUMAN	USO1_HUMAN	0.6
TMED3_HUMAN	ARF1_HUMAN	0.6
TMED3_HUMAN	SPTN1_HUMAN	0.6
TMED3_HUMAN	KIF2B_HUMAN	0.6
TMED3_HUMAN	DCTN4_HUMAN	0.6
TMED3_HUMAN	SPTN2_HUMAN	0.6
TMED3_HUMAN	DYL1_HUMAN	0.6
TMED3_HUMAN	KIF2A_HUMAN	0.6
TMED3_HUMAN	DYL2_HUMAN	0.6
TMED3_HUMAN	KLC1_HUMAN	0.6
TMED3_HUMAN	KIF1A_HUMAN	0.6
