UniProtID	UniProtID	score
COPD_HUMAN	STAU1_HUMAN	0.8
COPD_HUMAN	ACTZ_HUMAN	0.6
COPD_HUMAN	TMED3_HUMAN	0.6
COPD_HUMAN	PRDX6_HUMAN	0.8
COPD_HUMAN	ARF3_HUMAN	0.6
COPD_HUMAN	KLC2_HUMAN	0.6
COPD_HUMAN	CAZA2_HUMAN	0.6
COPD_HUMAN	CYLD_HUMAN	0.8
COPD_HUMAN	ARF4_HUMAN	0.6
COPD_HUMAN	SAC1_HUMAN	2.2800000000000002
COPD_HUMAN	DC1L1_HUMAN	0.6
COPD_HUMAN	COPB2_HUMAN	3.6400000000000006
COPD_HUMAN	DDRGK_HUMAN	0.8
COPD_HUMAN	KIFA3_HUMAN	0.6
COPD_HUMAN	COPA_HUMAN	6.999999999999999
COPD_HUMAN	COG3_HUMAN	0.6
COPD_HUMAN	TPIS_HUMAN	0.8
COPD_HUMAN	KIF2C_HUMAN	0.6
COPD_HUMAN	UBC12_HUMAN	0.8
COPD_HUMAN	ANK2_HUMAN	0.6
COPD_HUMAN	KI20B_HUMAN	0.6
COPD_HUMAN	DC1I1_HUMAN	0.6
COPD_HUMAN	GLOD4_HUMAN	0.8
COPD_HUMAN	UBP14_HUMAN	0.8
COPD_HUMAN	SPTB2_HUMAN	0.6
COPD_HUMAN	GSK3B_HUMAN	0.8
COPD_HUMAN	SC24C_HUMAN	0.6
COPD_HUMAN	ARF5_HUMAN	0.6
COPD_HUMAN	XPO1_HUMAN	1.44
COPD_HUMAN	CAZA1_HUMAN	0.6
COPD_HUMAN	UBC_HUMAN	0.8
COPD_HUMAN	CXA1_HUMAN	0.8
COPD_HUMAN	KPCB_HUMAN	1.6
COPD_HUMAN	PTEN_HUMAN	0.64
COPD_HUMAN	SC23A_HUMAN	0.6
COPD_HUMAN	HD_HUMAN	2.4000000000000004
COPD_HUMAN	SPTN4_HUMAN	0.6
COPD_HUMAN	TBG1_HUMAN	1.28
COPD_HUMAN	VIME_HUMAN	0.8
COPD_HUMAN	ARFG2_HUMAN	0.6
COPD_HUMAN	DLDH_HUMAN	2.4000000000000004
COPD_HUMAN	DRD3_HUMAN	1.0
COPD_HUMAN	CD59_HUMAN	0.6
COPD_HUMAN	SNAG_HUMAN	0.6
COPD_HUMAN	RAB1A_HUMAN	0.6
COPD_HUMAN	NSF_HUMAN	0.6
COPD_HUMAN	IDHP_HUMAN	0.8
COPD_HUMAN	ANK1_HUMAN	0.6
COPD_HUMAN	DCTN3_HUMAN	0.6
COPD_HUMAN	GOSR1_HUMAN	0.6
COPD_HUMAN	RAB1B_HUMAN	0.6
COPD_HUMAN	PARK7_HUMAN	0.8
COPD_HUMAN	COPD_HUMAN	1.6
