UniProtID	UniProtID	score
COX7R_HUMAN	SYUA_HUMAN	1.28
COX7R_HUMAN	TRI25_HUMAN	0.8
COX7R_HUMAN	TOM40_HUMAN	0.8
COX7R_HUMAN	ENPL_HUMAN	0.8
COX7R_HUMAN	ELAV1_HUMAN	0.8
COX7R_HUMAN	PHB2_HUMAN	0.8
COX7R_HUMAN	CALX_HUMAN	0.8
COX7R_HUMAN	ACTB_HUMAN	0.8
COX7R_HUMAN	ATPB_HUMAN	0.8
COX7R_HUMAN	ECHB_HUMAN	0.8
COX7R_HUMAN	HSPB2_HUMAN	1.28
COX7R_HUMAN	QCR1_HUMAN	0.8
COX7R_HUMAN	CX6A1_HUMAN	0.8
COX7R_HUMAN	RFA1_HUMAN	0.8
COX7R_HUMAN	RFA2_HUMAN	0.8
COX7R_HUMAN	RFA3_HUMAN	0.8
COX7R_HUMAN	QCR2_HUMAN	1.6
COX7R_HUMAN	COX5B_HUMAN	0.8
COX7R_HUMAN	ECHA_HUMAN	0.8
COX7R_HUMAN	COX2_HUMAN	0.8
COX7R_HUMAN	COX6C_HUMAN	0.8
COX7R_HUMAN	COR1C_HUMAN	0.8
COX7R_HUMAN	ODPB_HUMAN	0.8
COX7R_HUMAN	VDAC1_HUMAN	0.8
COX7R_HUMAN	NDUS2_HUMAN	0.8
COX7R_HUMAN	NIPS1_HUMAN	0.8
COX7R_HUMAN	U2AF2_HUMAN	0.8
COX7R_HUMAN	NDUS1_HUMAN	0.8
COX7R_HUMAN	VDAC2_HUMAN	0.8
COX7R_HUMAN	HSC20_HUMAN	1.6
COX7R_HUMAN	RAB7A_HUMAN	0.8
COX7R_HUMAN	NIPS2_HUMAN	0.8
COX7R_HUMAN	ZRAN1_HUMAN	0.8
COX7R_HUMAN	COX41_HUMAN	2.4000000000000004
COX7R_HUMAN	COX5A_HUMAN	2.4000000000000004
COX7R_HUMAN	NDUV1_HUMAN	0.8
COX7R_HUMAN	S25A3_HUMAN	0.8
COX7R_HUMAN	PHB1_HUMAN	0.8
COX7R_HUMAN	NDUA9_HUMAN	0.8
COX7R_HUMAN	NDUA4_HUMAN	3.2
COX7R_HUMAN	ATPG_HUMAN	0.8
COX7R_HUMAN	NDUS3_HUMAN	0.8
COX7R_HUMAN	VDAC3_HUMAN	0.8
COX7R_HUMAN	ODPA_HUMAN	0.8
COX7R_HUMAN	CY1_HUMAN	0.8
COX7R_HUMAN	UCRI_HUMAN	0.8
COX7R_HUMAN	QCR6_HUMAN	2.4000000000000004
COX7R_HUMAN	NDUS4_HUMAN	1.6
COX7R_HUMAN	NDUS8_HUMAN	0.8
COX7R_HUMAN	NDUS7_HUMAN	0.8
COX7R_HUMAN	NDUS5_HUMAN	2.4000000000000004
COX7R_HUMAN	TIDC1_HUMAN	1.6
COX7R_HUMAN	QCR8_HUMAN	3.2
COX7R_HUMAN	QCR7_HUMAN	3.2
COX7R_HUMAN	NMES1_HUMAN	3.2
COX7R_HUMAN	CX6B1_HUMAN	1.6
COX7R_HUMAN	ITM2B_HUMAN	0.8
COX7R_HUMAN	MAGAB_HUMAN	1.6
COX7R_HUMAN	IMP1L_HUMAN	1.6
COX7R_HUMAN	QCR9_HUMAN	0.8
COX7R_HUMAN	CBPQ_HUMAN	0.8
COX7R_HUMAN	GPR34_HUMAN	0.8
COX7R_HUMAN	NAT8B_HUMAN	0.8
COX7R_HUMAN	COX7C_HUMAN	1.6
COX7R_HUMAN	ADCY9_HUMAN	0.8
COX7R_HUMAN	PGES2_HUMAN	0.8
COX7R_HUMAN	COX42_HUMAN	0.8
COX7R_HUMAN	FFAR1_HUMAN	0.8
COX7R_HUMAN	CX7B2_HUMAN	0.8
COX7R_HUMAN	FOXA1_HUMAN	0.8
COX7R_HUMAN	ACOT9_HUMAN	0.8
COX7R_HUMAN	NB5R3_HUMAN	0.8
COX7R_HUMAN	NDUA3_HUMAN	0.8
COX7R_HUMAN	GBG5_HUMAN	0.8
COX7R_HUMAN	MGST1_HUMAN	0.8
COX7R_HUMAN	SCPDL_HUMAN	0.8
COX7R_HUMAN	ATPMK_HUMAN	0.8
COX7R_HUMAN	AN34C_HUMAN	0.8
COX7R_HUMAN	RCAF1_HUMAN	0.8
COX7R_HUMAN	CX7A2_HUMAN	0.8
COX7R_HUMAN	COX8A_HUMAN	0.8
COX7R_HUMAN	MGST3_HUMAN	0.8
COX7R_HUMAN	MTCH2_HUMAN	0.8
COX7R_HUMAN	ML12A_HUMAN	0.8
COX7R_HUMAN	TOM22_HUMAN	0.8
COX7R_HUMAN	TOM5_HUMAN	0.8
COX7R_HUMAN	ZN782_HUMAN	0.8
COX7R_HUMAN	RMND1_HUMAN	0.8
