UniProtID	UniProtID	score
COXM1_HUMAN	MAVS_HUMAN	0.64
COXM1_HUMAN	HD_HUMAN	0.64
COXM1_HUMAN	HNRPL_HUMAN	0.8
COXM1_HUMAN	EP300_HUMAN	0.8
COXM1_HUMAN	ZRAN1_HUMAN	0.8
COXM1_HUMAN	ADT2_HUMAN	0.8
COXM1_HUMAN	COX41_HUMAN	0.64
COXM1_HUMAN	COX1_HUMAN	0.8
COXM1_HUMAN	COA3_HUMAN	3.2
COXM1_HUMAN	H2B1M_HUMAN	1.6
COXM1_HUMAN	PARL_HUMAN	1.6
COXM1_HUMAN	BRD8_HUMAN	0.8
COXM1_HUMAN	INS_HUMAN	0.8
COXM1_HUMAN	CL3L1_HUMAN	0.8
COXM1_HUMAN	EP3A_HUMAN	0.8
COXM1_HUMAN	RM48_HUMAN	0.64
COXM1_HUMAN	RM40_HUMAN	0.64
COXM1_HUMAN	NDUC2_HUMAN	0.64
COXM1_HUMAN	NDUCR_HUMAN	0.64
