UniProtID	UniProtID	score
CPNE5_HUMAN	NCK1_HUMAN	2.4000000000000004
CPNE5_HUMAN	SNX9_HUMAN	2.4000000000000004
CPNE5_HUMAN	NCK2_HUMAN	1.6
CPNE5_HUMAN	EPN4_HUMAN	0.8
CPNE5_HUMAN	SNTB2_HUMAN	2.4000000000000004
CPNE5_HUMAN	NEB2_HUMAN	0.64
CPNE5_HUMAN	DTNB_HUMAN	1.6
CPNE5_HUMAN	VHL_HUMAN	0.8
CPNE5_HUMAN	UTRN_HUMAN	2.4000000000000004
CPNE5_HUMAN	UBR4_HUMAN	0.8
CPNE5_HUMAN	RNF6_HUMAN	0.8
CPNE5_HUMAN	USO1_HUMAN	1.6
CPNE5_HUMAN	RAD21_HUMAN	2.4000000000000004
CPNE5_HUMAN	SAE2_HUMAN	2.4000000000000004
CPNE5_HUMAN	BICD2_HUMAN	1.6
CPNE5_HUMAN	RABE2_HUMAN	1.6
CPNE5_HUMAN	DCUP_HUMAN	2.4000000000000004
CPNE5_HUMAN	CTRO_HUMAN	0.8
CPNE5_HUMAN	DSCAM_HUMAN	1.6
CPNE5_HUMAN	MTA1_HUMAN	1.6
CPNE5_HUMAN	SAE1_HUMAN	0.8
CPNE5_HUMAN	MTA2_HUMAN	2.4000000000000004
CPNE5_HUMAN	CHD4_HUMAN	1.6
CPNE5_HUMAN	SNAG_HUMAN	2.4000000000000004
CPNE5_HUMAN	RABX5_HUMAN	1.6
CPNE5_HUMAN	MBD3_HUMAN	0.8
CPNE5_HUMAN	F1142_HUMAN	2.4000000000000004
CPNE5_HUMAN	WDHD1_HUMAN	2.4000000000000004
CPNE5_HUMAN	ANR52_HUMAN	2.4000000000000004
CPNE5_HUMAN	GEMI5_HUMAN	2.4000000000000004
CPNE5_HUMAN	P66A_HUMAN	0.8
CPNE5_HUMAN	P66B_HUMAN	2.4000000000000004
CPNE5_HUMAN	SPDLY_HUMAN	0.8
CPNE5_HUMAN	DCC1_HUMAN	2.4000000000000004
CPNE5_HUMAN	SATB2_HUMAN	1.6
CPNE5_HUMAN	RA54B_HUMAN	0.8
CPNE5_HUMAN	NPC1_HUMAN	1.44
CPNE5_HUMAN	FSBP_HUMAN	1.6
CPNE5_HUMAN	MBNL3_HUMAN	1.6
CPNE5_HUMAN	DHRS7_HUMAN	1.6
CPNE5_HUMAN	CPNE9_HUMAN	0.8
CPNE5_HUMAN	CPNE3_HUMAN	0.8
