UniProtID	UniProtID	score
CRK_HUMAN	SRC_HUMAN	3.2
CRK_HUMAN	DLGP3_HUMAN	0.8
CRK_HUMAN	KS6B1_HUMAN	0.6
CRK_HUMAN	PP1A_HUMAN	1.6
CRK_HUMAN	CMC2_HUMAN	1.6
CRK_HUMAN	PPIA_HUMAN	5.0
CRK_HUMAN	SHAN2_HUMAN	1.6
CRK_HUMAN	RAC1_HUMAN	0.6
CRK_HUMAN	DOCK5_HUMAN	4.0
CRK_HUMAN	KPCD_HUMAN	0.6
CRK_HUMAN	ASAP1_HUMAN	6.6
CRK_HUMAN	DDX6_HUMAN	4.0
CRK_HUMAN	RS5_HUMAN	0.8
CRK_HUMAN	HS90B_HUMAN	0.8
CRK_HUMAN	ABL1_HUMAN	21.240000000000006
CRK_HUMAN	RS25_HUMAN	0.8
CRK_HUMAN	IGF1_HUMAN	0.6
CRK_HUMAN	IF4B_HUMAN	0.64
CRK_HUMAN	SAC1_HUMAN	0.64
CRK_HUMAN	EPHB2_HUMAN	1.0
CRK_HUMAN	E41L3_HUMAN	0.8
CRK_HUMAN	PTN11_HUMAN	4.319999999999999
CRK_HUMAN	K2C6A_HUMAN	0.8
CRK_HUMAN	FYN_HUMAN	0.6
CRK_HUMAN	ZO2_HUMAN	0.64
CRK_HUMAN	SH3K1_HUMAN	4.0
CRK_HUMAN	RS3_HUMAN	0.8
CRK_HUMAN	CDC42_HUMAN	0.6
CRK_HUMAN	RHG32_HUMAN	5.4
CRK_HUMAN	ERBB4_HUMAN	2.2
CRK_HUMAN	TS101_HUMAN	1.8
CRK_HUMAN	DNJA3_HUMAN	0.8
CRK_HUMAN	CAZA1_HUMAN	2.4000000000000004
CRK_HUMAN	XPO1_HUMAN	1.0
CRK_HUMAN	DOCK7_HUMAN	0.6
CRK_HUMAN	KPCE_HUMAN	0.6
CRK_HUMAN	ADA10_HUMAN	0.8
CRK_HUMAN	CRKL_HUMAN	0.6
CRK_HUMAN	COX6C_HUMAN	1.6
CRK_HUMAN	PUR9_HUMAN	0.8
CRK_HUMAN	ERBB2_HUMAN	2.4000000000000004
CRK_HUMAN	FIBG_HUMAN	0.6
CRK_HUMAN	UBC_HUMAN	0.8
CRK_HUMAN	RS19_HUMAN	0.8
CRK_HUMAN	CNTP1_HUMAN	0.8
CRK_HUMAN	EPS15_HUMAN	7.6
CRK_HUMAN	FIBB_HUMAN	0.6
CRK_HUMAN	IGF1R_HUMAN	4.3999999999999995
CRK_HUMAN	IRS1_HUMAN	2.2
CRK_HUMAN	WASF2_HUMAN	0.6
CRK_HUMAN	NCKPL_HUMAN	0.6
CRK_HUMAN	STK38_HUMAN	1.6
CRK_HUMAN	EF1A1_HUMAN	0.8
CRK_HUMAN	HD_HUMAN	2.4000000000000004
CRK_HUMAN	GABR1_HUMAN	0.8
CRK_HUMAN	MYPT1_HUMAN	1.6
CRK_HUMAN	ITB3_HUMAN	0.6
CRK_HUMAN	DAB1_HUMAN	4.24
CRK_HUMAN	COR1C_HUMAN	0.8
CRK_HUMAN	BAIP2_HUMAN	0.6
CRK_HUMAN	GRB2_HUMAN	7.239999999999999
CRK_HUMAN	TBA1A_HUMAN	0.8
CRK_HUMAN	DBNL_HUMAN	0.6
CRK_HUMAN	ACTB_HUMAN	1.44
CRK_HUMAN	RHOA_HUMAN	0.6
CRK_HUMAN	PAK1_HUMAN	0.6
CRK_HUMAN	1433T_HUMAN	2.08
CRK_HUMAN	PRIO_HUMAN	2.4000000000000004
CRK_HUMAN	1433E_HUMAN	1.28
CRK_HUMAN	RAB4A_HUMAN	0.6
CRK_HUMAN	CADH1_HUMAN	0.8
CRK_HUMAN	RAP1B_HUMAN	0.6
