UniProtID	UniProtID	score
CSKP_HUMAN	KCNJ4_HUMAN	2.24
CSKP_HUMAN	CALM1_HUMAN	0.64
CSKP_HUMAN	PCBP2_HUMAN	0.8
CSKP_HUMAN	KPCI_HUMAN	0.8
CSKP_HUMAN	CSKI1_HUMAN	8.479999999999999
CSKP_HUMAN	LIN7C_HUMAN	10.72
CSKP_HUMAN	FMR1_HUMAN	0.8
CSKP_HUMAN	RHOB_HUMAN	0.8
CSKP_HUMAN	AT2B4_HUMAN	2.8
CSKP_HUMAN	NRX3A_HUMAN	0.8
CSKP_HUMAN	LTOR1_HUMAN	0.8
CSKP_HUMAN	EPB41_HUMAN	2.64
CSKP_HUMAN	NF1_HUMAN	1.6
CSKP_HUMAN	STXB1_HUMAN	0.64
CSKP_HUMAN	PI42B_HUMAN	0.64
CSKP_HUMAN	KCNJ2_HUMAN	1.44
CSKP_HUMAN	RASK_HUMAN	1.6
CSKP_HUMAN	ADA10_HUMAN	0.8
CSKP_HUMAN	RGS14_HUMAN	0.64
CSKP_HUMAN	UBC_HUMAN	0.64
CSKP_HUMAN	GRASP_HUMAN	0.8
CSKP_HUMAN	HGS_HUMAN	0.8
CSKP_HUMAN	CXA1_HUMAN	0.8
CSKP_HUMAN	RAB35_HUMAN	0.8
CSKP_HUMAN	LIN7A_HUMAN	9.04
CSKP_HUMAN	ACTG_HUMAN	0.64
CSKP_HUMAN	DLG4_HUMAN	2.0
CSKP_HUMAN	PSA_HUMAN	0.8
CSKP_HUMAN	EPS8_HUMAN	3.0
CSKP_HUMAN	TBA1A_HUMAN	0.8
CSKP_HUMAN	ACTB_HUMAN	0.64
CSKP_HUMAN	DTNB_HUMAN	0.8
CSKP_HUMAN	1433E_HUMAN	0.8
CSKP_HUMAN	MARE2_HUMAN	0.8
CSKP_HUMAN	PP1G_HUMAN	0.8
CSKP_HUMAN	CLH1_HUMAN	1.28
CSKP_HUMAN	MARK2_HUMAN	0.8
CSKP_HUMAN	1433B_HUMAN	0.64
CSKP_HUMAN	CALM3_HUMAN	0.64
CSKP_HUMAN	LIPA3_HUMAN	1.92
CSKP_HUMAN	SC6A4_HUMAN	0.64
CSKP_HUMAN	NRX2A_HUMAN	1.44
CSKP_HUMAN	MTMR2_HUMAN	0.8
CSKP_HUMAN	TNIK_HUMAN	1.28
CSKP_HUMAN	BC11A_HUMAN	2.4000000000000004
CSKP_HUMAN	LYN_HUMAN	0.8
CSKP_HUMAN	DLG1_HUMAN	16.040000000000003
CSKP_HUMAN	ARF6_HUMAN	0.8
CSKP_HUMAN	PTPRT_HUMAN	0.64
CSKP_HUMAN	ABLM1_HUMAN	0.8
CSKP_HUMAN	SRPK2_HUMAN	1.6
CSKP_HUMAN	LIN7B_HUMAN	7.3599999999999985
CSKP_HUMAN	EZRI_HUMAN	1.6
CSKP_HUMAN	DUS3_HUMAN	1.6
CSKP_HUMAN	NRX1A_HUMAN	8.2
CSKP_HUMAN	ERBIN_HUMAN	0.8
CSKP_HUMAN	CN37_HUMAN	0.64
CSKP_HUMAN	FLOT1_HUMAN	0.8
CSKP_HUMAN	SYNPO_HUMAN	0.8
CSKP_HUMAN	DUS10_HUMAN	1.6
CSKP_HUMAN	KIF2A_HUMAN	0.8
CSKP_HUMAN	DLGP1_HUMAN	1.28
CSKP_HUMAN	ELAV1_HUMAN	0.8
CSKP_HUMAN	SYN1_HUMAN	0.64
CSKP_HUMAN	RAB3A_HUMAN	0.64
CSKP_HUMAN	LIPA2_HUMAN	3.56
CSKP_HUMAN	MARE1_HUMAN	0.8
CSKP_HUMAN	ARHG7_HUMAN	1.6400000000000001
CSKP_HUMAN	SNTB2_HUMAN	2.4000000000000004
CSKP_HUMAN	RP3A_HUMAN	5.64
CSKP_HUMAN	GRIA1_HUMAN	1.6
CSKP_HUMAN	AKAP9_HUMAN	0.8
CSKP_HUMAN	CADM1_HUMAN	0.64
CSKP_HUMAN	CSKP_HUMAN	56.8
CSKP_HUMAN	TIAM1_HUMAN	1.0
CSKP_HUMAN	PRKN_HUMAN	7.2
CSKP_HUMAN	CALM2_HUMAN	0.64
CSKP_HUMAN	NDEL1_HUMAN	0.8
CSKP_HUMAN	E41L2_HUMAN	0.64
CSKP_HUMAN	DYST_HUMAN	0.64
CSKP_HUMAN	TBB3_HUMAN	0.8
CSKP_HUMAN	CNTP2_HUMAN	3.4400000000000004
CSKP_HUMAN	EF2_HUMAN	0.8
KCNJ4_HUMAN	LIN7C_HUMAN	2.24
KCNJ4_HUMAN	KCNJ2_HUMAN	0.6
KCNJ4_HUMAN	LIN7A_HUMAN	0.8
KCNJ4_HUMAN	DLG4_HUMAN	5.72
KCNJ4_HUMAN	DLG1_HUMAN	4.04
KCNJ4_HUMAN	LIN7B_HUMAN	5.0
KCNJ4_HUMAN	DLGP1_HUMAN	0.64
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	LIN7C_HUMAN	0.64
CALM1_HUMAN	AT2B4_HUMAN	1.6
CALM1_HUMAN	NF1_HUMAN	0.64
CALM1_HUMAN	STXB1_HUMAN	0.64
CALM1_HUMAN	RASK_HUMAN	5.3999999999999995
CALM1_HUMAN	RGS14_HUMAN	0.8
CALM1_HUMAN	UBC_HUMAN	1.44
CALM1_HUMAN	CXA1_HUMAN	0.64
CALM1_HUMAN	DLG4_HUMAN	0.64
CALM1_HUMAN	TBA1A_HUMAN	0.64
CALM1_HUMAN	1433E_HUMAN	2.64
CALM1_HUMAN	PP1G_HUMAN	1.24
CALM1_HUMAN	1433B_HUMAN	0.8
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CALM1_HUMAN	LIPA3_HUMAN	0.64
CALM1_HUMAN	SC6A4_HUMAN	0.8
CALM1_HUMAN	LIN7B_HUMAN	0.64
CALM1_HUMAN	CN37_HUMAN	1.28
CALM1_HUMAN	ELAV1_HUMAN	1.6
CALM1_HUMAN	SYN1_HUMAN	1.28
CALM1_HUMAN	RAB3A_HUMAN	0.64
CALM1_HUMAN	MARE1_HUMAN	0.8
CALM1_HUMAN	ARHG7_HUMAN	3.0
CALM1_HUMAN	RP3A_HUMAN	1.28
CALM1_HUMAN	AKAP9_HUMAN	4.0
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	E41L2_HUMAN	0.64
CALM1_HUMAN	DYST_HUMAN	0.8
PCBP2_HUMAN	PCBP2_HUMAN	26.4
PCBP2_HUMAN	UBC_HUMAN	1.6
PCBP2_HUMAN	DLG4_HUMAN	1.28
PCBP2_HUMAN	ACTB_HUMAN	0.64
PCBP2_HUMAN	EZRI_HUMAN	1.6
PCBP2_HUMAN	ELAV1_HUMAN	2.2
PCBP2_HUMAN	PRKN_HUMAN	0.8
KPCI_HUMAN	KPCI_HUMAN	20.8
KPCI_HUMAN	RASK_HUMAN	0.8
KPCI_HUMAN	UBC_HUMAN	1.44
KPCI_HUMAN	1433E_HUMAN	3.2
KPCI_HUMAN	MARK2_HUMAN	2.6
KPCI_HUMAN	ERBIN_HUMAN	2.4000000000000004
KPCI_HUMAN	ELAV1_HUMAN	0.8
KPCI_HUMAN	GRIA1_HUMAN	1.6
CSKI1_HUMAN	CSKI1_HUMAN	26.0
CSKI1_HUMAN	LIN7C_HUMAN	0.64
CSKI1_HUMAN	FMR1_HUMAN	0.64
CSKI1_HUMAN	RGS14_HUMAN	0.64
CSKI1_HUMAN	1433B_HUMAN	0.64
CSKI1_HUMAN	SC6A4_HUMAN	0.64
CSKI1_HUMAN	NRX2A_HUMAN	1.28
CSKI1_HUMAN	DLGP1_HUMAN	1.92
LIN7C_HUMAN	NRX3A_HUMAN	0.6
LIN7C_HUMAN	KCNJ2_HUMAN	1.44
LIN7C_HUMAN	RASK_HUMAN	0.8
LIN7C_HUMAN	TBA1A_HUMAN	1.6
LIN7C_HUMAN	PP1G_HUMAN	0.8
LIN7C_HUMAN	CALM3_HUMAN	0.64
LIN7C_HUMAN	LIPA3_HUMAN	1.24
LIN7C_HUMAN	NRX2A_HUMAN	0.6
LIN7C_HUMAN	MTMR2_HUMAN	0.8
LIN7C_HUMAN	DLG1_HUMAN	5.72
LIN7C_HUMAN	ABLM1_HUMAN	1.6
LIN7C_HUMAN	LIN7B_HUMAN	3.0000000000000004
LIN7C_HUMAN	EZRI_HUMAN	1.6
LIN7C_HUMAN	NRX1A_HUMAN	1.24
LIN7C_HUMAN	SYNPO_HUMAN	0.8
LIN7C_HUMAN	DUS10_HUMAN	0.8
LIN7C_HUMAN	ELAV1_HUMAN	0.8
LIN7C_HUMAN	SYN1_HUMAN	0.6
LIN7C_HUMAN	RAB3A_HUMAN	0.6
LIN7C_HUMAN	LIPA2_HUMAN	1.88
LIN7C_HUMAN	SNTB2_HUMAN	1.28
LIN7C_HUMAN	TIAM1_HUMAN	0.8
LIN7C_HUMAN	PRKN_HUMAN	0.8
LIN7C_HUMAN	CALM2_HUMAN	1.28
