UniProtID	UniProtID	score
CTNA1_HUMAN	NEBL_HUMAN	0.8
CTNA1_HUMAN	SRC_HUMAN	0.6
CTNA1_HUMAN	CTRO_HUMAN	0.8
CTNA1_HUMAN	KPCI_HUMAN	0.6
CTNA1_HUMAN	ENAH_HUMAN	0.6
CTNA1_HUMAN	ZO1_HUMAN	2.04
CTNA1_HUMAN	RAC1_HUMAN	0.6
CTNA1_HUMAN	ABL1_HUMAN	0.6
CTNA1_HUMAN	IGF1_HUMAN	0.6
CTNA1_HUMAN	LIMA1_HUMAN	2.6
CTNA1_HUMAN	PI51C_HUMAN	0.6
CTNA1_HUMAN	MARCS_HUMAN	0.8
CTNA1_HUMAN	IF4B_HUMAN	1.44
CTNA1_HUMAN	SRC8_HUMAN	1.4
CTNA1_HUMAN	SI1L1_HUMAN	0.8
CTNA1_HUMAN	RHOB_HUMAN	0.8
CTNA1_HUMAN	CAH2_HUMAN	0.6
CTNA1_HUMAN	PTN11_HUMAN	0.6
CTNA1_HUMAN	CAD10_HUMAN	0.6
CTNA1_HUMAN	CTBP1_HUMAN	2.24
CTNA1_HUMAN	FYN_HUMAN	0.6
CTNA1_HUMAN	ZO2_HUMAN	1.0
CTNA1_HUMAN	RAB5A_HUMAN	0.6
CTNA1_HUMAN	PKHA5_HUMAN	0.8
CTNA1_HUMAN	SPTB2_HUMAN	1.6400000000000001
CTNA1_HUMAN	UTRN_HUMAN	0.8
CTNA1_HUMAN	MP2K3_HUMAN	1.6
CTNA1_HUMAN	GSK3B_HUMAN	0.8
CTNA1_HUMAN	EXOC3_HUMAN	0.6
CTNA1_HUMAN	PKP4_HUMAN	0.8
CTNA1_HUMAN	CDC42_HUMAN	1.4
CTNA1_HUMAN	IQGA1_HUMAN	0.6
CTNA1_HUMAN	RHG32_HUMAN	0.8
CTNA1_HUMAN	RASK_HUMAN	1.6
CTNA1_HUMAN	ADA10_HUMAN	0.6
CTNA1_HUMAN	KPCZ_HUMAN	0.6
CTNA1_HUMAN	GDS1_HUMAN	0.8
CTNA1_HUMAN	GNA13_HUMAN	0.6
CTNA1_HUMAN	CXA1_HUMAN	0.6
CTNA1_HUMAN	PAR2_HUMAN	1.6
CTNA1_HUMAN	CTNA2_HUMAN	1.4
CTNA1_HUMAN	ACTN1_HUMAN	3.8400000000000003
CTNA1_HUMAN	RAB35_HUMAN	0.8
CTNA1_HUMAN	SC23A_HUMAN	1.44
CTNA1_HUMAN	PKHA6_HUMAN	0.8
CTNA1_HUMAN	FXR1_HUMAN	1.28
CTNA1_HUMAN	ACTG_HUMAN	0.6
CTNA1_HUMAN	DLG5_HUMAN	0.8
CTNA1_HUMAN	IQEC1_HUMAN	3.0
CTNA1_HUMAN	EXOC4_HUMAN	0.6
CTNA1_HUMAN	DLDH_HUMAN	2.4000000000000004
CTNA1_HUMAN	TBA1A_HUMAN	2.4000000000000004
CTNA1_HUMAN	ACTB_HUMAN	0.8
CTNA1_HUMAN	RHOA_HUMAN	3.0000000000000004
CTNA1_HUMAN	PAK1_HUMAN	0.6
CTNA1_HUMAN	ODPA_HUMAN	2.4000000000000004
CTNA1_HUMAN	CADH1_HUMAN	15.72
CTNA1_HUMAN	RAP1B_HUMAN	0.6
CTNA1_HUMAN	CADH2_HUMAN	4.04
CTNA1_HUMAN	CTNA1_HUMAN	28.00000000000001
CTNA1_HUMAN	CAD13_HUMAN	0.6
CTNA1_HUMAN	SHAN3_HUMAN	0.64
CTNA1_HUMAN	STX4_HUMAN	0.6
CTNA1_HUMAN	CADH9_HUMAN	0.6
CTNA1_HUMAN	SRBS1_HUMAN	0.8
CTNA1_HUMAN	PEX5R_HUMAN	1.28
CTNA1_HUMAN	ACTN4_HUMAN	0.6
CTNA1_HUMAN	AKT1_HUMAN	1.6
CTNA1_HUMAN	STX7_HUMAN	0.8
CTNA1_HUMAN	TNIK_HUMAN	0.8
CTNA1_HUMAN	LCK_HUMAN	0.8
CTNA1_HUMAN	GRIA2_HUMAN	0.6
CTNA1_HUMAN	TIP_HUMAN	0.8
CTNA1_HUMAN	LYN_HUMAN	0.8
CTNA1_HUMAN	DLG1_HUMAN	2.24
CTNA1_HUMAN	BIP_HUMAN	1.6
CTNA1_HUMAN	SDCB1_HUMAN	0.64
CTNA1_HUMAN	ARRB2_HUMAN	4.0
CTNA1_HUMAN	APC_HUMAN	9.64
CTNA1_HUMAN	NUMB_HUMAN	1.4
CTNA1_HUMAN	CTND1_HUMAN	3.0400000000000005
CTNA1_HUMAN	RASH_HUMAN	1.6
CTNA1_HUMAN	TF65_HUMAN	1.0
CTNA1_HUMAN	RYR2_HUMAN	0.64
CTNA1_HUMAN	PSN1_HUMAN	1.0
CTNA1_HUMAN	SKT_HUMAN	0.8
CTNA1_HUMAN	EZRI_HUMAN	0.8
CTNA1_HUMAN	HS105_HUMAN	1.44
CTNA1_HUMAN	A4_HUMAN	1.6
CTNA1_HUMAN	BCR_HUMAN	0.8
CTNA1_HUMAN	SIR2_HUMAN	0.8
CTNA1_HUMAN	NLGN2_HUMAN	0.64
CTNA1_HUMAN	ERBIN_HUMAN	0.8
CTNA1_HUMAN	XPO7_HUMAN	0.8
CTNA1_HUMAN	FLOT1_HUMAN	0.8
CTNA1_HUMAN	DUS4_HUMAN	1.6
CTNA1_HUMAN	MACF1_HUMAN	0.8
CTNA1_HUMAN	SYNPO_HUMAN	0.8
CTNA1_HUMAN	DUS10_HUMAN	0.8
CTNA1_HUMAN	HCD2_HUMAN	2.4000000000000004
CTNA1_HUMAN	MP2K1_HUMAN	1.6
CTNA1_HUMAN	APCL_HUMAN	0.6
CTNA1_HUMAN	CSK21_HUMAN	2.0
CTNA1_HUMAN	MYO6_HUMAN	0.6
CTNA1_HUMAN	GRB10_HUMAN	1.6
CTNA1_HUMAN	RHG23_HUMAN	1.6
CTNA1_HUMAN	CTNB1_HUMAN	27.24000000000001
CTNA1_HUMAN	DVL1_HUMAN	0.8
CTNA1_HUMAN	VAV2_HUMAN	0.6
CTNA1_HUMAN	RHG21_HUMAN	2.4000000000000004
CTNA1_HUMAN	DTNA_HUMAN	0.8
CTNA1_HUMAN	MARE1_HUMAN	2.4000000000000004
CTNA1_HUMAN	AFG32_HUMAN	0.8
CTNA1_HUMAN	PLAK_HUMAN	17.360000000000003
CTNA1_HUMAN	NHRF2_HUMAN	2.4000000000000004
CTNA1_HUMAN	SRBS2_HUMAN	0.8
CTNA1_HUMAN	TERA_HUMAN	0.8
CTNA1_HUMAN	NP1L1_HUMAN	0.8
CTNA1_HUMAN	PK3CA_HUMAN	0.6
CTNA1_HUMAN	VINC_HUMAN	7.3999999999999995
CTNA1_HUMAN	NTRK2_HUMAN	0.6
CTNA1_HUMAN	PAK3_HUMAN	0.6
CTNA1_HUMAN	CADH4_HUMAN	0.6
CTNA1_HUMAN	RAP1A_HUMAN	0.6
CTNA1_HUMAN	SRCN1_HUMAN	0.8
CTNA1_HUMAN	CLMN_HUMAN	0.8
CTNA1_HUMAN	LMO7_HUMAN	0.8
CTNA1_HUMAN	DISC1_HUMAN	0.8
CTNA1_HUMAN	PAK2_HUMAN	0.6
CTNA1_HUMAN	KINH_HUMAN	0.6
CTNA1_HUMAN	DMD_HUMAN	1.6
CTNA1_HUMAN	DYN2_HUMAN	0.6
CTNA1_HUMAN	SCRIB_HUMAN	0.8
CTNA1_HUMAN	ANK3_HUMAN	1.6
NEBL_HUMAN	ZO1_HUMAN	0.8
NEBL_HUMAN	ZO2_HUMAN	0.8
NEBL_HUMAN	ACTB_HUMAN	0.8
NEBL_HUMAN	CADH1_HUMAN	0.8
NEBL_HUMAN	EZRI_HUMAN	0.8
NEBL_HUMAN	A4_HUMAN	2.4000000000000004
NEBL_HUMAN	VINC_HUMAN	0.8
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	KPCI_HUMAN	0.6
SRC_HUMAN	ENAH_HUMAN	0.8
SRC_HUMAN	ZO1_HUMAN	0.6
SRC_HUMAN	RAC1_HUMAN	1.6
SRC_HUMAN	ABL1_HUMAN	3.4
SRC_HUMAN	IGF1_HUMAN	0.6
SRC_HUMAN	PI51C_HUMAN	2.0
SRC_HUMAN	IF4B_HUMAN	0.64
SRC_HUMAN	SRC8_HUMAN	4.3999999999999995
SRC_HUMAN	RHOB_HUMAN	0.8
SRC_HUMAN	PTN11_HUMAN	4.5200000000000005
SRC_HUMAN	CTBP1_HUMAN	0.64
SRC_HUMAN	FYN_HUMAN	6.8
SRC_HUMAN	RAB5A_HUMAN	0.6
