UniProtID	UniProtID	score
CTNB1_HUMAN	PCBP2_HUMAN	0.8
CTNB1_HUMAN	CMC2_HUMAN	0.8
CTNB1_HUMAN	KPCI_HUMAN	0.6
CTNB1_HUMAN	ENAH_HUMAN	0.6
CTNB1_HUMAN	DP13A_HUMAN	0.8
CTNB1_HUMAN	TPM3_HUMAN	0.8
CTNB1_HUMAN	RAC1_HUMAN	3.0000000000000004
CTNB1_HUMAN	KC1E_HUMAN	4.0
CTNB1_HUMAN	CAZA2_HUMAN	0.8
CTNB1_HUMAN	HS90B_HUMAN	2.4000000000000004
CTNB1_HUMAN	CYLD_HUMAN	1.6
CTNB1_HUMAN	RS5_HUMAN	0.8
CTNB1_HUMAN	PI51C_HUMAN	0.6
CTNB1_HUMAN	COX5B_HUMAN	0.64
CTNB1_HUMAN	BIG2_HUMAN	3.0
CTNB1_HUMAN	RASN_HUMAN	0.8
CTNB1_HUMAN	MYO5B_HUMAN	0.8
CTNB1_HUMAN	AKA12_HUMAN	0.8
CTNB1_HUMAN	COPA_HUMAN	0.8
CTNB1_HUMAN	FKBP4_HUMAN	0.8
CTNB1_HUMAN	MYH9_HUMAN	0.8
CTNB1_HUMAN	CAD10_HUMAN	3.2
CTNB1_HUMAN	ANK2_HUMAN	1.8
CTNB1_HUMAN	TPM1_HUMAN	1.44
CTNB1_HUMAN	RTN1_HUMAN	0.64
CTNB1_HUMAN	AKAP5_HUMAN	0.8
CTNB1_HUMAN	PKHA5_HUMAN	0.8
CTNB1_HUMAN	RL23A_HUMAN	0.8
CTNB1_HUMAN	GSK3B_HUMAN	50.43999999999999
CTNB1_HUMAN	MYO1B_HUMAN	0.8
CTNB1_HUMAN	ERBB4_HUMAN	0.64
CTNB1_HUMAN	RGS14_HUMAN	0.64
CTNB1_HUMAN	ERBB2_HUMAN	6.6
CTNB1_HUMAN	LIMC1_HUMAN	0.8
CTNB1_HUMAN	SERA_HUMAN	0.8
CTNB1_HUMAN	IRS1_HUMAN	1.44
CTNB1_HUMAN	EF1A1_HUMAN	0.64
CTNB1_HUMAN	RAB35_HUMAN	0.8
CTNB1_HUMAN	PKHA6_HUMAN	1.6
CTNB1_HUMAN	ABCF3_HUMAN	0.8
CTNB1_HUMAN	PSMD2_HUMAN	0.6
CTNB1_HUMAN	CUL3_HUMAN	1.6
CTNB1_HUMAN	RAP1B_HUMAN	0.6
CTNB1_HUMAN	SYGP1_HUMAN	0.64
CTNB1_HUMAN	CTNA1_HUMAN	27.24000000000001
CTNB1_HUMAN	TXTP_HUMAN	0.8
CTNB1_HUMAN	1433B_HUMAN	1.24
CTNB1_HUMAN	CADH9_HUMAN	1.6
CTNB1_HUMAN	SC6A4_HUMAN	0.64
CTNB1_HUMAN	ARNT_HUMAN	1.8
CTNB1_HUMAN	PSD11_HUMAN	0.6
CTNB1_HUMAN	LMNB1_HUMAN	1.6
CTNB1_HUMAN	RPGF2_HUMAN	1.4
CTNB1_HUMAN	AKT1_HUMAN	2.6
CTNB1_HUMAN	CDK5_HUMAN	0.8
CTNB1_HUMAN	RL18_HUMAN	0.8
CTNB1_HUMAN	RLA2_HUMAN	1.6
CTNB1_HUMAN	LYN_HUMAN	0.8
CTNB1_HUMAN	FAK1_HUMAN	0.64
CTNB1_HUMAN	NMDE1_HUMAN	0.64
CTNB1_HUMAN	BIP_HUMAN	0.8
CTNB1_HUMAN	DCTN4_HUMAN	0.64
CTNB1_HUMAN	RL28_HUMAN	0.8
CTNB1_HUMAN	CACO1_HUMAN	1.0
CTNB1_HUMAN	COX2_HUMAN	0.8
CTNB1_HUMAN	TF65_HUMAN	7.3199999999999985
CTNB1_HUMAN	KPCA_HUMAN	2.0
CTNB1_HUMAN	PSN1_HUMAN	13.280000000000001
CTNB1_HUMAN	FUS_HUMAN	3.5999999999999996
CTNB1_HUMAN	SKT_HUMAN	0.8
CTNB1_HUMAN	YES_HUMAN	1.8
CTNB1_HUMAN	CHIP_HUMAN	1.6
CTNB1_HUMAN	PTPRO_HUMAN	0.8
CTNB1_HUMAN	EFTU_HUMAN	0.64
CTNB1_HUMAN	SND1_HUMAN	0.8
CTNB1_HUMAN	FLOT1_HUMAN	0.8
CTNB1_HUMAN	ELAV1_HUMAN	1.8
CTNB1_HUMAN	FSCN1_HUMAN	0.64
CTNB1_HUMAN	CATA_HUMAN	0.64
CTNB1_HUMAN	TCPA_HUMAN	0.8
CTNB1_HUMAN	CTNB1_HUMAN	45.28
CTNB1_HUMAN	RAB7A_HUMAN	0.6
CTNB1_HUMAN	RS27A_HUMAN	3.2
CTNB1_HUMAN	PIN1_HUMAN	2.6
CTNB1_HUMAN	MYH14_HUMAN	0.8
CTNB1_HUMAN	SAHH_HUMAN	0.8
CTNB1_HUMAN	SFPQ_HUMAN	0.8
CTNB1_HUMAN	NMDZ1_HUMAN	3.8400000000000003
CTNB1_HUMAN	AP2M1_HUMAN	1.6
CTNB1_HUMAN	DYHC1_HUMAN	0.8
CTNB1_HUMAN	PAK3_HUMAN	0.6
CTNB1_HUMAN	DAB2P_HUMAN	0.64
CTNB1_HUMAN	SEC13_HUMAN	0.8
CTNB1_HUMAN	ENPL_HUMAN	0.8
CTNB1_HUMAN	ACON_HUMAN	0.8
CTNB1_HUMAN	KINH_HUMAN	1.4
