UniProtID	UniProtID	score
CTND2_HUMAN	MAGI2_HUMAN	3.0400000000000005
CTND2_HUMAN	GRM1_HUMAN	1.6
CTND2_HUMAN	TNIK_HUMAN	1.28
CTND2_HUMAN	CTNB1_HUMAN	1.24
CTND2_HUMAN	CTNA2_HUMAN	0.6
CTND2_HUMAN	DLG1_HUMAN	1.6
CTND2_HUMAN	NMDE1_HUMAN	1.6
CTND2_HUMAN	KALRN_HUMAN	1.28
CTND2_HUMAN	DLG4_HUMAN	2.4000000000000004
CTND2_HUMAN	SRC8_HUMAN	0.64
CTND2_HUMAN	GCR_HUMAN	0.8
CTND2_HUMAN	PSN1_HUMAN	1.28
CTND2_HUMAN	LRRC7_HUMAN	3.8
CTND2_HUMAN	ERBIN_HUMAN	0.8
CTND2_HUMAN	DISC1_HUMAN	0.8
CTND2_HUMAN	CADH2_HUMAN	0.64
CTND2_HUMAN	DACT1_HUMAN	0.64
CTND2_HUMAN	DLGP1_HUMAN	1.92
CTND2_HUMAN	1433B_HUMAN	0.64
CTND2_HUMAN	SHAN3_HUMAN	0.64
CTND2_HUMAN	GSK3B_HUMAN	0.8
CTND2_HUMAN	SCRIB_HUMAN	1.6
CTND2_HUMAN	PEX5R_HUMAN	1.28
MAGI2_HUMAN	MAGI2_HUMAN	3.2
MAGI2_HUMAN	TNIK_HUMAN	1.28
MAGI2_HUMAN	CTNB1_HUMAN	6.239999999999999
MAGI2_HUMAN	NMDE1_HUMAN	1.6
MAGI2_HUMAN	DLG4_HUMAN	1.6
MAGI2_HUMAN	DLGP1_HUMAN	3.2
GRM1_HUMAN	GRM1_HUMAN	23.200000000000006
GRM1_HUMAN	KALRN_HUMAN	0.6
GRM1_HUMAN	DLG4_HUMAN	0.8
GRM1_HUMAN	DLGP1_HUMAN	0.6
GRM1_HUMAN	1433B_HUMAN	0.64
TNIK_HUMAN	TNIK_HUMAN	30.0
TNIK_HUMAN	CTNB1_HUMAN	5.959999999999999
TNIK_HUMAN	CTNA2_HUMAN	1.28
TNIK_HUMAN	DLG1_HUMAN	1.28
TNIK_HUMAN	NMDE1_HUMAN	1.28
TNIK_HUMAN	KALRN_HUMAN	1.28
TNIK_HUMAN	DLG4_HUMAN	1.92
TNIK_HUMAN	LRRC7_HUMAN	1.28
TNIK_HUMAN	DISC1_HUMAN	6.3999999999999995
TNIK_HUMAN	CADH2_HUMAN	1.28
TNIK_HUMAN	DLGP1_HUMAN	3.2
TNIK_HUMAN	SHAN3_HUMAN	3.2
TNIK_HUMAN	GSK3B_HUMAN	1.28
TNIK_HUMAN	PEX5R_HUMAN	1.28
CTNB1_HUMAN	CTNB1_HUMAN	45.28
CTNB1_HUMAN	CTNA2_HUMAN	5.6
CTNB1_HUMAN	DLG1_HUMAN	1.4
CTNB1_HUMAN	NMDE1_HUMAN	0.64
CTNB1_HUMAN	DLG4_HUMAN	1.28
CTNB1_HUMAN	SRC8_HUMAN	0.6
CTNB1_HUMAN	PSN1_HUMAN	13.280000000000001
CTNB1_HUMAN	ERBIN_HUMAN	3.4000000000000004
CTNB1_HUMAN	DISC1_HUMAN	1.28
CTNB1_HUMAN	CADH2_HUMAN	19.120000000000005
CTNB1_HUMAN	DACT1_HUMAN	3.0
CTNB1_HUMAN	DLGP1_HUMAN	2.9200000000000004
CTNB1_HUMAN	1433B_HUMAN	1.24
CTNB1_HUMAN	SHAN3_HUMAN	1.44
