UniProtID	UniProtID	score
CUL5_HUMAN	TRI37_HUMAN	0.6
CUL5_HUMAN	SCFD1_HUMAN	1.6
CUL5_HUMAN	RL19_HUMAN	1.6
CUL5_HUMAN	CALD1_HUMAN	0.8
CUL5_HUMAN	TBA4A_HUMAN	1.6
CUL5_HUMAN	FAS_HUMAN	0.8
CUL5_HUMAN	RL6_HUMAN	1.6
CUL5_HUMAN	RS8_HUMAN	1.6
CUL5_HUMAN	RS16_HUMAN	1.6
CUL5_HUMAN	RS5_HUMAN	1.6
CUL5_HUMAN	HS90B_HUMAN	1.6
CUL5_HUMAN	NEDD4_HUMAN	1.6
CUL5_HUMAN	CYLD_HUMAN	0.8
CUL5_HUMAN	RS25_HUMAN	1.6
CUL5_HUMAN	ANX11_HUMAN	1.6
CUL5_HUMAN	LRSM1_HUMAN	0.6
CUL5_HUMAN	GLYM_HUMAN	0.8
CUL5_HUMAN	GDIA_HUMAN	1.6
CUL5_HUMAN	ANXA7_HUMAN	1.6
CUL5_HUMAN	RL35_HUMAN	1.6
CUL5_HUMAN	K2C6A_HUMAN	1.6
CUL5_HUMAN	UBC12_HUMAN	4.0
CUL5_HUMAN	CTBP1_HUMAN	0.8
CUL5_HUMAN	EF1B_HUMAN	1.6
CUL5_HUMAN	RL3_HUMAN	1.6
CUL5_HUMAN	UBA1_HUMAN	0.6
CUL5_HUMAN	CUL5_HUMAN	5.6
CUL5_HUMAN	RL23A_HUMAN	1.6
CUL5_HUMAN	RS6_HUMAN	1.6
CUL5_HUMAN	UBE3C_HUMAN	0.6
CUL5_HUMAN	SC24C_HUMAN	0.8
CUL5_HUMAN	RS3_HUMAN	1.6
CUL5_HUMAN	RLA0_HUMAN	1.6
CUL5_HUMAN	DNJA3_HUMAN	1.6
CUL5_HUMAN	RL10A_HUMAN	1.6
CUL5_HUMAN	LDHA_HUMAN	1.6
CUL5_HUMAN	RL7A_HUMAN	0.8
CUL5_HUMAN	ERBB2_HUMAN	3.6
CUL5_HUMAN	EF1D_HUMAN	1.6
CUL5_HUMAN	RS15A_HUMAN	1.6
CUL5_HUMAN	UBC_HUMAN	5.279999999999999
CUL5_HUMAN	RS19_HUMAN	1.6
CUL5_HUMAN	SERA_HUMAN	1.6
CUL5_HUMAN	SAR1A_HUMAN	0.8
CUL5_HUMAN	UBE2N_HUMAN	0.6
CUL5_HUMAN	RL27_HUMAN	1.6
CUL5_HUMAN	DNJA1_HUMAN	1.6
CUL5_HUMAN	EF1A1_HUMAN	1.6
CUL5_HUMAN	RL7_HUMAN	0.8
CUL5_HUMAN	HD_HUMAN	7.999999999999999
CUL5_HUMAN	UBR4_HUMAN	0.6
CUL5_HUMAN	RS3A_HUMAN	1.6
CUL5_HUMAN	SSBP_HUMAN	1.6
CUL5_HUMAN	HNRPK_HUMAN	1.6
CUL5_HUMAN	RN19A_HUMAN	0.6
CUL5_HUMAN	RS10_HUMAN	1.6
CUL5_HUMAN	ROA2_HUMAN	1.6
CUL5_HUMAN	FBX41_HUMAN	0.6
CUL5_HUMAN	DAB1_HUMAN	0.8
CUL5_HUMAN	RL15_HUMAN	1.6
CUL5_HUMAN	ETFB_HUMAN	0.8
CUL5_HUMAN	RS9_HUMAN	1.6
CUL5_HUMAN	RLA1_HUMAN	1.6
CUL5_HUMAN	PP2AA_HUMAN	1.6
CUL5_HUMAN	DLDH_HUMAN	0.8
CUL5_HUMAN	UB2V1_HUMAN	0.6
CUL5_HUMAN	ACTB_HUMAN	1.6
CUL5_HUMAN	ANXA6_HUMAN	1.6
CUL5_HUMAN	RS4X_HUMAN	1.6
CUL5_HUMAN	AIFM1_HUMAN	1.6
CUL5_HUMAN	CUL3_HUMAN	4.8
CUL5_HUMAN	NP1L4_HUMAN	1.6
CUL5_HUMAN	CLH1_HUMAN	1.6
CUL5_HUMAN	PABP4_HUMAN	1.6
CUL5_HUMAN	HS71B_HUMAN	1.6
CUL5_HUMAN	DDX1_HUMAN	1.6
CUL5_HUMAN	RL31_HUMAN	1.6
CUL5_HUMAN	AP3B2_HUMAN	0.8
CUL5_HUMAN	SAE1_HUMAN	1.44
CUL5_HUMAN	RS14_HUMAN	1.6
CUL5_HUMAN	RAB1B_HUMAN	0.8
CUL5_HUMAN	HS71A_HUMAN	5.6
CUL5_HUMAN	TRAP1_HUMAN	0.8
CUL5_HUMAN	FBX31_HUMAN	0.6
CUL5_HUMAN	RL12_HUMAN	1.6
CUL5_HUMAN	RS24_HUMAN	1.6
CUL5_HUMAN	TRIM9_HUMAN	0.6
CUL5_HUMAN	RL18_HUMAN	1.6
CUL5_HUMAN	RS7_HUMAN	1.6
CUL5_HUMAN	RLA2_HUMAN	1.6
CUL5_HUMAN	C1QBP_HUMAN	1.6
CUL5_HUMAN	HNRH1_HUMAN	1.6
CUL5_HUMAN	HS71L_HUMAN	1.6
CUL5_HUMAN	BIP_HUMAN	1.6
CUL5_HUMAN	ARF6_HUMAN	0.8
CUL5_HUMAN	ARRB2_HUMAN	1.6
CUL5_HUMAN	EF1A2_HUMAN	1.6
CUL5_HUMAN	RL5_HUMAN	1.6
CUL5_HUMAN	HSP7C_HUMAN	1.6
CUL5_HUMAN	RL11_HUMAN	1.6
CUL5_HUMAN	HECW2_HUMAN	0.6
CUL5_HUMAN	ENOA_HUMAN	1.6
CUL5_HUMAN	AHSA1_HUMAN	1.6
CUL5_HUMAN	RBX1_HUMAN	23.760000000000005
CUL5_HUMAN	RL4_HUMAN	1.6
CUL5_HUMAN	GRP75_HUMAN	1.6
CUL5_HUMAN	K2C5_HUMAN	1.6
CUL5_HUMAN	CAND1_HUMAN	15.800000000000004
CUL5_HUMAN	GLSK_HUMAN	2.24
CUL5_HUMAN	RS28_HUMAN	1.6
CUL5_HUMAN	FUS_HUMAN	1.6
CUL5_HUMAN	RL21_HUMAN	0.8
CUL5_HUMAN	DDX3X_HUMAN	1.6
CUL5_HUMAN	DAAM2_HUMAN	0.8
CUL5_HUMAN	CHIP_HUMAN	0.6
CUL5_HUMAN	BCR_HUMAN	0.64
CUL5_HUMAN	PCBP1_HUMAN	1.6
CUL5_HUMAN	K1C24_HUMAN	1.6
CUL5_HUMAN	PRKDC_HUMAN	1.6
CUL5_HUMAN	PABP1_HUMAN	1.6
CUL5_HUMAN	ERBIN_HUMAN	1.24
CUL5_HUMAN	EFTU_HUMAN	1.6
CUL5_HUMAN	HNRPQ_HUMAN	1.6
CUL5_HUMAN	PRDX1_HUMAN	1.6
CUL5_HUMAN	ELAV1_HUMAN	1.6
CUL5_HUMAN	HCD2_HUMAN	1.6
CUL5_HUMAN	TCPD_HUMAN	0.8
CUL5_HUMAN	RL24_HUMAN	1.6
CUL5_HUMAN	VHL_HUMAN	1.4
CUL5_HUMAN	HS90A_HUMAN	4.199999999999999
CUL5_HUMAN	RS2_HUMAN	1.6
CUL5_HUMAN	UBB_HUMAN	2.4
CUL5_HUMAN	HSP74_HUMAN	4.6
CUL5_HUMAN	TSC1_HUMAN	0.8
CUL5_HUMAN	DDX5_HUMAN	1.6
CUL5_HUMAN	S10A9_HUMAN	1.6
CUL5_HUMAN	RENT1_HUMAN	2.24
